,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI
1975-07-25,10.33,1.4,8.82,0,11.020377783180999,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.6052646799348302,4,89.29,89.29,89.29,89.29,10.55437352,8.46,1.51,0,0,0.0,22.244169288729,0.041358459,6.31,6.27,-0.0149970228208502,8.6,1070.0,1.8519999999999999,8.122,100.07,-0.07023972099999999,54.9,44.0,45.1
1975-07-28,10.33,1.4,8.82,0,10.9459377647319,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.58818885734581,5,88.69,88.69,88.69,88.69,10.48345154,8.46,1.51,1,0,0.0,22.0961088462875,0.041641387,6.26,6.3,-0.0178504829622427,8.6,1070.0,1.8219999999999998,8.122,100.69,-0.08204927,54.9,44.0,45.1
1975-07-29,10.33,1.4,8.82,0,10.8838446710518,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.57402843465516,4,88.19,88.19,88.19,88.19,10.42434988,8.46,1.51,1,0,0.0,21.972942582210603,0.041880626000000004,6.16,6.3,-0.0228165764847296,8.6,1070.0,1.8319999999999999,8.132,100.88,-0.08204927,54.9,44.0,45.1
1975-07-30,10.32,1.4,8.85,0,10.962442799173601,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.5931391702176803,3,88.83,88.83,88.83,88.83,10.5,8.46,1.47,1,0,0.0,22.133812592887804,0.041582013,6.11,6.2,-0.0298206367492327,8.6,1070.0,1.962,8.162,101.16,-0.08204927,54.9,44.0,45.1
1975-07-31,10.32,1.4,8.85,0,10.952184173587,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.5912347307033996,2,88.75,88.75,88.75,88.75,10.49054374,8.46,1.47,1,0,0.0,22.1152865901307,0.041622625,6.23,6.25,-0.0283413552909383,8.6,1070.0,1.952,8.202,101.25,-0.08204927,54.9,44.0,45.1
1975-08-01,10.32,1.4,8.85,0,10.8580142066985,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.56947600555813,1,87.99,87.99,87.99,87.99,10.40070922,8.46,1.47,1,0,0.0,21.927298581665397,0.04198484,6.24,6.35,-0.0229957123800833,8.4,1070.0,1.912,8.262,101.3,-0.08204927,54.9,44.0,45.1
1975-08-04,10.32,1.4,8.85,0,10.7539794762531,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.5453774768597097,0,87.15,87.15,87.15,87.15,10.30141844,8.46,1.47,0,0,0.0,21.7193470989225,0.042392245,6.26,6.4,-0.00726387707296637,8.4,1070.0,1.972,8.372,101.21,-0.08204927,54.9,44.0,45.1
1975-08-05,10.32,1.4,8.85,0,10.6400810141255,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.51893831915919,0,86.23,86.23,86.23,86.23,10.19267139,8.46,1.47,0,0,0.0,21.491428403661605,0.042847295,6.15,6.45,0.00991223512145285,8.4,1070.0,1.922,8.372,100.92,-0.08204927,54.9,44.0,45.1
1975-08-06,10.31,1.4,8.86,0,10.6421751389899,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.51995377855737,0,86.25,86.25,86.25,86.25,10.19503546,8.46,1.45,0,0,0.0,21.4977733049157,0.04284012,5.3,6.41,-0.00360243181371905,8.4,1070.0,1.992,8.402000000000001,101.38,-0.08204927,54.9,44.0,45.1
1975-08-07,10.31,1.4,8.86,0,10.6479709120587,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.5218459168808196,0,86.3,86.3,86.3,86.3,10.20094563,8.46,1.45,0,0,0.0,21.511594858541898,0.042818058,6.14,6.44,-0.008496395754411691,8.4,1070.0,2.042,8.482000000000001,101.85,-0.08204927,58.4,53.0,47.2
1975-08-08,10.31,1.4,8.86,0,10.6130515459636,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.51409400906574,0,86.02,86.02,86.02,86.02,10.167848699999999,8.46,1.45,0,0,0.0,21.4431539909089,0.042958355999999996,6.04,6.41,0.0035890375304582,8.4,1070.0,1.992,8.402000000000001,101.75,-0.08204927,58.4,53.0,47.2
1975-08-11,10.31,1.4,8.86,0,10.678068319746302,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.53001452685197,0,86.55,86.55,86.55,86.55,10.23049645,8.46,1.45,0,0,0.0,21.5766334298177,0.042696212000000004,6.13,6.37,-0.00441088597739098,8.4,1070.0,2.012,8.382,101.91,-0.08204927,58.4,53.0,47.2
1975-08-12,10.31,1.4,8.86,0,10.7480156497811,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.54710702380279,0,87.12,87.12,87.12,87.12,10.29787234,8.46,1.45,0,0,0.0,21.720100762627602,0.042417775,6.11,6.4,-0.0255836915016934,8.4,1070.0,2.002,8.402000000000001,101.98,-0.08204927,58.4,53.0,47.2
1975-08-13,10.31,1.4,8.93,0,10.6057689875451,351.821827551038,0.0,0.0817575728533164,0.0,0,0,2.51391517523206,0,85.97,85.97,85.97,85.97,10.16193853,8.46,1.38,0,0,-0.00488302635041435,21.4347403210996,0.04298611,6.09,6.45,-0.0328729375434023,8.4,1070.0,1.942,8.392000000000001,101.84,-0.08204927,58.4,53.0,47.2
1975-08-14,10.31,1.4,8.93,0,10.5597546292069,351.821827551038,0.0,0.0817575728533164,0.0,0,0,2.5035262217936802,0,85.6,85.6,85.6,85.6,10.11820331,8.46,1.38,0,0,-0.0036622697628107704,21.343830737317198,0.043172842,6.06,6.45,-0.0303657519644984,8.4,1070.0,2.002,8.452,101.63,-0.08204927,58.4,53.0,47.2
1975-08-15,10.31,1.4,8.93,0,10.554620250445499,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.526184369204,0,86.36,86.36,86.36,86.36,10.25653207,8.42,1.38,0,0,0.005000400954643779,21.3354351089892,0.042793364,6.05,6.42,-0.0247421434098424,8.4,1070.0,2.062,8.482000000000001,101.68,-0.08204927,58.4,53.0,47.2
1975-08-18,10.31,1.4,8.93,0,10.5348206633875,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.52193473401696,0,86.2,86.2,86.2,86.2,10.23752969,8.42,1.38,0,1,0.00436067900978462,21.2973886188249,0.042873255,6.15,6.42,-0.0136720065756315,8.4,1238.0,2.042,8.462,101.57,-0.08204927,58.4,53.0,47.2
1975-08-19,10.31,1.4,8.93,0,10.3818123577238,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.48579448018371,0,84.95,84.95,84.95,84.95,10.08907363,8.42,1.38,0,0,0.0037209570649254795,20.990011032817602,0.043504583,6.24,6.47,-0.0120771650789573,8.4,1238.0,1.952,8.422,101.21,-0.08204927,58.4,53.0,47.2
1975-08-20,10.35,1.4,8.95,0,10.1701515009964,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.43560227253408,1,83.22,83.22,83.22,83.22,9.883610451000001,8.42,1.4,0,0,0.0018604785324627397,20.5639795578433,0.044409445,6.42,6.46,0.0140762472677328,8.4,1238.0,1.962,8.422,101.32,-0.08204927,58.4,53.0,47.2
1975-08-21,10.35,1.4,8.95,0,10.1515848498271,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.4316430943341802,2,83.07,83.07,83.07,83.07,9.865795724,8.42,1.4,0,0,0.0,20.5283387388357,0.044490113,6.34,6.48,0.0389380097576144,8.4,1238.0,2.002,8.482000000000001,101.39,-0.08204927,58.4,53.0,47.2
1975-08-22,10.35,1.24,8.95,0,10.299214450192801,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.46749342862519,3,84.28,84.28,84.28,84.28,10.00950119,8.42,1.4,0,0,0.0,20.828799659682897,0.043851372,6.32,6.46,0.0300116274464121,8.4,1238.0,2.002,8.462,101.62,-0.08204927,58.4,53.0,47.2
1975-08-25,10.35,1.24,8.95,0,10.3942916063669,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.4907607742550297,4,85.06,85.06,85.06,85.06,10.10213777,8.42,1.4,0,0,0.0,21.0230243385899,0.043449255,6.31,6.53,0.00455118583624528,8.4,1238.0,1.932,8.462,101.76,-0.08204927,58.4,53.0,47.2
1975-08-26,10.35,1.24,8.95,0,10.259634761817301,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.45898123741223,5,83.96,83.96,83.96,83.96,9.971496437,8.42,1.4,1,0,0.0,20.7525907418885,0.044018505,6.18,6.58,0.023974394910889,8.4,1238.0,1.8219999999999998,8.402000000000001,101.65,-0.024887408,58.4,53.0,47.2
1975-08-27,10.36,1.24,8.96,0,10.3168287161732,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.4731775560516502,4,84.43,84.43,84.43,84.43,10.02731591,8.42,1.4,1,0,0.0,20.870205999156802,0.043773465,5.81,6.55,0.0203622534941236,8.4,1238.0,1.8219999999999998,8.372,101.68,-0.024887408,58.4,53.0,47.2
1975-08-28,10.36,1.24,8.96,0,10.5573067944879,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.53131530905218,3,86.4,86.4,86.4,86.4,10.26128266,8.42,1.4,1,0,0.0,21.3586462046812,0.04277539,6.17,6.42,-0.00945347696759404,8.4,1238.0,1.8619999999999999,8.282,101.76,-0.024887408,58.4,53.0,47.2
1975-08-29,10.36,1.24,8.96,0,10.6157134997139,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.5458094973177596,2,86.88,86.88,86.88,86.88,10.31828979,8.42,1.4,1,0,0.0,21.4787895445196,0.042539062,6.13,6.36,-0.0118446882292827,8.4,1238.0,,,101.79,-0.024887408,58.4,53.0,47.2
1975-09-02,10.36,1.24,8.96,0,10.4444091291949,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.50521726366636,1,85.48,85.48,85.48,85.48,10.152019000000001,8.42,1.4,1,0,0.0,21.1341357643969,0.043235771,6.29,6.42,-0.0107347126278903,8.4,1238.0,1.8419999999999999,8.262,101.89,-0.024887408,58.4,53.0,47.2
1975-09-03,10.36,1.24,8.96,0,10.5113689146492,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.52176794012025,0,86.03,86.03,86.03,86.03,10.21733967,8.42,1.4,0,0,0.0,21.2715858825886,0.042959359,5.47,6.39,-0.0267684762875076,8.4,1238.0,1.902,8.292,101.69,-0.024887408,58.4,53.0,47.2
1975-09-04,10.37,1.24,8.96,0,10.5318974911845,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.5271826399334603,0,86.2,86.2,86.2,86.2,10.23752969,8.42,1.41,0,0,0.0,21.3150893585261,0.042874635999999994,6.19,6.33,-0.0328063256326136,8.4,1238.0,1.962,8.292,101.87,-0.024887408,58.4,53.0,47.2
1975-09-05,10.37,1.24,8.96,0,10.461354965907,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.5106100157144,0,85.62,85.62,85.62,85.62,10.87928844,7.87,1.41,0,0,0.0,21.1731287635351,0.043165074000000005,6.2,6.39,-0.0278471247459757,8.4,1238.0,1.962,8.352,101.91,-0.024887408,58.4,53.0,47.2
1975-09-08,10.37,1.24,8.96,0,10.494667048995801,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.5189588418411497,0,85.89,85.89,85.89,85.89,10.91359593,7.87,1.41,0,0,0.0,21.24135999529,0.043029383,6.19,6.41,-0.0360404496856528,8.4,1238.0,1.952,8.362,101.84,-0.024887408,58.4,53.0,47.2
1975-09-09,10.37,1.24,8.96,0,10.3373628819184,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.48155783720203,0,84.6,84.6,84.6,84.6,10.74968234,7.87,1.41,0,0,0.0,20.9237710476633,0.04368550400000001,6.09,6.41,-0.0304754612334725,8.4,1238.0,1.992,8.402000000000001,101.85,-0.024887408,58.4,53.0,47.2
1975-09-10,10.37,1.24,8.93,0,10.2387023069896,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.45823008530543,0,83.79,83.79,83.79,83.79,10.64675985,7.87,1.44,0,0,0.0,20.724861854276103,0.044107812999999996,5.98,6.42,-0.0174396669333372,8.4,1238.0,2.042,8.462,101.97,-0.024887408,58.4,53.0,47.2
1975-09-11,10.37,1.24,8.93,0,10.197468745004999,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.4486870906184,0,83.45,83.45,83.45,83.45,10.60355781,7.87,1.44,0,0,0.0,20.6421833302906,0.044287520999999996,6.22,6.46,0.00694280914825298,8.4,1238.0,2.092,8.552,102.09,-0.024887408,58.4,53.0,47.2
1975-09-12,10.37,1.24,8.93,0,10.1794508404469,354.380531751409,0.0,0.0910599655156301,0.0,0,0,2.4447176124166403,0,83.3,83.3,83.3,83.3,10.58449809,7.87,1.44,0,0,0.0,20.6064940833853,0.044366795,6.33,6.45,0.03015786404713,8.4,1238.0,2.122,8.572000000000001,102.22,-0.024887408,58.4,53.0,47.2
1975-09-15,10.37,1.24,8.93,0,10.128435953971302,361.097130277383,0.0,0.0789630438068016,0.0,0,0,2.4328233772907204,0,82.88,82.88,82.88,82.88,10.53113088,7.87,1.44,0,1,-0.00967753736706278,20.504002626607896,0.044591147000000005,6.41,6.5,0.0257296718649676,8.4,1238.0,2.082,8.582,102.3,-0.024887408,58.4,53.0,47.2
1975-09-16,10.37,1.24,8.93,0,10.032200081719001,361.097130277383,0.0,0.0789630438068016,0.0,0,0,2.4100662104685,0,82.09,82.09,82.09,82.09,10.43074968,7.87,1.44,0,0,-0.007258153025297091,20.3099541404169,0.045019790999999997,6.28,6.54,0.0337722788406485,8.4,1238.0,2.052,8.592,102.82,-0.024887408,58.4,53.0,47.2
1975-09-17,10.36,1.24,8.94,0,10.029608414938801,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.4187189112527405,0,82.37,82.37,82.37,82.37,10.46632783,7.87,1.42,0,0,-0.00188127917847059,20.3054753624823,0.044866273,6.03,6.45,0.039733385101597005,8.4,1260.0,2.082,8.532,103.24,-0.024887408,58.4,53.0,47.2
1975-09-18,10.36,1.24,8.94,0,10.2357293598636,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.46877650218728,0,84.06,84.06,84.06,84.06,10.68106734,7.87,1.42,0,0,-0.00020126721297009098,20.7235615923844,0.043963779,6.31,6.38,0.018248771671692,8.4,1260.0,2.122,8.502,103.52,-0.024887408,58.4,53.0,47.2
1975-09-19,10.36,1.24,8.94,0,10.4576940186655,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.52266086062019,1,85.88,85.88,85.88,85.88,10.91232529,7.87,1.42,0,0,0.0014787447525304,21.173757880051397,0.04303162,6.21,6.36,0.0032274729490950602,8.4,1260.0,2.062,8.422,103.65,-0.024887408,58.4,53.0,47.2
1975-09-22,10.36,1.24,8.94,0,10.3594047798995,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.49930016984442,2,85.07,85.07,85.07,85.07,10.8094028,7.87,1.42,0,0,0.0007393723762652019,20.975543220962102,0.043440883,6.28,6.34,-0.000849300793495013,8.4,1260.0,2.042,8.382,104.32,-0.024887408,58.4,53.0,47.2
1975-09-23,10.36,1.24,8.94,0,10.3439185172842,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.4959133852868303,3,84.94,84.94,84.94,84.94,10.79288437,7.87,1.42,0,0,0.0,20.9449775361183,0.043506900999999994,6.26,6.36,-0.0130587674277309,8.4,1260.0,1.992,8.352,104.81,-0.024887408,58.4,53.0,47.2
1975-09-24,10.39,1.24,8.98,0,10.4416892992747,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.51985353224813,4,85.74,85.74,85.74,85.74,10.89453621,7.87,1.41,0,0,0.0,21.143747338190998,0.043100495999999995,6.54,6.35,-0.0336995077300086,8.4,1260.0,1.962,8.312000000000001,104.55,-0.024887408,58.4,53.0,47.2
1975-09-25,10.39,1.24,8.98,0,10.429857807436301,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.5173472616584904,5,85.64,85.64,85.64,85.64,10.88182973,7.87,1.41,1,0,0.0,21.1205858118914,0.04315036,6.38,6.4,-0.021851030146102998,8.4,1260.0,1.982,8.382,104.19,-0.024887408,58.4,53.0,47.2
1975-09-26,10.39,1.33,8.98,0,10.497189577132401,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.53394700619581,4,86.19,86.19,86.19,86.19,10.95171537,7.87,1.41,1,0,0.0,21.2577347067045,0.042874546,6.42,6.43,-0.0031548068633365,8.4,1260.0,2.022,8.452,104.48,-0.006430189,58.4,53.0,47.2
1975-09-29,10.39,1.33,8.98,0,10.3562555538035,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.5002763575932403,3,85.03,85.03,85.03,85.03,10.8043202,7.87,1.41,1,0,0.0,20.9731210278229,0.043458985,6.42,6.43,0.0211596237970809,8.4,1260.0,2.032,8.462,104.77,-0.006430189,58.4,53.0,47.2
1975-09-30,10.39,1.33,8.98,0,10.215311899869901,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.4665998789096,2,83.87,83.87,83.87,83.87,10.65692503,7.87,1.41,1,0,0.0,20.688465987894197,0.04405959,6.22,6.58,0.0336297066015565,8.4,1260.0,1.902,8.482000000000001,104.24,-0.006430189,58.4,53.0,47.2
1975-10-01,10.4,1.33,8.94,0,10.101155372254802,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.4393876445727103,1,82.93,82.93,82.93,82.93,10.53748412,7.87,1.46,1,0,0.0,20.458041526598198,0.04455852,6.24,6.53,0.0582882509477554,8.4,1260.0,1.942,8.472000000000001,103.46,-0.006430189,58.4,53.0,47.2
1975-10-02,10.4,1.33,8.94,0,10.2098986033767,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.4660000681583796,0,83.82,83.82,83.82,83.82,10.65057179,7.87,1.46,0,0,0.0,20.6790589688758,0.044084925,6.3,6.48,0.0524814802724006,8.4,1260.0,1.962,8.442,103.52,-0.006430189,58.4,53.0,47.2
1975-10-03,10.4,1.33,8.94,0,10.469694976171802,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.5290981953309504,0,85.95,85.95,85.95,85.95,10.92121982,7.87,1.46,0,0,0.0,21.206046134816198,0.042991957000000004,6.18,6.29,0.0255681826890861,8.3,1260.0,2.042,8.332,103.95,-0.006430189,58.4,53.0,47.2
1975-10-06,10.4,1.33,8.94,0,10.583329677998401,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.55689686053095,0,86.88,86.88,86.88,86.88,11.03939009,7.87,1.46,0,0,0.0,21.4370153950223,0.042531297,6.03,6.24,0.028869077591738,8.3,1260.0,2.062,8.302,103.49,-0.006430189,58.4,53.0,47.2
1975-10-07,10.4,1.33,8.94,0,10.5702793185835,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.55409281599107,0,86.77,86.77,86.77,86.77,11.02541296,7.87,1.46,0,0,0.0,21.4113855991366,0.042584757,5.8,6.33,0.0281089261497698,8.3,1260.0,2.002,8.332,103.28,-0.006430189,60.4,73.6,54.4
1975-10-08,10.39,1.33,8.96,0,10.713161946193,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.58896535888754,0,87.94,87.94,87.94,87.94,11.17407878,7.87,1.43,0,0,0.0,21.701626534266,0.04201773599999999,5.73,6.27,0.0141457778215793,8.3,1260.0,2.032,8.302,103.38,-0.006430189,60.4,73.6,54.4
1975-10-09,10.39,1.33,8.96,0,10.765901331621802,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.60205804006877,0,88.37,88.37,88.37,88.37,11.22871665,7.87,1.43,0,0,0.0,21.8092790291115,0.041812832,5.87,6.22,0.0108308995648877,8.3,1260.0,2.012,8.232000000000001,103.13,-0.006430189,60.4,73.6,54.4
1975-10-10,10.39,1.33,8.96,0,10.746763282754399,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.5977803303425295,0,88.21,88.21,88.21,88.21,11.20838628,7.87,1.43,0,0,0.0,21.7713262992696,0.041888225,5.79,6.09,0.00692415483626011,8.3,1260.0,2.062,8.152000000000001,102.47,-0.006430189,60.4,73.6,54.4
1975-10-13,10.39,1.33,8.96,0,10.8994118704244,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.63502633958663,0,89.46,89.46,89.46,89.46,11.36721728,7.87,1.43,0,0,0.0,22.081397233742297,0.041302489,5.79,6.09,0.00360489359226625,8.3,1260.0,,,,-0.006430189,60.4,73.6,54.4
1975-10-14,10.39,1.33,8.96,0,10.8778395967316,361.097130277383,0.0,0.0826599056881276,0.0,0,0,2.63015811773551,0,89.28,89.28,89.28,89.28,11.34434562,7.87,1.43,0,0,0.0,22.0385192539177,0.041385315,5.76,6.09,0.0138309275664864,8.3,1260.0,2.102,8.192,103.01,-0.006430189,60.4,73.6,54.4
1975-10-15,10.39,1.33,8.93,0,10.872105285784901,361.097130277383,0.0,0.0687293321521807,0.0,0,0,2.6291188440129,0,89.23,89.23,89.23,89.23,11.33799238,7.87,1.46,0,0,-0.0111444588287576,22.027726565351,0.041408061,5.95,6.1,0.0160531171522868,8.3,1260.0,2.092,8.192,102.44,-0.006430189,60.4,73.6,54.4
1975-10-16,10.39,1.33,8.93,0,10.8098053980261,371.65178510391405,0.0,0.0760823064574394,0.0,0,0,2.63367766006394,0,89.37,89.37,89.37,89.37,11.35578145,7.87,1.46,0,0,-0.00247596467736119,21.9023161067976,0.04134275,5.78,5.97,0.0203174853768561,8.3,1260.0,2.102,8.072000000000001,102.19,-0.006430189,60.4,73.6,54.4
1975-10-17,10.39,1.33,8.93,0,10.7485314464759,371.65178510391405,0.0,0.0760823064574394,0.0,0,0,2.61908213615033,0,88.86,88.86,88.86,88.86,11.2909784,7.87,1.46,0,0,-0.0011604448312235401,21.778974691189198,0.041579585,5.68,5.89,0.0104717265196134,8.3,1240.0,2.182,8.072000000000001,102.25,-0.006430189,60.4,73.6,54.4
1975-10-20,10.39,1.33,8.93,0,10.865070913938599,371.65178510391405,0.0,0.0760823064574394,0.0,0,0,2.64781134611633,0,89.82,89.82,89.82,89.82,11.41296061,7.87,1.46,0,1,0.000155075014914102,22.015927592651803,0.041134739,5.77,5.9,-0.00138190716240128,8.3,1240.0,2.1719999999999997,8.072000000000001,102.23,-0.006430189,60.4,73.6,54.4
1975-10-21,10.39,1.33,8.93,0,10.9550056936829,371.65178510391405,0.0,0.0760823064574394,0.0,0,0,2.6700598655315697,0,90.56,90.56,90.56,90.56,11.50698856,7.87,1.46,0,0,0.00147059486105175,22.1989865021373,0.040798173,5.72,5.66,-0.000922615957928042,8.3,1240.0,2.392,8.052,102.05,-0.006430189,60.4,73.6,54.4
