,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS
1960-08-18,5.08,1.01,4.28,0,17.7183769096973,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01327973172875,0,56.81,56.81,56.81,56.81,17.42638037,3.26,0.8,0,0,0.0,31.729489971244398,0.033544702999999995,3.0,2.38,0.0173441851468727,5.4,1173.0
1960-08-19,5.08,1.01,4.28,0,17.7804718708672,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01698430144283,0,57.01,57.01,57.01,57.01,17.43425076,3.27,0.8,0,0,0.0,31.839550083572696,0.033432592000000004,3.0,2.4,0.0105345190652711,5.4,1173.0
1960-08-22,5.08,1.01,4.28,0,17.8363275158037,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.02033259752685,1,57.19,57.19,57.19,57.19,17.48929664,3.27,0.8,0,0,0.0,31.938426386399303,0.033332917000000004,2.5,2.37,0.00459914597232794,5.4,1173.0
1960-08-23,5.08,1.01,4.28,0,18.0106935362766,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.03046096263625,2,57.75,57.75,57.75,57.75,17.66055046,3.27,0.8,0,0,0.0,32.249493704093,0.033015186,2.0,2.35,-0.0156459633890033,5.4,1173.0
1960-08-24,5.08,1.01,4.28,0,18.1102058037864,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.03630824231878,3,58.07,58.07,58.07,58.07,17.75840979,3.27,0.8,0,0,0.0,32.4265086046218,0.03283872,2.25,2.46,-0.0190656785365151,5.4,1173.0
1960-08-25,5.08,1.01,4.28,0,18.0225969904245,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.03144878916654,4,57.79,57.79,57.79,57.79,17.67278287,3.27,0.8,0,0,0.0,32.2684770043913,0.033003321,3.0,2.49,-0.0119563418502988,5.4,1173.0
1960-08-26,5.08,1.08,4.28,0,17.9630584600636,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.02819503115105,5,57.6,57.6,57.6,57.6,17.614678899999998,3.27,0.8,1,0,0.0,32.1607097356058,0.033117697,3.0,2.46,-0.010249155935366,5.4,1173.0
1960-08-29,5.08,1.08,4.28,0,17.912877653631803,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.02547635472774,4,57.44,57.44,57.44,57.44,17.56574924,3.27,0.8,1,0,0.0,32.0696999844279,0.033215474,2.75,2.48,-0.0164594908130212,5.4,1173.0
1960-08-30,5.08,1.08,4.28,0,17.7254851938207,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01490199383597,3,56.84,56.84,56.84,56.84,17.382263000000002,3.27,0.8,1,0,0.0,31.733050125425,0.03357168,2.5,2.53,-0.0184303543286969,5.4,1173.0
1960-08-31,5.08,1.08,4.28,0,17.7626264624142,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01718210273649,2,56.96,56.96,56.96,56.96,17.41896024,3.27,0.8,1,0,0.0,31.7983781360992,0.033506527,3.0,2.57,-0.0214380169021529,5.4,1173.0
1960-09-01,5.01,1.08,4.25,0,17.802885171992102,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01964109848296,1,57.09,57.09,57.09,57.09,17.4587156,3.27,0.76,1,0,0.0,31.869278406514002,0.033435789,3.0,2.58,-0.0171036006427008,5.4,1173.0
1960-09-02,5.01,1.08,4.25,0,17.7745393508413,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.0181711723704499,0,57.0,57.0,57.0,57.0,17.43119266,3.27,0.76,0,0,0.0,31.8173641841275,0.033494152,3.0,2.49,-0.021603203534946,5.4,1173.0
1960-09-06,5.01,1.08,4.25,0,17.6152264214343,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.00919873376212,0,56.49,56.49,56.49,56.49,17.27522936,3.27,0.76,0,0,0.0,31.5310208742124,0.033802162000000004,3.0,2.54,-0.0115429496353392,5.4,1173.0
1960-09-07,5.01,1.08,4.25,0,17.3966721347033,221.671668478783,0.0,0.0136288310556059,0.0,0,0,0.996830704993777,0,55.79,55.79,55.79,55.79,17.06116208,3.27,0.76,0,0,0.0,31.1386579355732,0.03423197,2.75,2.54,-0.00609006389002258,5.4,1173.0
1960-09-08,5.01,1.08,4.25,0,17.3808074879481,221.671668478783,0.0,0.0136288310556059,0.0,0,0,0.9960748808751779,0,55.74,55.74,55.74,55.74,17.04587156,3.27,0.76,0,0,0.0,31.109105493607103,0.034268372000000005,3.0,2.55,-0.00917255295844578,5.4,1173.0
1960-09-09,5.01,1.08,4.25,0,17.495905604044598,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.0028243573270699,0,56.11,56.11,56.11,56.11,17.15902141,3.27,0.76,0,0,0.0,31.3139472745049,0.034048058,3.0,2.59,-0.0177835916775929,5.9,1173.0
1960-09-12,5.01,1.08,4.25,0,17.3544069495581,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9968853072462809,0,55.77,55.77,55.77,55.77,17.05504587,3.27,0.76,0,1,0.0007998143706036129,31.059536207270398,0.034261322999999996,3.0,2.61,-0.0346450004195716,5.9,1173.0
1960-09-13,5.01,1.08,4.25,0,17.372833688923198,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.998095411511144,0,55.83,55.83,55.83,55.83,17.0733945,3.27,0.76,0,0,0.00059986077795271,31.0913517461752,0.034230189,2.0,2.63,-0.0329368175528692,5.9,1173.0
1960-09-14,5.01,1.08,4.25,0,17.2512338573229,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.991260853287071,0,55.44,55.44,55.44,55.44,16.95412844,3.27,0.76,0,0,0.00039990718530180696,30.8725718336088,0.034476712,2.5,2.63,-0.0156099211149367,5.9,1173.0
1960-09-15,5.01,1.08,4.25,0,17.1825356936771,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9874649239954829,0,55.22,55.22,55.22,55.22,16.88685015,3.27,0.76,0,0,0.000199953592650903,30.748473492951398,0.034619818,3.0,2.53,-0.0154864851588833,5.9,1173.0
1960-09-16,5.01,1.08,4.25,0,17.1480673274016,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.985635528286406,0,55.11,55.11,55.11,55.11,16.85321101,3.27,0.76,0,0,0.0,30.685633674500497,0.03469468,2.5,2.48,-0.0219878280625401,5.9,1173.0
1960-09-19,5.01,1.08,4.25,0,16.7588818615265,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9634171182811802,0,53.86,53.86,53.86,53.86,16.47094801,3.27,0.76,0,0,0.0,29.988070224555898,0.03550578,1.0,2.4,-0.0147543458235011,5.9,1275.0
1960-09-20,5.01,1.08,4.25,0,16.8053202931018,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9662379386188659,0,54.01,54.01,54.01,54.01,16.51681957,3.27,0.76,0,0,0.0,30.0700250700188,0.035413047999999996,0.75,2.39,-0.0198002275276626,5.9,1275.0
1960-09-21,5.01,1.08,4.25,0,16.979328157598502,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9763940533598331,1,54.57,54.57,54.57,54.57,16.68807339,3.27,0.76,0,0,0.0,30.380223691478502,0.035055456,1.0,2.46,-0.0388402106003463,5.9,1275.0
1960-09-22,5.01,1.08,4.25,0,16.9137509928585,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.972774370160937,2,54.36,54.36,54.36,54.36,16.62385321,3.27,0.76,0,0,0.0,30.261734731377803,0.035196719,2.75,2.5,-0.0323149296620713,5.9,1275.0
1960-09-23,5.01,1.19,4.25,0,16.7703911020974,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9646804163122009,3,53.9,53.9,53.9,53.9,16.48318043,3.27,0.76,0,0,0.0,30.004089584412103,0.035502989,2.25,2.4,-0.00685240684322781,5.9,1275.0
1960-09-26,5.01,1.19,4.25,0,16.508804231925,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.949784218686693,4,53.06,53.06,53.06,53.06,16.22629969,3.27,0.76,0,0,0.0,29.534947840748302,0.036071025,3.0,2.34,0.00586802031865759,5.9,1275.0
1960-09-27,5.01,1.19,4.25,0,16.4712386594005,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9477739977178149,5,52.94,52.94,52.94,52.94,16.18960245,3.27,0.76,1,0,0.0,29.4666070608538,0.036158785,3.0,2.4,0.00118314246210095,5.9,1275.0
1960-09-28,5.01,1.19,4.25,0,16.3278914828593,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9396765348079509,4,52.48,52.48,52.48,52.48,16.04892966,3.27,0.76,1,0,0.0,29.2090351587587,0.036481774,3.0,2.37,0.0174345200647567,5.9,1275.0
1960-09-29,5.01,1.19,4.25,0,16.3712214690938,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9423211380486031,3,52.62,52.62,52.62,52.62,16.09174312,3.27,0.76,1,0,0.0,29.285414625637603,0.036390743999999996,3.0,2.33,0.0209304619877107,5.9,1275.0
1960-09-30,5.01,1.19,4.25,0,16.650999605174402,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9585762400247191,2,53.52,53.52,53.52,53.52,16.36697248,3.27,0.76,1,0,0.0,29.784735286319698,0.035784724,3.0,2.3,0.00972713997185934,5.9,1275.0
1960-10-03,5.11,1.19,4.3,0,16.6009903615059,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.9558484225474471,1,53.36,53.36,53.36,53.36,16.31804281,3.27,0.81,1,1,0.0,29.6941245184239,0.035897974,2.75,2.31,0.0147552389235932,5.9,1275.0
1960-10-04,5.11,1.19,4.3,0,16.485649863757,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.949358442156903,0,52.99,52.99,52.99,52.99,16.20489297,3.27,0.81,0,0,0.0,29.486664385475102,0.036154621,2.5,2.27,0.0231862987427628,5.9,1275.0
1960-10-05,5.11,1.19,4.3,0,16.6098631240836,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.956662687573495,0,53.39,53.39,53.39,53.39,16.32721713,3.27,0.81,0,0,0.0,29.7076726005058,0.035889695,2.75,2.45,0.0143756460167269,5.9,1275.0
1960-10-06,5.11,1.19,4.3,0,16.712296121403302,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.962713697235537,0,53.72,53.72,53.72,53.72,16.42813456,3.27,0.81,0,0,0.0,29.8897065614016,0.035675135,3.0,2.47,0.0159444017304046,5.9,1275.0
1960-10-07,5.11,1.19,4.3,0,16.8085045524505,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.968407157946465,0,54.03,54.03,54.03,54.03,16.52293578,3.27,0.81,0,0,0.0,30.0605908497159,0.035476323,3.0,2.53,0.0154922489806927,5.9,1275.0
1960-10-10,5.11,1.19,4.3,0,16.8424922139751,221.671668478783,0.0,0.0146285990188604,0.0,0,0,0.970516725187457,0,54.14,54.14,54.14,54.14,16.55657492,3.27,0.81,0,0,0.0,30.1201862007441,0.035410107,3.0,2.61,0.00925699914164161,5.7,1275.0
1960-10-11,5.11,1.19,4.3,0,16.8671465071489,221.671668478783,0.0,0.0122325684356346,0.0,0,0,0.9720888105420121,0,54.22,54.22,54.22,54.22,16.58103976,3.27,0.81,0,0,-0.00191682446658064,30.163082947721897,0.035363716,3.0,2.53,0.00264657302753362,5.7,1275.0
1960-10-12,5.11,1.19,4.3,0,16.845137874032098,221.671668478783,0.0,0.0122325684356346,0.0,0,0,0.9709718309779342,0,54.15,54.15,54.15,54.15,16.55963303,3.27,0.81,0,0,-0.00143761834993548,30.1225302257316,0.035415293,3.0,2.53,0.00209345996104295,5.7,1275.0
1960-10-13,5.11,1.19,4.3,0,16.9755585423684,221.671668478783,0.0,0.0122325684356346,0.0,0,0,0.9786409565624901,0,54.57,54.57,54.57,54.57,16.68807339,3.27,0.81,0,0,-0.000958412233290318,30.3545411866335,0.035148536,3.0,2.6,-0.0128513190608631,5.7,1275.0
1960-10-14,5.11,1.19,4.3,0,17.065536142709302,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.983979784095045,0,54.86,54.86,54.86,54.86,16.77675841,3.27,0.81,0,0,-0.00047920611664515803,30.5142157102314,0.034968521,2.75,2.44,-0.0282329741589805,5.7,1275.0
1960-10-17,5.11,1.19,4.3,0,16.9937550432114,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.9799925390685821,0,54.63,54.63,54.63,54.63,16.70642202,3.27,0.81,0,0,0.0,30.3846513584305,0.035121554,1.5,2.33,-0.0357341698857498,5.7,1275.0
1960-10-18,5.11,1.19,4.3,0,16.9064228201131,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.975107795546635,0,54.35,54.35,54.35,54.35,16.62079511,3.27,0.81,0,0,0.0,30.2272899721716,0.035308334,0.5,2.25,-0.0382192086087903,5.7,1077.0
1960-10-19,5.11,1.19,4.3,0,16.8750842482574,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.9734517884417281,0,54.25,54.25,54.25,54.25,16.59021407,3.27,0.81,0,0,0.0,30.170045963404103,0.035379271000000004,0.25,2.3,-0.0221389824665528,5.7,1077.0
1960-10-20,5.11,1.19,4.3,0,16.7535401388271,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.9665918411455541,1,53.86,53.86,53.86,53.86,16.47094801,3.27,0.81,0,0,0.0,29.951536231649698,0.035641346000000004,1.5,2.12,-0.004241200866848971,5.7,1077.0
1960-10-21,5.11,1.23,4.3,0,16.5853416135534,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.957038956301088,2,53.32,53.32,53.32,53.32,16.3058104,3.27,0.81,0,0,0.0,29.649636751626,0.036008259,1.25,2.15,0.0019144930022039102,5.7,1077.0
1960-10-24,5.11,1.23,4.3,0,16.3922639934584,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.9460487748385699,3,52.7,52.7,52.7,52.7,16.11620795,3.27,0.81,0,1,0.0,29.303283928536402,0.036437909,2.75,2.11,0.0132449578240648,5.7,1077.0
1960-10-25,5.11,1.23,4.3,0,16.2676216127105,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.939006338692978,4,52.3,52.3,52.3,52.3,15.99388379,3.27,0.81,0,0,0.0,29.079287898085898,0.036722662999999996,3.0,2.12,0.0311192727890124,5.7,1077.0
1960-10-26,5.11,1.23,4.3,0,16.5006789760763,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.952610231103195,5,53.05,53.05,53.05,53.05,16.22324159,3.27,0.81,1,0,0.0,29.494689312093502,0.036209477000000004,3.0,2.17,0.022064086883707,5.7,1077.0
1960-10-27,5.11,1.23,4.3,0,16.6777436830867,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.962983868387446,4,53.62,53.62,53.62,53.62,16.39755352,3.27,0.81,1,0,0.0,29.809971810545,0.035830477,3.0,2.1,0.0152589177273199,5.7,1077.0
1960-10-28,5.11,1.23,4.3,0,16.6121990627739,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.9593506487043241,3,53.41,53.41,53.41,53.41,16.33333333,3.27,0.81,1,0,0.0,29.691600652041398,0.035977301,2.75,2.07,0.0277882733047247,5.7,1077.0
1960-10-31,5.11,1.23,4.3,0,16.6057516168134,217.604298414953,0.0,0.0122325684356346,0.0,0,0,0.959129688661601,2,53.39,53.39,53.39,53.39,16.32721713,3.27,0.81,1,0,0.0,29.6788582542642,0.035996724,2.75,2.12,0.0319846850403887,5.7,1077.0
1960-11-01,5.08,1.23,4.31,0,16.776587713308302,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.969148513716813,1,53.94,53.94,53.94,53.94,16.49541284,3.27,0.77,1,0,0.0,29.982953131506,0.035635569,3.0,2.25,0.0260827144780935,5.7,1077.0
1960-11-02,5.08,1.23,4.31,0,16.8634442315695,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.9743176367542241,0,54.22,54.22,54.22,54.22,16.58103976,3.27,0.77,0,0,0.0,30.136938445363697,0.035457396,3.0,2.2,0.0348991729859831,5.7,1077.0
1960-11-03,5.08,1.23,4.31,0,16.9285275402836,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.978229612746546,0,54.43,54.43,54.43,54.43,16.64525994,3.27,0.77,0,0,0.0,30.251998157316798,0.035326428,3.0,2.21,0.0263878119105296,5.7,1077.0
1960-11-04,5.08,1.23,4.31,0,17.0744719694834,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.9868149296575941,0,54.9,54.9,54.9,54.9,16.78899083,3.27,0.77,0,0,0.0,30.5115413657147,0.035029781,3.0,2.22,0.0127670694236961,5.7,1077.0
1960-11-07,5.08,1.23,4.31,0,17.139551003670498,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.990728009535348,0,55.11,55.11,55.11,55.11,16.85321101,3.27,0.77,0,0,0.0,30.626561862147497,0.034902058,3.0,2.34,0.0128968236767504,5.7,1077.0
1960-11-09,5.08,1.23,4.31,0,17.2139585133733,217.604298414953,0.0,0.0122325684356346,0.0,0,1,0.9951809532396639,0,55.35,55.35,55.35,55.35,16.9266055,3.27,0.77,0,0,0.0,30.7582378136789,0.034756457000000004,2.75,2.41,0.00657251408289625,5.7,1077.0
1960-11-10,5.08,1.23,4.31,0,17.4563029662626,217.604298414953,0.0,0.008819595839394621,0.0,0,1,1.0093435993217499,0,56.13,56.13,56.13,56.13,17.16513761,3.27,0.77,0,0,-0.00273037807699197,31.1899599659794,0.034279126,3.0,2.45,-0.0101176195977741,6.4,1077.0
1960-11-11,5.08,1.23,4.31,0,17.375207771746098,217.604298414953,0.0,0.008819595839394621,0.0,0,1,1.00480664873504,0,55.87,55.87,55.87,55.87,17.08562691,3.27,0.77,0,0,-0.00204778355774398,31.043762742177602,0.034444332,3.0,2.45,-0.0006301916091704191,6.4,1077.0
1960-11-14,5.08,1.23,4.31,0,17.2066062538282,217.604298414953,0.0,0.0135365857175334,0.0,0,1,0.9999093798672309,0,55.59,55.59,55.59,55.59,17.0,3.27,0.77,0,0,0.0024084028640149998,30.7412421954283,0.034623534,3.0,2.52,0.00635605412028349,6.4,1077.0
1960-11-15,5.08,1.23,4.31,0,17.274534240907098,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.00400503958416,0,55.81,55.81,55.81,55.81,17.06727829,3.27,0.77,0,0,0.00214759940763525,30.8613085062852,0.034492737999999995,2.5,2.52,-0.00136375691694097,6.4,1077.0
1960-11-16,5.08,1.23,4.31,0,17.2403191154841,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.00216466623381,0,55.7,55.7,55.7,55.7,17.03363914,3.27,0.77,0,0,0.0018867959512554899,30.7988883752909,0.034566556,2.25,2.49,0.00203742765116978,6.4,1077.0
1960-11-17,5.08,1.23,4.31,0,17.1937240691511,217.604298414953,0.0,0.0135365857175334,0.0,0,1,0.999604350069356,0,55.55,55.55,55.55,55.55,16.98776758,3.27,0.77,0,0,0.0009433979756277471,30.7143551104601,0.03466561,3.0,2.4,0.0106194897116477,6.4,1231.0
1960-11-18,5.08,1.23,4.31,0,17.2771263534198,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.0046014428079,1,55.82,55.82,55.82,55.82,17.07033639,3.27,0.77,0,0,0.0,30.8620392651964,0.034503621,2.25,2.37,0.00397778713962243,6.4,1231.0
1960-11-21,5.08,1.23,4.31,0,17.311005237216,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.0067196801429699,2,55.93,55.93,55.93,55.93,17.10397554,3.27,0.77,0,1,0.0,30.921248024288303,0.034441437000000005,2.5,2.35,-0.00157817839919491,6.4,1231.0
1960-11-22,5.08,1.23,4.31,0,17.245840723189097,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.0030783257604499,3,55.72,55.72,55.72,55.72,17.03975535,3.27,0.77,0,0,0.0,30.8035427947085,0.034576939,2.0,2.38,-0.0030308225943049103,6.4,1231.0
1960-11-23,5.08,1.23,4.31,0,17.2704343418687,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.00465708324187,4,55.8,55.8,55.8,55.8,17.06422018,3.27,0.77,0,0,0.0,30.84615838048,0.034533055,2.0,2.41,-0.00879796613396221,6.4,1231.0
1960-11-25,5.08,1.37,4.31,0,17.3724033684179,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.0107372094320999,5,56.13,56.13,56.13,56.13,17.16513761,3.27,0.77,1,0,0.0,31.0269588755047,0.034335684,2.25,2.39,-0.0130645926474864,6.4,1231.0
1960-11-28,5.08,1.37,4.31,0,17.3412855542913,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.0090751275891199,4,56.03,56.03,56.03,56.03,17.13455657,3.27,0.77,1,0,0.0,30.9700589002684,0.034402631,1.25,2.32,-0.012721884828028,6.4,1231.0
1960-11-29,5.08,1.37,4.31,0,17.2792187728459,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.00561186272061,3,55.83,55.83,55.83,55.83,17.0733945,3.27,0.77,1,0,0.0,30.857890680978898,0.034531558,0.25,2.4,-0.0062498928501395394,6.4,1231.0
1960-11-30,5.08,1.37,4.31,0,17.189298859058198,217.604298414953,0.0,0.0135365857175334,0.0,0,1,1.00052703661986,2,55.54,55.54,55.54,55.54,16.98470948,3.27,0.77,1,0,0.0,30.695989783137,0.034717579,0.25,2.4,0.00882865562872793,6.4,1231.0
1960-12-01,5.1,1.37,4.35,0,17.1148553643464,217.604298414953,0.0,0.0135365857175334,0.0,0,1,0.996342234078103,1,55.3,55.3,55.3,55.3,16.91131498,3.27,0.75,1,0,0.0,30.561735585704003,0.034873993,1.5,2.33,0.0154781310022729,6.4,1231.0
