,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY
1985-01-18,13.33,2.43,12.16,0,10.504083436436401,531.570797627113,0.0,0.0396378617590383,0.0,0,1,7.96632846976642,0,171.32,170.66,171.42,170.73,10.33916717,16.57,1.17,0,0,0.000925433994821923,22.7179207730033,0.043518997000000004,8.1,7.74,0.033981102741785,7.2,1587.0,3.4410000000000003,11.405999999999999,153.47,-0.027363087999999997,52.8,50.7,50.6,40080.0,4.7542058339999995,48060.0,984.0
1985-01-21,13.33,2.43,12.13,0,10.743678808591199,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.14957050079231,0,175.23,171.31,175.42,171.32,10.57513579,16.57,1.2,0,0,0.00113852026571504,23.236611774130804,0.042561975,8.1,7.74,0.0116975499084196,7.2,1587.0,,,,-0.027363087999999997,52.8,50.7,50.6,32580.0,8.740287358,53100.0,976.0
1985-01-22,13.33,2.43,12.0,0,10.758869598798599,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.1626259161993,1,175.48,175.15,176.62,175.23,10.5902233,16.57,1.33,0,0,0.000759013510476692,23.2699621380833,0.042515359,8.29,7.7,0.0202542838433564,7.2,1587.0,3.34,11.225999999999999,152.87,-0.027363087999999997,52.8,50.7,50.6,53280.0,8.20589489,46080.0,976.0
1985-01-23,13.32,2.43,11.98,0,10.870317292301399,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.248713724179138,2,177.3,175.15,177.3,175.48,10.70006035,16.57,1.34,0,0,0.000379506755238346,23.5115023102239,0.042092812,8.36,7.64,0.0111036064555694,7.2,1587.0,3.305,11.189,153.46,-0.027363087999999997,52.8,50.7,50.6,34200.0,7.21136241,52560.0,977.0
1985-01-24,13.32,2.43,11.87,0,10.8340063010253,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.222693489097281,3,176.71,176.56,178.16,177.3,10.66445383,16.57,1.45,0,0,0.0,23.4334508710888,0.042247275,8.33,7.62,0.015770996837895,7.2,1587.0,3.234,11.064,152.6,-0.027363087999999997,52.8,50.7,50.6,53700.0,6.2265208,40200.0,975.0
1985-01-25,13.32,2.27,11.89,0,10.873106101687501,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.25390325684471,4,177.35,176.54,177.75,176.71,10.70307785,16.57,1.43,0,0,0.0,23.518503263733898,0.042108243,8.37,7.64,0.0065727298203997605,7.2,1587.0,3.1830000000000003,11.074000000000002,153.01,-0.027363087999999997,52.8,50.7,50.6,40560.0,4.304489931,50400.0,972.0
1985-01-28,13.32,2.27,11.88,0,10.8760333183414,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.25765971434851,5,177.4,176.56,178.19,177.35,10.70609535,16.57,1.44,1,0,0.0,23.5253099816489,0.042109796,8.62,7.72,0.0158693160909186,7.2,1587.0,3.065,11.1,153.02,-0.050769418,52.8,50.7,50.6,46500.0,7.8805607470000005,42180.0,970.0
1985-01-29,13.32,2.27,11.88,0,10.9850220070291,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.341945298192499,4,179.18,176.58,179.19,177.4,10.81351841,16.57,1.44,1,0,0.0,23.761530561784397,0.041704759,8.61,7.82,0.0073258501382635795,7.2,1587.0,2.957,11.001,153.27,-0.050769418,52.8,50.7,50.6,34380.0,9.897465857,54000.0,972.0
1985-01-30,13.15,2.27,11.79,0,10.997756976065302,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.35315204700107,3,179.39,179.05,180.27,179.18,10.82619191,16.57,1.36,1,0,0.0,23.7895450806608,0.041669211,8.49,7.83,0.00516010937988303,7.2,1587.0,2.9730000000000003,11.089,152.91,-0.050769418,52.8,50.7,50.6,50760.0,6.933068262000001,34440.0,973.0
1985-01-31,13.15,2.27,11.82,0,11.0123309027015,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.365757641736371,2,179.63,178.56,179.83,179.39,10.84067592,16.57,1.33,1,0,0.0,23.821532274488302,0.041626792,8.73,8.05,0.011499795082873002,7.2,1587.0,2.805,11.173,152.72,-0.050769418,52.8,50.7,50.6,34200.0,6.997519006,43740.0,972.0
1985-02-01,13.15,2.27,11.89,0,10.9508972908552,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.32061590901446,1,178.63,178.44,179.63,179.63,10.79335347,16.55,1.26,1,0,0.0,23.6890712727275,0.041872044,8.74,8.19,0.0191164559584989,7.4,1587.0,2.859,11.32,153.47,-0.050769418,52.8,50.7,50.6,34140.0,4.679236277,32520.0,974.0
1985-02-04,13.15,2.27,11.9,0,11.0562126432931,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.40216447926473,0,180.35,177.75,180.35,178.63,10.89728097,16.55,1.25,0,0,0.0,23.9173188492041,0.041484811,8.61,8.18,0.000271220501453811,7.4,1587.0,2.8819999999999997,11.309000000000001,154.94,-0.050769418,52.8,50.7,50.6,33060.0,7.743427512,52320.0,974.0
1985-02-05,13.15,2.27,11.88,0,11.0720225513832,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.41570830759608,0,180.61,180.07,181.53,180.35,10.91299094,16.55,1.27,0,0,0.0,23.951942851863603,0.041437176,8.36,8.14,-0.0008959210552432039,7.4,1587.0,2.884,11.298,155.42,-0.050769418,52.8,50.7,50.6,52800.0,9.786140975,44340.0,972.0
1985-02-06,13.13,2.27,11.95,0,11.0608589747984,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.40875218675874,0,180.43,180.32,181.5,180.61,10.9021148,16.55,1.18,0,0,0.0,23.928209817596997,0.04149061,8.22,8.12,0.0154261170263437,7.4,1587.0,2.935,11.337,155.31,-0.050769418,52.8,50.7,50.6,53160.0,4.76623732,43620.0,970.0
1985-02-07,13.13,2.27,12.03,0,11.145939990933002,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.47496309532079,0,181.82,180.43,181.96,180.43,10.98610272,16.55,1.1,0,0,0.0,24.112681788845897,0.041185422,8.41,8.17,0.0025963276340681698,7.4,1587.0,2.938,11.433,156.02,-0.050769418,51.8,47.6,50.3,32520.0,5.789198718,47940.0,969.0
1985-02-08,13.13,2.27,11.98,0,11.1684917593108,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.49364851935805,0,182.19,181.67,182.39,181.82,11.00845921,16.55,1.15,0,0,0.0,24.161878253898696,0.041114412999999995,8.49,8.23,-0.0039064745348088206,7.4,1587.0,2.855,11.357999999999999,156.51,-0.050769418,51.8,47.6,50.3,33660.0,3.581624834,50340.0,966.0
1985-02-11,13.13,2.27,11.99,0,11.0653768143748,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.41676666642101,0,180.51,180.11,182.19,182.19,10.90694864,16.55,1.14,0,0,0.0,23.9391986507204,0.041509814,8.3,8.21,0.0038520913554697,7.4,1587.0,2.8789999999999996,11.39,157.39,-0.050769418,51.8,47.6,50.3,46800.0,5.199403903,32520.0,967.0
1985-02-12,13.13,2.27,12.05,0,11.068313228248801,531.570797627113,0.0,0.0396378617590383,0.0,0,1,8.42053758944185,0,180.56,179.45,180.75,180.51,10.90996979,16.55,1.08,0,1,0.0,23.9459442568226,0.041511066,8.3,8.21,0.00273544742785499,7.4,1587.0,,,,-0.050769418,51.8,47.6,50.3,34080.0,5.439969444,43140.0,966.0
1985-02-13,13.14,2.27,12.0,0,11.2392095024701,531.570797627113,0.0,0.0327582277455019,0.0,0,1,8.55209090783495,0,183.35,180.5,183.86,180.56,11.07854985,16.55,1.14,0,0,-0.00550370721082914,24.3160656050204,0.040891954,8.61,8.24,-0.0180849623627648,7.4,1587.0,2.861,11.347000000000001,158.54,-0.050769418,51.8,47.6,50.3,32700.0,9.00386602,52860.0,966.0
1985-02-14,13.14,2.27,11.96,0,11.1814585267906,531.570797627113,0.0,0.0327582277455019,0.0,0,1,8.50968601854026,0,182.41,182.39,183.95,183.35,11.02175227,16.55,1.18,0,0,-0.00412778040812185,24.1915056356738,0.041115297,8.59,8.19,-0.0175631648554862,7.4,1587.0,2.81,11.263,157.99,-0.050769418,51.8,47.6,50.3,53880.0,6.2922478239999995,39780.0,966.0
1985-02-15,13.14,2.27,12.06,0,11.1106319910779,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.473340486144249,0,181.6,181.24,182.65,182.41,10.97280967,16.55,1.08,0,0,-0.0012367016373581,24.038644998134497,0.041311141,8.53,8.19,-0.0138370088692592,7.4,1587.0,2.886,11.347000000000001,156.97,-0.050769418,51.8,47.6,50.3,53340.0,6.1099801010000006,39780.0,974.0
1985-02-19,13.14,2.27,12.02,0,11.094001404010301,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.46218482476698,1,181.33,180.95,181.61,181.6,10.95649547,16.55,1.12,0,0,-0.00023956282666492997,24.0030321634823,0.041385127,8.63,8.17,-0.00158414817894687,7.4,1833.0,2.9539999999999997,11.4,158.81,-0.050769418,51.8,47.6,50.3,35640.0,3.057924711,32520.0,972.0
1985-02-20,13.14,2.27,12.16,0,11.084712920021902,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.45662734073613,2,181.18,180.64,182.1,181.33,10.94743202,16.55,0.98,0,0,0.0007575759840282371,23.9832978400187,0.041431874,8.67,8.24,-0.00330098969111919,7.4,1833.0,3.034,11.573,159.63,-0.050769418,51.8,47.6,50.3,33900.0,6.27243701,45480.0,974.0
1985-02-21,13.13,2.27,12.29,0,11.024033468296,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.41186167181958,3,180.19,180.02,181.18,181.18,10.88761329,16.55,0.8400000000000021,0,0,0.000378787992014115,23.852363819333895,0.041672062,8.67,8.43,0.00477030941681843,7.4,1833.0,,,160.69,-0.050769418,51.8,47.6,50.3,49140.0,3.965729809,32520.0,976.0
1985-02-22,13.13,2.66,12.38,0,10.9731440321137,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.37455764986662,4,179.36,179.23,180.41,180.19,10.83746224,16.55,0.75,0,0,0.0,23.742602803432103,0.041877071,8.5,8.39,0.0206344418027624,7.4,1833.0,,,162.04,-0.050769418,51.8,47.6,50.3,49260.0,4.190767473999999,37500.0,984.0
1985-02-25,13.13,2.66,12.42,0,10.9650808815151,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.36993112923278,5,179.23,178.13,179.36,179.36,10.82960725,16.55,0.7100000000000011,1,0,0.0,23.725497443207697,0.041919622999999996,8.52,8.38,0.0149528352246759,7.4,1833.0,,,164.72,-0.050769418,51.8,47.6,50.3,44160.0,6.149824252999999,32520.0,985.0
1985-02-26,13.13,2.66,12.38,0,11.083656881501998,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.461971545939269,4,181.17,179.16,181.58,179.23,10.94682779,16.55,0.75,1,0,0.0,23.9824028978165,0.041482787,8.04,8.35,0.005121147860047129,7.4,1833.0,,,164.08,-0.027500768,51.8,47.6,50.3,32700.0,7.927049133,50460.0,986.0
1985-02-27,13.21,2.66,12.51,0,11.0554043544545,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.44193001236243,3,180.71,180.5,181.87,181.17,10.91903323,16.55,0.7000000000000011,1,0,0.0,23.921603232052398,0.04160046,8.06,8.45,-0.0010453434179310901,7.4,1833.0,,,159.89,-0.027500768,51.8,47.6,50.3,52500.0,5.471098851,35400.0,986.0
1985-02-28,13.21,2.66,12.56,0,11.0840470815028,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.465330320782959,2,181.18,180.33,181.21,180.71,10.94743202,16.55,0.65,1,0,0.0,23.983907306329602,0.04150459,8.74,8.5,-0.009978290505511259,7.4,1833.0,3.352,11.890999999999998,160.41,-0.027500768,51.8,47.6,50.3,44460.0,4.924747717,50820.0,984.0
1985-03-01,13.21,2.66,12.49,0,11.2093480045348,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.56256117107083,1,183.23,181.16,183.89,181.18,11.07129909,16.55,0.7200000000000011,1,0,0.0,24.2553612075314,0.041052143,8.74,8.66,-0.0235192880562158,7.4,1833.0,,,161.04,-0.027500768,51.8,47.6,50.3,32520.0,9.757456945,49080.0,984.0
1985-03-04,13.21,2.66,12.55,0,11.1376605394901,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.50933394313093,0,182.06,181.4,183.41,183.23,11.00060423,16.55,0.66,0,0,0.0,24.1005572750799,0.041327951,8.73,8.7,-0.0188494012841398,7.4,1833.0,,,161.77,-0.027500768,51.8,47.6,50.3,50580.0,5.486182976,32880.0,982.0
1985-03-05,13.21,2.66,12.51,0,11.147949306589599,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.518728145542491,0,182.23,181.42,182.65,182.06,11.01087613,16.55,0.7000000000000011,0,0,0.0,24.1231324699684,0.041301372999999995,8.53,8.68,-0.0149324251055716,7.4,1833.0,2.827,11.812999999999999,163.83,-0.027500768,51.8,47.6,50.3,41280.0,6.724170527,50400.0,980.0
1985-03-06,13.51,2.66,12.58,0,11.051182494704001,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.44631648101725,0,180.65,180.59,182.25,182.23,10.91540785,16.55,0.93,0,0,0.0,23.9140410919312,0.041674685,8.21,8.69,-0.0144451370096283,7.4,1833.0,2.897,11.902000000000001,162.08,-0.027500768,51.8,47.6,50.3,54000.0,4.965234485,38760.0,987.0
1985-03-07,13.51,2.66,12.64,0,10.981334231721199,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.39446465752288,0,179.51,179.44,180.65,180.65,10.84652568,16.55,0.869999999999999,0,0,0.0,23.7631894044206,0.041951503,8.47,8.8,-0.0100814402282553,7.4,1833.0,2.858,11.914000000000001,162.64,-0.027500768,51.8,44.8,49.9,53940.0,6.687046982000001,32520.0,990.0
1985-03-08,13.51,2.66,12.49,0,10.9560313824983,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.37674288339212,0,179.1,179.07,179.97,179.51,10.68615752,16.76,1.02,0,0,0.0,23.708967580992603,0.042059947,8.42,8.58,-0.0151951695359217,7.3,1833.0,2.8560000000000003,11.73,163.18,-0.027500768,51.8,44.8,49.9,53160.0,5.868065375,48660.0,988.0
1985-03-11,13.51,2.66,12.52,0,10.936846880167101,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.363695170385519,0,178.79,178.15,179.46,179.1,10.667661099999998,16.76,0.99,0,0,0.0,23.667977769338197,0.042145302999999995,8.26,8.47,-0.0114914672511286,7.3,1833.0,2.9539999999999997,11.73,160.2,-0.027500768,51.8,44.8,49.9,44040.0,7.05761305,47880.0,992.0
1985-03-12,13.51,2.66,12.53,0,10.9898442053408,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.40584492731986,0,179.66,178.7,180.14,178.79,10.71957041,16.76,0.98,0,0,0.0,23.78318927138,0.041953584,8.53,8.54,-0.00143073294589245,7.3,1833.0,2.908,11.703,160.55,-0.027500768,51.8,44.8,49.9,33000.0,5.340000698,50160.0,990.0
1985-03-13,13.63,2.66,12.6,0,10.8997041092224,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.33851917833177,0,178.19,178.02,179.96,179.66,10.63186158,16.76,1.03,0,0,0.0,23.588628472778396,0.042312157,9.12,8.6,0.004210461060437621,7.3,1833.0,3.045,11.890999999999998,160.86,-0.027500768,51.8,44.8,49.9,52020.0,4.998661679,35340.0,992.0
1985-03-14,13.63,2.66,12.6,0,10.8780757230086,532.8501497272989,0.0,0.0346521677055724,0.0,0,1,8.32359284698675,0,177.84,177.61,178.53,178.19,10.61097852,16.76,1.03,0,0,0.0,23.5423263068382,0.042407925,9.12,8.72,0.007671175282945841,7.3,1833.0,2.9010000000000002,11.936,161.94,-0.027500768,51.8,44.8,49.9,33600.0,5.148899796,49800.0,990.0
1985-03-15,13.63,2.66,12.67,0,10.7977285095202,526.773227251417,0.0,0.029766960139523,0.0,0,1,8.26373595258141,0,176.53,176.53,178.41,177.84,10.53281623,16.76,0.9600000000000011,0,0,-0.00390816605283959,23.3689343477453,0.04273499099999999,8.81,8.41,0.0133351041285339,7.3,1833.0,,,161.69,-0.027500768,51.8,44.8,49.9,54000.0,7.831309035,51480.0,994.0
1985-03-18,13.63,2.66,12.69,0,10.8189191104667,526.773227251417,0.0,0.029766960139523,0.0,0,1,8.28157655357967,0,176.88,176.53,177.66,176.53,10.55369928,16.76,0.9400000000000011,0,0,-0.0029311245396297,23.4152866149645,0.042662768,8.62,8.51,0.005367481988831271,7.3,1833.0,2.992,11.97,160.08,-0.027500768,51.8,44.8,49.9,32520.0,5.731942377999999,47820.0,1000.0
1985-03-19,13.63,2.66,12.66,0,10.981398046705198,526.773227251417,0.0,0.029766960139523,0.0,0,1,8.407575211651,0,179.54,176.87,179.56,176.88,10.712410499999999,16.76,0.9700000000000011,0,0,-0.0019540830264197897,23.767430357440098,0.04204284900000001,8.62,8.55,-0.00697144224381629,7.3,1638.0,3.065,11.913,157.22,-0.027500768,51.8,44.8,49.9,32520.0,6.164338288,52500.0,1002.0
1985-03-20,13.7,2.66,12.61,0,10.8912695797616,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.3874910222305,1,179.08,178.79,179.78,179.54,10.6849642,16.76,1.09,0,0,0.00355127246415812,23.572841597115698,0.042163031,8.49,8.53,0.0017984476216025898,7.3,1638.0,3.033,11.857999999999999,156.55,-0.027500768,51.8,44.8,49.9,38940.0,5.497190957000001,33300.0,1000.0
1985-03-21,13.7,2.66,12.56,0,10.907521930813001,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.40159402960109,2,179.35,178.89,180.22,179.08,10.70107399,16.76,1.14,0,0,0.0033962354830260103,23.608492250345698,0.042111725999999995,8.6,8.44,0.00029461261710201297,7.3,1638.0,3.0610000000000004,11.757,154.23,-0.027500768,51.8,44.8,49.9,33060.0,7.236129400000001,40980.0,1000.0
1985-03-22,13.7,2.64,12.59,0,10.888500621882,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.3885295679374,3,179.04,178.86,179.92,179.35,10.68257757,16.76,1.11,0,0,0.0022641569886840103,23.567789867960602,0.042196831,8.61,8.51,0.00824845846276119,7.3,1638.0,3.102,11.890999999999998,155.12,-0.027500768,51.8,44.8,49.9,52500.0,3.663914587,33900.0,998.0
1985-03-25,13.7,2.64,12.55,0,10.823260570135501,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.339854690601209,4,177.97,177.85,179.04,179.04,10.61873508,16.76,1.15,0,1,0.00113207849434201,23.427039213636398,0.042462793,8.45,8.42,0.0176093198882131,7.3,1638.0,3.185,11.812999999999999,155.61,-0.027500768,51.8,44.8,49.9,51600.0,4.343016185,32520.0,996.0
1985-03-26,13.7,2.64,12.49,0,10.8510683086272,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.36286865454495,5,178.43,177.88,178.86,177.97,10.64618138,16.76,1.21,1,0,0.0,23.487683938639698,0.04236555400000001,7.99,8.34,0.0109353317141814,7.3,1638.0,3.165,11.790999999999999,154.42,0.128032919,51.8,44.8,49.9,41700.0,4.886177554,50460.0,998.0
1985-03-27,13.75,2.64,12.54,0,10.918403911465399,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.41635160178774,4,179.54,178.43,179.8,178.43,10.712410499999999,16.76,1.21,1,0,0.0,23.633886909349,0.042115785999999995,7.79,8.33,-0.0031597342349896198,7.3,1638.0,3.233,11.857000000000001,150.61,0.128032919,51.8,44.8,49.9,32520.0,4.206059388,44400.0,997.0
1985-03-28,13.75,2.64,12.5,0,10.9182359504145,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.417810007835019,3,179.54,179.43,180.6,179.54,10.712410499999999,16.76,1.25,1,0,0.0,23.633969211516103,0.042127943,8.89,8.19,-0.00359465229135051,7.3,1638.0,3.301,11.68,150.99,0.128032919,51.8,44.8,49.9,53520.0,5.309433679,36540.0,1008.0
1985-03-29,13.75,2.64,12.42,0,10.9861768306001,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.47178406694199,2,180.66,179.54,180.66,179.54,10.77923628,16.76,1.33,1,0,0.0,23.7814788774546,0.041879291,8.58,8.18,-0.0154151939538077,7.3,1638.0,3.196,11.647,149.18,0.128032919,51.8,44.8,49.9,32520.0,3.753049489,54000.0,1016.0
1985-04-01,13.75,2.64,12.4,0,11.0231024506424,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.5018517492735,1,181.27,180.43,181.27,180.66,10.81563246,16.76,1.35,1,0,0.0,23.8618488400961,0.041750839,8.83,8.15,-0.017768545501518997,7.3,1638.0,3.154,11.625,150.65,0.128032919,51.8,44.8,49.9,33720.0,3.744114068,44940.0,1018.0
1985-04-02,13.75,2.64,12.45,0,10.977934282902401,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.468607452330211,0,180.53,180.28,181.86,181.27,10.77147971,16.76,1.3,0,0,0.0,23.764503010534302,0.041934507,8.79,8.22,-0.00690166933343554,7.3,1638.0,3.19,11.68,152.09,0.128032919,51.8,44.8,49.9,52020.0,5.2957466769999995,40620.0,1020.0
1985-04-03,13.68,2.64,12.45,0,10.891417827563801,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.40345881954608,0,179.11,178.64,180.53,180.53,10.68675418,16.76,1.23,0,0,0.0,23.577637284285498,0.042279595999999996,8.49,8.16,0.0052845175644576,7.3,1638.0,3.2880000000000003,11.702,150.94,0.128032919,51.8,44.8,49.9,48240.0,4.487307308,32520.0,1026.0
1985-04-04,13.68,2.64,12.47,0,10.886386354792199,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.40117436637263,0,179.03,178.29,179.13,179.11,10.68198091,16.76,1.21,0,0,0.0,23.5671596881853,0.042311787999999996,8.56,8.13,0.0076794769000316,7.3,1638.0,3.2889999999999997,11.68,153.16,0.128032919,51.8,44.8,49.9,43260.0,4.36017337,32520.0,1026.0
1985-04-08,13.68,2.64,12.47,0,10.8254130250681,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.35571752810362,0,178.03,177.86,179.46,179.03,10.62231504,16.76,1.21,0,0,0.0,23.4355688476105,0.042562828,8.58,8.12,0.0153926537876692,7.3,1638.0,3.34,11.735,152.6,0.128032919,51.8,44.8,49.9,50820.0,5.486717941,36120.0,1026.0
1985-04-09,13.68,2.64,12.42,0,10.8361924774005,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.36563519744013,0,178.21,177.99,178.66,178.03,10.63305489,16.76,1.26,0,0,0.0,23.459305079047,0.042533198,8.68,8.09,0.0159355439416648,7.3,1638.0,3.198,11.559000000000001,151.8,0.128032919,51.8,44.8,49.9,32760.0,4.938743843999999,49020.0,1022.0
1985-04-10,13.68,2.64,12.33,0,10.909600696688399,526.773227251417,0.0,0.035427352611233004,0.0,0,1,8.42390545593946,0,179.42,178.21,179.9,178.21,10.7052506,16.76,1.35,0,0,0.0,23.618623378529996,0.042259627,8.94,8.1,0.0118164795998509,7.3,1638.0,3.2,11.57,151.49,0.128032919,51.8,44.8,49.9,32520.0,4.398329529,48300.0,1022.0
