,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL
1987-06-05,10.62,2.8,9.36,0,17.4543252780038,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.9028722814315,0,293.45,292.8,295.11,295.11,19.39524124,15.13,1.26,0,0,0.0,30.098179558471102,0.02860483,6.7,5.68,0.0269527923561324,6.3,1699.0,2.658,8.481,97.64,0.023287076,59.8,65.6,55.5,49740.0,6.10473347,30720.0,990.0,6.42
1987-06-08,10.63,2.8,9.36,0,17.650237010747897,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,15.070702765325999,0,296.72,291.55,297.03,293.46,19.61136814,15.13,1.27,0,0,0.0,30.423916688159103,0.028296946,6.75,5.66,0.0208898098962462,6.3,1699.0,2.785,8.519,97.1,0.023287076,59.8,65.6,55.5,31320.0,7.816648082,53340.0,986.0,6.42
1987-06-09,10.61,2.8,9.39,0,17.684963116471,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,15.1009092906127,0,297.28,295.9,297.59,296.72,19.6483807,15.13,1.22,0,0,0.0,30.471645577611397,0.028250982999999997,6.68,5.51,0.0243256263154347,6.3,1699.0,2.8810000000000002,8.552,96.2,0.023287076,59.8,65.6,55.5,33840.0,6.304673644,38700.0,986.0,6.42
1987-06-10,10.61,2.8,9.37,0,17.697680864154503,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,15.1123244993063,0,297.47,295.66,300.81,297.28,19.66093853,15.13,1.24,0,0,0.0,30.4814245699723,0.028240276,6.63,5.48,0.0238505685018411,6.3,1699.0,2.9339999999999997,8.552,96.29,0.023287076,59.8,65.6,55.5,51300.0,17.70447282,44940.0,980.0,6.42
1987-06-11,10.58,2.8,9.37,0,17.7740631809117,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,15.1781000719464,0,298.73,297.47,298.94,297.5,19.74421679,15.13,1.21,0,0,0.0,30.6007509231437,0.028128469,6.73,5.54,0.0225029049731861,6.3,1699.0,2.852,8.5,96.38,0.023287076,59.8,65.6,55.5,30660.0,6.226553192999999,52800.0,977.0,6.42
1987-06-12,10.58,2.8,9.33,0,17.947447275875,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,15.326701582110902,0,301.62,298.73,302.26,298.77,19.93522802,15.13,1.25,0,0,0.0,30.8867922787489,0.027866189,6.71,5.55,0.0170520011051633,6.3,1699.0,2.605,8.302999999999999,97.17,0.023287076,59.8,65.6,55.5,30720.0,6.874498216,50400.0,977.0,6.42
1987-06-15,10.52,2.8,9.32,0,18.039331593720103,535.905552626278,0.017597042,0.0333815388165872,0.0,0,0,15.4057041731371,0,303.14,301.62,304.11,301.62,20.03569068,15.13,1.2,0,0,-0.00220487048158376,31.032336340005397,0.027733663,6.85,5.65,0.0207172865298663,6.3,1699.0,2.438,8.256,97.98,0.023287076,59.8,65.6,55.5,30720.0,6.279649767,33900.0,974.0,6.42
1987-06-16,10.52,2.8,9.31,0,18.137180715426602,542.270226647967,0.017597042,0.0333815388165872,0.0,0,0,15.489797870021802,0,304.76,302.6,304.86,303.12,20.14276272,15.13,1.21,0,0,-0.00165365286118781,31.1879490374506,0.027593402000000003,6.74,5.63,0.0114481568995364,6.3,1620.0,2.5069999999999997,8.261000000000001,98.04,0.023287076,59.8,65.6,55.5,33720.0,6.1825807479999995,54000.0,966.0,6.42
1987-06-17,10.49,2.8,9.27,0,18.093472490430102,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.4941039789021,0,304.81,304.03,305.74,304.77,20.14606742,15.13,1.22,0,0,0.00102428289249623,31.100151858453398,0.027596036,6.8,5.65,0.0061883306149332394,6.3,1620.0,2.416,8.201,98.18,0.023287076,59.8,65.6,55.5,36960.0,5.1057138019999995,41820.0,960.0,6.42
1987-06-18,10.47,2.8,9.29,0,18.1471882989301,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.5406011416691,0,305.69,303.88,306.13,304.78,20.20423001,15.13,1.18,0,0,0.00104382097957014,31.1797794021305,0.027523733999999998,6.81,5.65,0.0101293400088295,6.3,1620.0,2.513,8.307,97.93,0.023287076,59.8,65.6,55.5,31620.0,6.357423696000001,51360.0,948.0,6.42
1987-06-19,10.48,2.8,9.29,0,18.2246594837337,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.6074447564169,1,306.97,305.55,306.97,305.71,20.28883014,15.13,1.19,0,0,0.00106335906664405,31.300085884616603,0.027416334,6.76,5.66,0.000112613429710118,6.3,1620.0,2.502,8.293,98.2,0.023287076,59.8,65.6,55.5,44820.0,5.085319631,53040.0,938.0,6.42
1987-06-22,10.45,2.8,9.24,0,18.3852661820224,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.7454769267233,2,309.65,306.97,310.2,306.98,20.46596167,15.13,1.21,0,0,0.0005316795333220259,31.5628984548256,0.027186352,6.83,5.66,-0.0061727056113602295,6.3,1620.0,2.412,8.219,99.01,0.023287076,59.8,65.6,55.5,30720.0,6.974556829,42300.0,929.0,6.42
1987-06-23,10.43,2.8,9.25,0,18.314319037139303,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.6852124650653,3,308.43,307.48,310.27,309.66,20.38532716,15.13,1.18,0,0,0.0,31.428195708471197,0.027301222000000003,6.84,5.72,-0.0149752096718671,6.3,1620.0,2.362,8.242,98.56,0.023287076,59.8,65.6,55.5,50520.0,6.061787692,35280.0,925.0,6.42
1987-06-24,10.42,2.8,9.25,0,18.2225747618852,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.607141942200197,4,306.86,306.32,308.91,308.44,20.28155981,15.13,1.17,0,0,0.0,31.258002105540104,0.027448275,6.75,5.83,-0.0133697710615061,6.3,1620.0,2.335,8.297,97.65,0.023287076,59.8,65.6,55.5,51420.0,4.653170649,35940.0,917.0,6.42
1987-06-25,10.44,2.8,9.25,0,18.3487713800697,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.715721659687901,5,308.96,306.86,309.44,306.87,20.42035691,15.13,1.19,1,0,0.0,31.461546346659002,0.027269031000000003,6.81,5.84,-0.0113535921072149,6.3,1620.0,2.2969999999999997,8.279,98.25,0.023287076,59.8,65.6,55.5,30660.0,4.565054048,50220.0,901.0,6.42
1987-06-26,10.43,2.92,9.25,0,18.2433520828226,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.6259341675194,4,307.16,306.36,308.96,308.94,20.30138797,15.13,1.18,1,0,0.0,31.268032367762604,0.027435161,6.72,5.78,-0.00784080136645165,6.3,1620.0,2.417,8.334,98.25,0.027747333,59.8,65.6,55.5,45900.0,6.308460084,30660.0,892.0,6.42
1987-06-29,10.45,2.92,9.3,0,18.288786588438303,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.6653521203167,3,307.9,306.75,308.15,307.15,20.35029742,15.13,1.15,1,0,0.0,31.3330952807743,0.027375538999999997,6.68,5.67,-0.0021480410885300898,6.3,1620.0,2.424,8.325,98.5,0.027747333,59.8,65.6,55.5,44340.0,5.542944746,52320.0,886.0,6.42
1987-06-30,10.48,2.92,9.33,0,18.0585960717561,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.4687003711779,2,304.0,303.01,308.0,307.89,20.09253139,15.13,1.15,1,0,0.0,30.926261790925103,0.027733135,6.56,5.73,0.0134842475591086,6.3,1620.0,2.498,8.367,98.25,0.027747333,59.8,65.6,55.5,45360.0,9.253691771,30780.0,880.0,6.42
1987-07-01,10.5,2.92,9.34,0,17.9970860519628,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.416536306361401,1,302.94,302.53,304.0,303.99,20.02247191,15.13,1.16,1,0,0.0,30.808563298249396,0.027836593,6.07,5.64,0.0144667808988412,6.3,1620.0,2.563,8.347999999999999,98.3,0.027747333,59.8,65.6,55.5,36060.0,6.549753582,30720.0,874.0,6.42
1987-07-02,10.54,2.92,9.33,0,18.1583891563884,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.5551845838609,0,305.63,302.94,306.34,302.96,20.24039735,15.1,1.21,0,0,0.0,31.0720717353144,0.027597172000000003,6.68,5.66,0.00837933006351206,6.1,1620.0,2.469,8.292,98.46,0.027747333,59.8,65.6,55.5,30660.0,4.398628308,42480.0,874.0,6.42
1987-07-06,10.55,2.92,9.3,0,18.1176968673938,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.5208038923644,0,304.92,304.23,306.75,305.64,20.19337748,15.1,1.25,0,1,0.0,30.9898934930934,0.027667028,6.73,5.67,0.00829790692735039,6.1,1620.0,2.5669999999999997,8.301,98.67,0.027747333,59.8,65.6,55.5,47400.0,7.266257294,31380.0,893.0,6.42
1987-07-07,10.53,2.92,9.3,0,18.266555282356897,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.648794233217199,0,307.4,304.73,308.63,304.91,20.35761589,15.1,1.23,0,0,0.0,31.2317655068824,0.02744937,6.72,5.6,0.010062537671166001,6.1,1620.0,2.512,8.245,99.05,0.027747333,59.8,65.6,55.5,31080.0,8.126956339,49920.0,911.0,6.42
1987-07-08,10.52,2.92,9.32,0,18.320947024538,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.6958568971523,0,308.29,306.01,308.48,307.41,20.41655629,15.1,1.2,0,0,0.0,31.311952949177197,0.027375662000000002,6.59,5.57,0.00633399862059659,6.1,1620.0,2.605,8.306000000000001,98.93,0.027747333,61.2,72.6,57.4,36360.0,6.698964488,45900.0,920.0,6.42
1987-07-09,10.52,2.92,9.32,0,18.2766885160842,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.658409831778,0,307.52,307.42,309.56,308.3,20.36556291,15.1,1.2,0,0,0.0,31.2235807964893,0.027449757,6.62,5.61,0.0161589785356166,6.1,1620.0,2.593,8.367,98.9,0.027747333,61.2,72.6,57.4,53520.0,5.358542961,46380.0,923.0,6.42
1987-07-10,10.51,2.92,9.33,0,18.3287101232265,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.7034604466505,0,308.37,306.96,308.4,307.55,20.4218543,15.1,1.18,0,0,0.0,31.2996619862923,0.027380527999999998,6.54,5.59,0.0194287033231633,6.1,1620.0,2.576,8.315,99.22,0.027747333,61.2,72.6,57.4,34260.0,3.636828625,49860.0,924.0,6.42
1987-07-13,10.52,2.92,9.34,0,18.2862258512554,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.667546853485698,0,307.63,305.49,308.41,308.41,20.37284768,15.1,1.18,0,0,0.0,31.2143967523039,0.027452841000000002,6.62,5.61,0.0116094991372035,6.1,1620.0,2.6630000000000003,8.366,99.09,0.027747333,61.2,72.6,57.4,44880.0,6.033430707999999,30660.0,922.0,6.42
1987-07-14,10.53,2.92,9.36,0,18.4690380823606,542.270226647967,0.017597042,0.0360399364831974,0.0,0,0,15.8246532698244,0,310.68,307.46,310.69,307.67,20.57483444,15.1,1.17,0,0,0.0,31.513489011690996,0.027189717999999998,6.4,5.55,-0.007415534317609091,6.1,1620.0,2.617,8.318999999999999,99.47,0.027747333,61.2,72.6,57.4,31260.0,5.734657277,53400.0,922.0,6.42
1987-07-15,10.57,2.92,9.38,0,18.4550929012104,543.967473053751,0.017597042,0.0323769287244602,0.0,0,0,15.8131806592835,0,310.42,309.07,312.08,310.67,20.55761589,15.1,1.19,0,0,-0.00293040620698974,31.476763505216898,0.027218883,6.38,5.58,-0.00683141984963695,6.1,1620.0,2.715,8.427,98.29,0.027747333,61.2,72.6,57.4,31440.0,8.001450731,42660.0,924.0,6.42
1987-07-16,10.6,2.92,9.36,0,18.5103194477668,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.9310975022431,0,312.7,310.42,312.83,311.0,20.70860927,15.1,1.24,0,0,0.00133420991205106,31.557956061624697,0.027026766,6.56,5.58,-0.0162889714328649,6.1,1620.0,2.667,8.399,98.8,0.027747333,61.2,72.6,57.4,30660.0,4.388926076000001,53220.0,924.0,6.42
1987-07-17,10.56,2.92,9.38,0,18.623779839778198,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,16.0291500659281,0,314.59,312.38,314.59,312.71,20.83377483,15.1,1.18,0,0,0.0011838078219751599,31.738241348487502,0.026870071000000002,6.56,5.56,-0.0175779021726748,6.1,1590.0,2.659,8.357000000000001,99.99,0.027747333,61.2,72.6,57.4,51240.0,5.888994361,34080.0,930.0,6.42
1987-07-20,10.57,2.92,9.38,0,18.4359038203087,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.867865172105,0,311.39,311.24,314.59,314.56,20.6218543,15.1,1.19,0,0,0.00103340573189925,31.4052053500521,0.027151936,6.66,5.55,-0.0028986219546554,6.1,1590.0,2.722,8.408,100.0,0.027747333,61.2,72.6,57.4,53520.0,4.743182759,30660.0,948.0,6.42
1987-07-21,10.57,2.92,9.41,0,18.2693103449515,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.7249072863295,0,308.55,307.51,312.41,311.36,20.43377483,15.1,1.16,0,0,0.000883003641823345,31.1088104217134,0.027407638999999998,6.58,5.69,0.0116580933186775,6.1,1590.0,2.668,8.488999999999999,99.77,0.027747333,61.2,72.6,57.4,51840.0,10.10885178,38880.0,956.0,6.42
1987-07-22,10.6,2.92,9.47,0,18.2661214113458,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.722593670156698,1,308.47,307.22,309.12,308.56,20.42847682,15.1,1.13,0,0,0.0,31.090793565801302,0.027420536000000002,6.52,5.66,0.0224886652803853,6.1,1590.0,2.763,8.541,100.01,0.027747333,61.2,72.6,57.4,46260.0,5.881706011,31020.0,966.0,6.42
1987-07-23,10.64,2.92,9.5,0,18.2285829580187,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.690717447516,2,307.81,306.1,309.63,308.5,20.38476821,15.1,1.14,0,0,0.0,31.014381048358302,0.027485132000000002,6.6,5.67,0.0322031547236111,6.1,1590.0,2.708,8.517000000000001,99.82,0.027747333,61.2,72.6,57.4,43620.0,6.805506798,32280.0,970.0,6.42
1987-07-24,10.66,2.98,9.52,0,18.3165944530537,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.7669134420909,3,309.27,307.78,309.28,307.82,20.48145695,15.1,1.14,0,0,0.0,31.1514947110008,0.027362181,6.62,5.75,0.029385347631636,6.1,1590.0,2.592,8.575,99.37,0.027747333,61.2,72.6,57.4,30720.0,2.9869956760000003,54000.0,972.0,6.42
1987-07-27,10.64,2.98,9.54,0,18.399881178424998,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.839039498543599,4,310.65,308.61,310.7,309.3,20.57284768,15.1,1.1,0,0,0.0,31.2804065040963,0.027247399999999998,6.64,5.81,0.0215067828031234,6.1,1590.0,2.62,8.56,99.68,0.077911347,61.2,72.6,57.4,33420.0,3.7227731389999996,54000.0,974.0,6.42
1987-07-28,10.71,2.98,9.54,0,18.5009513213693,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,15.926469660988701,5,312.33,310.28,312.33,310.65,20.68410596,15.1,1.17,1,0,0.0,31.4393614063829,0.027107572000000003,6.58,5.86,0.0118784875908772,6.1,1590.0,2.612,8.613,99.52,0.077911347,61.2,72.6,57.4,45060.0,4.313557325,53940.0,973.0,6.42
1987-07-29,10.73,2.98,9.57,0,18.69919133341,543.967473053751,0.017597042,0.0367919469335769,0.0,0,0,16.0975371773796,4,315.65,311.73,315.65,312.34,20.90397351,15.1,1.16,1,0,0.0,31.763096614306196,0.026829118,6.7,5.88,0.008296757980182621,6.1,1590.0,2.53,8.551,99.78,0.077911347,61.2,72.6,57.4,36000.0,5.725229832,53340.0,965.0,6.42
1987-07-30,10.74,2.98,9.57,0,18.8429579045568,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.2217053028579,3,318.05,315.65,318.53,315.69,21.06291391,15.1,1.17,1,0,0.0,31.9955567501925,0.026633279,6.72,6.07,0.0120831873816232,6.1,1590.0,2.5839999999999996,8.594,99.58,0.077911347,61.2,72.6,57.4,30720.0,6.483348388,52260.0,970.0,6.42
1987-07-31,10.76,2.98,9.57,0,18.8806894847023,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.2545945536544,2,318.66,317.56,318.85,318.05,21.10331126,15.1,1.19,1,0,0.0,32.047841236324395,0.026588771,6.75,6.07,0.0129806553630853,6.1,1590.0,2.4219999999999997,8.652000000000001,99.79,0.077911347,61.2,72.6,57.4,51060.0,4.560484671,35820.0,976.0,6.42
1987-08-03,10.77,2.98,9.64,0,18.8176922141945,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.2007717344669,1,317.57,316.52,320.26,318.62,21.03112583,15.1,1.13,1,0,0.0,31.9292201900349,0.02668653,6.82,6.05,0.0317559739569161,6.1,1590.0,2.7039999999999997,8.783,100.46,0.077911347,61.2,72.6,57.4,31260.0,10.79006217,51300.0,982.0,6.42
1987-08-04,10.84,2.98,9.63,0,18.7398679997984,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.134189317933398,0,316.23,314.51,318.25,317.59,20.94238411,15.1,1.21,0,0,0.0,31.7855929803307,0.026806137,6.76,5.85,0.0520926291962214,6.1,1590.0,2.752,8.777999999999999,101.06,0.077911347,61.2,72.6,57.4,42300.0,6.858405938,32640.0,994.0,6.42
1987-08-05,10.86,2.98,9.66,0,18.8730136526693,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.2492322735109,0,318.45,316.23,319.74,316.25,21.08940397,15.1,1.2,0,0,0.0,31.9996888863631,0.026625744,6.68,5.85,0.0422609314563934,6.1,1590.0,2.696,8.7,100.69,0.077911347,61.2,72.6,57.4,30660.0,6.045814851,39120.0,1003.0,6.42
1987-08-06,10.85,2.98,9.65,0,19.0903441424661,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.4367447583178,0,322.09,317.5,322.09,318.49,21.33046358,15.1,1.2,0,0,0.0,32.3561670541621,0.026331247999999998,6.62,5.74,0.037653406872111,6.1,1590.0,2.801,8.7,100.86,0.077911347,61.2,72.6,57.4,35760.0,6.291280065,54000.0,1014.0,6.42
1987-08-07,10.85,2.98,9.66,0,19.1458885965667,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.4849756321763,0,323.0,321.82,324.15,322.1,21.39072848,15.1,1.19,0,0,0.0,32.4382362827068,0.02626419,6.57,5.85,0.0328422501653647,6.0,1590.0,2.64,8.671,101.33,0.077911347,64.0,74.3,57.5,31140.0,5.539037106,49140.0,1039.0,6.42
1987-08-10,10.79,2.98,9.65,0,19.4438970054917,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.7419533917863,0,328.0,322.95,328.0,322.98,21.7218543,15.1,1.14,0,0,0.0,32.9306848515744,0.025870837999999997,6.58,5.91,0.0178291252064227,6.0,1590.0,2.6260000000000003,8.715,101.22,0.077911347,64.0,74.3,57.5,30780.0,7.884739057000001,54000.0,1060.0,6.42
1987-08-11,10.77,2.98,9.64,0,19.7615182342944,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,17.0158026988482,0,333.33,328.0,333.4,328.02,22.07483444,15.1,1.13,0,0,0.0,33.455743020764,0.025464063999999998,6.47,5.94,-0.0129416367517012,6.0,1590.0,2.62,8.72,101.3,0.077911347,64.0,74.3,57.5,30720.0,12.30936341,53940.0,1074.0,6.42
1987-08-12,10.77,2.98,9.62,0,19.7074423772537,543.967473053751,0.01565473,0.0367919469335769,0.0,0,0,16.9696104093804,0,332.39,331.06,334.57,333.32,22.01258278,15.1,1.15,0,0,0.0,33.3514070988754,0.025543001,6.65,5.95,-0.00835577052012701,6.0,1590.0,2.603,8.712,101.14,0.077911347,64.0,74.3,57.5,52680.0,12.56844168,48900.0,1118.0,6.42
1987-08-13,10.76,2.98,9.6,0,19.8431004074385,543.967473053751,0.01565473,0.035878287664902,0.0,0,0,17.0867838327032,0,334.65,332.38,335.52,332.38,22.16225166,15.1,1.16,0,0,-0.000730927414939943,33.5680262340517,0.025377378,6.67,5.96,-4.43793959170255e-05,6.0,1590.0,2.461,8.579,101.12,0.077911347,64.0,74.3,57.5,30660.0,7.513281054,45240.0,1126.0,6.42
1987-08-14,10.76,2.98,9.63,0,19.8059901287624,550.756458676887,0.01565473,0.035878287664902,0.0,0,0,17.054876221621598,0,333.99,332.99,336.08,334.63,22.70496261,14.71,1.13,0,0,-0.0005481955612049589,33.4917335835475,0.025434537000000004,6.75,5.96,0.00509811029823051,6.0,1590.0,2.4330000000000003,8.551,100.56,0.077911347,64.0,74.3,57.5,31500.0,7.748407019,40800.0,1127.0,6.42
1987-08-17,10.75,2.98,9.64,0,19.7629299034453,550.756458676887,0.01565473,0.0385179724356748,0.0,0,0,17.062795200695902,0,334.11,332.88,335.43,333.98,22.71312033,14.71,1.11,0,1,0.00174628410914827,33.4054774175804,0.025432409,6.91,5.98,-0.00293613630886327,6.0,1590.0,2.4530000000000003,8.584,100.17,0.077911347,64.0,74.3,57.5,50880.0,9.412414504,32160.0,1129.0,6.42
1987-08-18,10.71,2.98,9.7,0,19.4774801315903,550.756458676887,0.01565473,0.0385179724356748,0.0,0,0,16.81638941994,0,329.25,326.43,334.11,334.1,22.38273283,14.71,1.01,0,0,0.0014010790087287,32.9099437641851,0.025814922999999997,6.7,6.02,0.0219782673614108,6.0,1611.0,2.544,8.716000000000001,98.77,0.077911347,64.0,74.3,57.5,40800.0,13.05720924,30720.0,1128.0,6.42
1987-08-19,10.77,2.98,9.72,0,19.513817554989604,550.756458676887,0.01565473,0.0385179724356748,0.0,0,0,16.8478045048134,0,329.83,326.54,329.89,329.26,22.42216179,14.71,1.05,0,0,0.00105587390830912,32.9582695504658,0.025776627000000003,6.66,6.04,0.0136589039347636,6.0,1611.0,2.5540000000000003,8.798,98.07,0.077911347,64.0,74.3,57.5,48960.0,8.119514694,53040.0,1129.0,6.39
1987-08-20,10.79,2.98,9.68,0,19.812281336650898,550.756458676887,0.01565473,0.0385179724356748,0.0,0,0,17.1055084963677,1,334.84,329.83,335.19,331.49,22.76274643,14.71,1.11,0,0,0.000527936954154561,33.448897315561,0.025397938999999998,6.63,6.11,-0.0110040569530051,6.0,1611.0,2.454,8.735,98.32,0.077911347,64.0,74.3,57.5,30720.0,7.39091478,50100.0,1129.0,6.39
1987-08-21,10.77,3.26,9.66,0,19.8770620412967,550.756458676887,0.01565473,0.0385179724356748,0.0,0,0,17.1614513046384,2,335.9,334.3,336.37,334.85,22.83480625,14.71,1.11,0,0,0.0,33.544721429336704,0.025324525,6.62,6.1,-0.0273494277224208,6.0,1611.0,2.476,8.764,97.33,0.077911347,64.0,74.3,57.5,46620.0,7.9609713939999995,32040.0,1128.0,6.39
