,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB
1990-02-14,10.1,3.13,9.2,0,16.490095715152,605.916966864865,0.016293003,0.0412179557212315,0.0,0,1,18.5101523955082,0,332.01,330.64,333.2,331.01,14.01477417,23.69,0.9,0,0,-0.00330715642538237,25.1425505839672,0.033585796,8.21,7.61,-0.0199751646874687,5.3,1235.0,0.500999999999999,8.373,92.25,0.004569996,49.1,50.8,47.2,51240.0,4.902004807,34800.0,1578.0,4.96,0.0312283372088244,22.05,2.0018
1990-02-15,10.12,3.13,9.21,0,16.4744089917016,605.916966864865,0.016293003,0.0506742909632676,0.0,0,1,18.6733015998227,0,334.89,331.61,335.21,331.99,14.13634445,23.69,0.9099999999999979,0,0,0.00508470087459205,25.1169934152115,0.033350951000000004,8.32,7.71,-0.033379179515867004,5.3,1625.0,0.44799999999999995,8.413,92.89,0.004569996,49.1,50.8,47.2,30780.0,4.931802554,54000.0,1576.0,4.96,0.0219742247400922,19.71,2.0199
1990-02-16,10.13,3.13,9.22,0,16.365493709397498,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.5548945315632,1,332.72,332.42,335.64,334.87,14.04474462,23.69,0.91,0,0,0.0040202229325304395,24.9493780334655,0.033545564,8.19,7.69,-0.013026716510725001,5.3,1625.0,0.47600000000000003,8.413,92.07,0.004569996,49.1,50.8,47.2,53880.0,6.8910714220000004,36720.0,1576.0,4.96,0.027337055227468,20.78,2.005
1990-02-20,10.1,3.13,9.28,0,16.1307069232253,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.2937066257367,2,327.99,326.26,332.72,332.62,13.84508231,23.69,0.82,0,0,0.00295574499046882,24.5899979272598,0.03407174,8.24,7.8,0.0061200551846593895,5.3,1625.0,0.5879999999999991,8.629,91.78,0.004569996,49.1,50.8,47.2,45120.0,8.776260242000001,30660.0,1592.0,4.96,0.0356895365529485,22.78,1.9769999999999999
1990-02-21,10.14,3.13,9.28,0,16.112841169099,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.278450341600198,3,327.67,324.47,328.17,327.91,13.8315745,23.69,0.8600000000000011,0,0,0.0018912670484072102,24.561346367157103,0.034068911,8.41,7.75,0.012026814841603997,5.3,1625.0,0.5939999999999991,8.603,91.88,0.004569996,49.1,50.8,47.2,31260.0,8.352069361,47400.0,1591.0,4.96,0.0410842545531995,23.89,1.9751
1990-02-22,10.2,3.13,9.26,0,16.0138554542302,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.1711497614887,4,325.7,325.7,330.98,327.73,13.74841705,23.69,0.94,0,0,0.0,24.409170802135502,0.034126067,8.28,7.73,0.0206195118086547,5.3,1625.0,0.574,8.539,91.84,0.004569996,49.1,50.8,47.2,54000.0,9.313059442,46080.0,1591.0,4.96,0.0352214554059072,22.54,1.9627
1990-02-23,10.2,3.34,9.26,0,15.9360402914986,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.0872705527558,5,324.15,322.1,326.13,325.69,14.15502183,22.9,0.94,1,0,0.0,24.288447706937898,0.034532161,8.25,7.68,0.0337685488042826,5.3,1625.0,0.619000000000001,8.537,92.2,0.004569996,49.1,50.8,47.2,38160.0,10.83932893,32340.0,1591.0,4.96,0.04223907047713299,23.69,1.9524
1990-02-26,10.21,3.34,9.26,0,16.156628721129902,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.3420796991158,4,328.67,323.98,328.67,324.15,14.35240175,22.9,0.9500000000000011,1,0,0.0,24.622405808873896,0.034050628,8.28,7.71,0.0145423314665309,5.3,1625.0,0.500999999999999,8.459,92.71,0.012028145,49.1,50.8,47.2,30720.0,9.566763591,53820.0,1593.0,4.96,0.042507300913832,23.56,1.9808
1990-02-27,10.22,3.34,9.24,0,16.23315678278,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.433410484725602,3,330.26,328.47,331.94,328.68,14.42183406,22.9,0.98,1,0,0.0,24.736710301475302,0.033950494,8.27,7.73,0.0221871835172246,5.3,1625.0,0.42399999999999893,8.414,92.83,0.012028145,49.1,50.8,47.2,30900.0,6.907513979,47400.0,1603.0,4.96,0.0394814529768905,22.69,1.9908
1990-02-28,10.19,3.34,9.25,0,16.311636675789302,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.5269867159445,2,331.89,330.16,333.48,330.27,14.493013099999999,22.9,0.94,1,0,0.0,24.8539572338582,0.033728886,8.29,7.77,0.0143513424684682,5.3,1625.0,0.48500000000000104,8.515,93.39,0.012028145,49.1,50.8,47.2,30720.0,6.752743084,41280.0,1604.0,4.96,0.0375201508641722,21.99,2.0147
1990-03-01,10.19,3.34,9.28,0,16.3517707449731,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.5770344070563,1,332.74,331.08,334.4,331.86,14.530130999999999,22.9,0.91,1,0,0.0,24.912759269834105,0.033607772,8.3,7.81,0.021590994233656003,5.3,1625.0,0.51,8.581,93.96,0.012028145,49.1,50.8,47.2,34620.0,7.623369775,48360.0,1603.0,4.96,0.0385677630687515,21.9,2.0199
1990-03-02,10.2,3.34,9.28,0,16.4877168973511,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.7359607339098,0,335.54,332.72,335.54,332.72,14.65240175,22.9,0.92,0,0,0.0,25.117422138578,0.033372236,8.27,7.76,0.00631128842394947,5.3,1625.0,0.5439999999999989,8.546,94.15,0.012028145,49.1,50.8,47.2,30660.0,5.25918388,36000.0,1606.0,4.96,0.0366153827718004,21.34,2.0442
1990-03-05,10.2,3.34,9.35,0,16.3976256195664,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.6380532793676,0,333.74,333.49,336.38,335.53,14.57379913,22.9,0.85,0,0,0.0,24.9776979621663,0.033714718,8.24,7.82,0.0138754410401252,5.3,1625.0,0.557,8.631,93.36,0.012028145,49.1,50.8,47.2,50280.0,7.3110793979999995,35940.0,1610.0,4.96,0.0395783522252216,22.03,2.0336
1990-03-06,10.28,3.34,9.36,0,16.601830517575,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.8746498441383,0,337.93,333.57,337.93,333.77,14.75676856,22.9,0.92,0,0,0.0,25.286139110219,0.033304531,8.21,7.9,-0.00651214761345101,5.3,1625.0,0.40299999999999897,8.562000000000001,93.59,0.012028145,49.1,50.8,47.2,33660.0,7.386412251,53700.0,1614.0,4.96,0.0332015609948157,20.55,2.0597
1990-03-07,10.24,3.34,9.35,0,16.5520294406921,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.8225152633235,0,336.95,336.33,338.84,337.92,14.713973800000002,22.9,0.890000000000001,0,0,0.0,25.2077002892904,0.033417243,8.4,7.91,-0.00102210066857981,5.3,1625.0,0.41200000000000103,8.579,93.37,0.012028145,52.5,44.6,49.1,52680.0,6.739075991,31620.0,1618.0,4.96,0.0273572467021291,19.1,2.0543
1990-03-08,10.19,3.34,9.34,0,16.7134478790807,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,19.0105777147493,0,340.27,336.95,340.66,336.98,14.85895197,22.9,0.85,0,0,0.0,25.451013679646,0.032753784,8.3,7.91,-0.00727256178098656,5.3,1625.0,0.36600000000000105,8.552999999999999,93.62,0.012028145,52.5,44.6,49.1,30660.0,5.235308224,53220.0,1622.0,4.96,0.0300437923477573,19.74,2.075
1990-03-09,10.23,3.34,9.35,0,16.5968281029548,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.882457896052802,0,337.93,336.84,340.12,340.12,14.73103749,22.94,0.880000000000001,0,0,0.0,25.2708330629989,0.033361791,8.29,7.99,0.010918560822973,5.3,1625.0,0.397,8.631,93.89,0.012028145,52.5,44.6,49.1,47520.0,6.4812675760000005,30660.0,1629.0,4.96,0.0327723965486944,20.3,2.0607
1990-03-12,10.24,3.34,9.35,0,16.631486683838002,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.926420990077396,0,338.67,336.14,339.08,337.91,14.76329555,22.94,0.890000000000001,0,0,0.0,25.32101096473,0.033250244,8.28,7.99,0.0134525084206048,5.3,1625.0,0.397,8.629,94.43,0.012028145,52.5,44.6,49.1,31260.0,5.1170303939999995,52380.0,1628.0,4.96,0.0319376527762915,20.07,2.0655
1990-03-13,10.24,3.34,9.38,0,16.4986974553625,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.779823833994698,0,336.0,335.36,338.67,338.66,14.64690497,22.94,0.859999999999999,0,0,0.0,25.116346525591897,0.033496845,8.23,7.98,0.0156376604143723,5.3,1625.0,0.465,8.708,94.28,0.012028145,52.5,44.6,49.1,44880.0,7.299551386,30660.0,1628.0,4.96,0.0359079636448117,21.05,2.0487
1990-03-14,10.23,3.34,9.42,0,16.5397444152705,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.831065130057603,0,336.87,334.93,337.63,335.99,14.68482999,22.94,0.81,0,0,0.0,25.1763200632052,0.033395345,8.21,7.95,0.00767384569481092,5.3,1625.0,0.429,8.628,94.2,0.012028145,52.5,44.6,49.1,40980.0,5.123788501,50580.0,1627.0,4.96,0.0305778690153282,19.65,2.0546
1990-03-15,10.23,3.34,9.44,0,16.5969852169444,597.855046437391,0.016293003,0.0506742909632676,0.0,0,1,18.9007605822052,0,338.07,336.87,338.91,336.89,14.73714037,22.94,0.790000000000001,0,0,0.0,25.260898677466997,0.033283255,8.29,7.94,-0.0078767593404039,5.3,1625.0,0.455,8.652000000000001,93.74,0.012028145,52.5,44.6,49.1,30660.0,4.458108469,47520.0,1620.0,4.96,0.0278505338254034,18.81,2.0626
1990-03-16,10.23,3.34,9.43,0,16.7838091303244,601.673850850405,0.016293003,0.0473793950664145,0.0,0,1,19.1180712162916,0,341.91,338.07,341.91,338.1,14.90453357,22.94,0.800000000000001,0,0,-0.0026359167174824396,25.542588369257697,0.032884034,8.22,7.92,-0.0146303414430555,5.3,1477.0,0.395000000000001,8.566,93.82,0.012028145,52.5,44.6,49.1,30660.0,4.772106224,52500.0,1606.0,4.96,0.0231148823412796,17.62,2.0889
1990-03-19,10.19,3.34,9.42,0,16.8616314783146,601.673850850405,0.016293003,0.0473793950664145,0.0,0,1,19.211279246606697,0,343.53,339.12,343.76,341.86,14.97515257,22.94,0.77,0,0,-0.00197693753811183,25.658312483885602,0.032731639,8.24,7.94,-0.0181459021637091,5.3,1477.0,0.381,8.581,93.49,0.012028145,52.5,44.6,49.1,35340.0,6.547076101,53940.0,1594.0,4.96,0.025167597538608998,18.29,2.1002
1990-03-20,10.2,3.34,9.39,0,16.6983139121593,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.104295168910898,0,341.57,340.87,344.49,343.51,14.88971229,22.94,0.8099999999999989,0,0,0.0018131610981672699,25.4071194528299,0.033017712000000005,8.26,7.97,-0.00102983327572247,5.3,1477.0,0.289999999999999,8.533,94.3,0.012028145,52.5,44.6,49.1,52560.0,9.013068297,40260.0,1590.0,4.96,0.0278593064429746,19.06,2.0885
1990-03-21,10.16,3.34,9.38,0,16.6072370235232,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.0045673687237,1,339.74,339.56,342.34,341.57,14.80993897,22.94,0.7799999999999989,0,0,0.00168936041331076,25.265933770864102,0.033192294,8.47,7.95,0.0058029745441098,5.3,1477.0,0.33299999999999996,8.564,94.57,0.012028145,52.5,44.6,49.1,53580.0,5.842212825,34920.0,1570.0,4.96,0.0325458922141944,20.1,2.0767
1990-03-22,10.16,3.34,9.37,0,16.407671176703,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,18.7806422007846,2,335.69,333.62,339.77,339.74,14.63339146,22.94,0.790000000000001,0,0,0.00156555972845425,24.959841774502802,0.033592749,8.28,7.9,0.0142481142173486,5.3,1477.0,0.36200000000000004,8.527999999999999,94.19,0.012028145,52.5,44.6,49.1,48480.0,9.790252721,32280.0,1569.0,4.96,0.0441700755173837,22.74,2.0522
1990-03-23,10.17,3.74,9.37,0,16.4808550493133,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,18.8688687668288,3,337.22,335.69,337.58,335.69,14.70008718,22.94,0.800000000000001,0,0,0.000782779864227125,25.068922168959197,0.032898405,8.25,7.88,0.00720506377154547,5.3,1477.0,0.38200000000000106,8.521,94.39,0.012028145,52.5,44.6,49.1,30660.0,5.364573762,35040.0,1557.0,4.96,0.0346778952825753,20.46,2.0623
1990-03-26,10.17,3.74,9.37,0,16.499293881206,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,18.8944389346294,4,337.63,337.22,339.74,337.22,14.717959900000002,22.94,0.800000000000001,0,1,0.0,25.0944386571006,0.033397862,8.25,7.86,0.00233724010115166,5.3,1477.0,0.379,8.495,94.36,0.001641202,52.5,44.6,49.1,30660.0,4.995398875,37380.0,1550.0,4.96,0.031528037815861,19.59,2.0647
1990-03-27,10.18,3.74,9.36,0,16.6867972385571,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.1136410816311,5,341.5,337.03,341.5,337.63,14.88666085,22.94,0.82,1,0,0.0,25.3769477290995,0.033059736,8.26,7.9,0.00541976156635604,5.3,1477.0,0.34299999999999997,8.512,94.55,0.001641202,52.5,44.6,49.1,42360.0,9.400556614,54000.0,1546.0,4.96,0.037300434001786,21.01,2.089
1990-03-28,10.17,3.74,9.36,0,16.7096124014977,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.144255596413696,4,342.0,340.6,342.58,341.5,14.90845684,22.94,0.81,1,0,0.0,25.4090070037016,0.032919474,8.3,7.85,-0.00349092326713718,5.3,1477.0,0.391,8.495,94.47,0.001641202,52.5,44.6,49.1,39600.0,5.901672122999999,47280.0,1539.0,4.96,0.0324120985219868,19.77,2.0912
1990-03-29,10.2,3.74,9.37,0,16.6488844580331,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.079153049357604,3,340.79,339.77,342.07,342.0,14.85571055,22.94,0.83,1,0,0.0,25.3140781043324,0.033015816,8.37,7.83,-0.0010009077217026801,5.3,1477.0,0.512,8.613999999999999,93.58,0.001641202,52.5,44.6,49.1,38700.0,5.938041301,33600.0,1532.0,4.96,0.0274864480160133,18.46,2.0833
1990-03-30,10.21,3.74,9.39,0,16.6058006272139,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.0342005819768,2,339.94,338.21,341.41,340.79,14.86401399,22.87,0.82,1,0,0.0,25.246007824408604,0.032979879,8.3,7.8,-0.000411196255150543,5.3,1477.0,0.584,8.628,93.77,0.001641202,52.5,44.6,49.1,34260.0,9.586854400000002,49140.0,1529.0,4.96,0.0322539214128456,19.73,2.061
1990-04-02,10.23,3.74,9.4,0,16.5436767166061,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,18.9674047021954,1,338.7,336.33,339.94,339.94,14.80979449,22.87,0.83,1,0,0.0,25.1491404726051,0.032902303,8.34,7.78,0.00703154407387086,5.3,1477.0,0.619,8.64,94.1,0.001641202,52.5,44.6,49.1,32820.0,6.802197385,30660.0,1528.0,4.96,0.045087690843754004,22.84,1.9845
1990-04-03,10.24,3.74,9.41,0,16.7833972404812,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.2466832711421,0,343.64,338.7,343.76,338.7,15.02579799,22.87,0.83,0,0,0.0,25.510921542944104,0.032545133999999996,8.31,7.82,-0.0053961658515412295,5.3,1477.0,0.5409999999999989,8.626,93.99,0.001641202,52.5,44.6,49.1,30660.0,7.319283088,51360.0,1513.0,4.96,0.0346131949643225,20.44,2.0136
1990-04-04,10.22,3.74,9.36,0,16.6572963434962,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.106498109122,0,341.09,340.4,344.12,343.64,14.91429821,22.87,0.8600000000000011,0,0,0.0,25.3164641378971,0.033245243,8.37,7.75,0.00161726466628928,5.3,1477.0,0.548000000000001,8.547,94.01,0.001641202,52.5,44.6,49.1,49500.0,7.966139431,39120.0,1499.0,4.96,0.0413799830812276,22.03,1.9989
1990-04-05,10.21,3.74,9.37,0,16.6381599987171,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.088968655128,0,340.73,340.63,342.85,341.09,14.89855706,22.87,0.8400000000000021,0,0,0.0,25.2846005207356,0.033303612999999996,8.31,7.76,0.00972771433286719,5.3,1477.0,0.5409999999999989,8.559,93.85,0.001641202,52.5,44.6,49.1,52980.0,6.274593052,40140.0,1483.0,4.96,0.0378340314773435,21.21,1.9971
1990-04-06,10.21,3.74,9.36,0,16.6048688296572,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.055198802400398,0,340.08,338.94,341.73,340.73,14.87013555,22.87,0.8500000000000011,0,0,0.0,25.231257350756803,0.033360944,8.26,7.76,0.012799355145538,5.2,1477.0,0.539,8.552,93.7,0.001641202,52.5,44.6,49.1,36540.0,6.74738374,32940.0,1466.0,4.96,0.0401062194605081,21.76,1.9931
1990-04-09,10.2,3.74,9.36,0,16.6662994178849,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.1301253846667,0,341.37,339.88,341.83,340.08,14.92654132,22.87,0.84,0,0,0.0,25.3218130812286,0.033232534,8.24,7.82,0.00884097857477004,5.2,1477.0,0.513,8.587,93.64,0.001641202,52.5,44.6,49.1,30720.0,4.352728685,34800.0,1462.0,4.96,0.0426661116000315,22.3,2.0009
1990-04-10,10.19,3.74,9.38,0,16.698917611602198,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.1719991818603,0,342.07,340.62,342.41,341.37,14.9571491,22.87,0.8099999999999989,0,0,0.0,25.3685633912116,0.033164528,8.21,7.78,-0.00475930133413886,5.2,1477.0,0.5909999999999991,8.623,92.97,0.001641202,52.5,44.6,49.1,32220.0,3.9591054160000003,40380.0,1462.0,4.96,0.0401747455393541,21.69,2.0038
1990-04-11,10.18,3.74,9.39,0,16.6900401719801,601.673850850405,0.016293003,0.0512932943875501,0.0,0,1,19.1662388012067,0,341.92,341.26,343.0,342.07,14.95059029,22.87,0.7899999999999989,0,0,0.0,25.3523159229741,0.033104703,8.2,7.76,-0.0120642293123743,5.2,1477.0,0.602,8.611,92.87,0.001641202,52.5,44.6,49.1,49440.0,3.9639270260000004,34440.0,1459.0,4.96,0.0247963278914922,17.73,2.0028
1990-04-12,10.18,3.74,9.4,0,16.8066026062005,601.673850850405,0.016293003,0.0463712171821218,0.0,0,1,19.3045405220406,0,344.34,341.91,344.79,341.92,15.05640577,22.87,0.7799999999999989,0,0,-0.0039376617643427,25.526503008246998,0.032940233,8.21,7.76,-0.0279341997515477,5.2,1477.0,0.640999999999999,8.633,92.91,0.001641202,52.5,44.6,49.1,30660.0,4.048968605,40440.0,1456.0,4.96,0.032582467565282,19.8,2.0176
1990-04-16,10.17,3.74,9.39,0,16.8245612855559,601.673850850405,0.016293003,0.0463712171821218,0.0,0,1,19.3296151186,0,344.74,344.17,347.3,344.34,15.07389593,22.87,0.7799999999999989,0,0,-0.0029532463232570198,25.5508798920742,0.032935923,8.31,7.74,-0.0413074021106925,5.2,1477.0,0.687,8.666,93.35,0.001641202,52.5,44.6,49.1,53580.0,5.8652964789999995,32340.0,1456.0,4.96,0.0361392726972344,20.75,2.0204
1990-04-17,10.19,3.74,9.44,0,16.741663813804,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,19.3289008928132,0,344.68,342.06,345.19,344.74,15.07127241,22.87,0.75,0,0,0.00177240742495002,25.422145170971397,0.032892219,8.39,7.76,-0.0432154449928884,5.2,1321.0,0.73,8.741,93.31,0.001641202,52.5,44.6,49.1,31620.0,6.821657521000001,52500.0,1447.0,4.96,0.0348114567623652,20.38,2.0207
1990-04-18,10.24,3.74,9.46,0,16.5478529875315,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,19.1094830977355,0,340.72,340.11,345.33,344.71,14.89811981,22.87,0.7799999999999989,0,0,0.00182151328925535,25.125123573337802,0.033297047,8.46,7.81,-0.0266126796660937,5.2,1321.0,0.789000000000001,8.851,92.94,0.001641202,52.5,44.6,49.1,52800.0,7.724047558,31080.0,1444.0,4.96,0.0448352339546464,22.67,1.9973
1990-04-19,10.31,3.74,9.47,0,16.4186664810841,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,18.9646287012465,1,338.09,337.59,340.72,340.72,14.78312199,22.87,0.84,0,0,0.00187061915356068,24.9263334317285,0.033574167,8.31,7.79,-0.0161852091990882,5.2,1321.0,0.834999999999999,8.863,93.08,0.001641202,52.5,44.6,49.1,54000.0,7.393100951,30660.0,1436.0,4.96,0.0440147695180595,22.46,1.982
1990-04-20,10.32,3.75,9.51,0,16.272994052877,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,18.800680057965,2,335.12,333.41,338.52,338.12,14.65325754,22.87,0.81,0,0,0.000935309576780341,24.7026235250256,0.033890487000000004,8.24,7.69,-0.0188692392450738,5.2,1321.0,0.996,8.945,93.39,0.001641202,52.5,44.6,49.1,48720.0,9.198235676,32040.0,1418.0,4.96,0.0477797608485616,23.33,1.9662
1990-04-23,10.37,3.75,9.56,0,16.0739386932052,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,18.5749968472766,3,331.05,330.09,335.12,335.12,14.47529515,22.87,0.8099999999999989,0,0,0.0,24.398091909207803,0.034177345,8.25,7.73,-0.0015270988210407401,5.2,1321.0,1.008,8.977,93.8,0.001641202,52.5,44.6,49.1,47460.0,5.910490415,30660.0,1414.0,4.96,0.0519362300036446,24.16,1.9426
1990-04-24,10.42,3.75,9.56,0,16.039019075395,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,18.538931010766397,4,330.36,329.71,332.97,331.22,14.44512462,22.87,0.859999999999999,0,0,0.0,24.342785642677498,0.034172932999999996,8.21,7.76,0.00493460429106221,5.2,1321.0,0.953999999999999,8.975,93.83,0.001641202,52.5,44.6,49.1,52860.0,5.778637057999999,38880.0,1402.0,4.96,0.0405656493711718,21.7,1.9385
1990-04-25,10.42,3.75,9.6,0,16.1186749380358,601.673850850405,0.016293003,0.0510477650660235,0.0,0,1,18.6352969987897,5,332.03,330.36,332.74,330.4,14.51814604,22.87,0.82,1,0,0.0,24.4613847856948,0.033887119,8.21,7.79,0.00657960783802657,5.2,1321.0,0.9510000000000011,8.992,93.08,0.001641202,52.5,44.6,49.1,30660.0,4.9491969110000005,51360.0,1390.0,4.96,0.0370972166997721,20.86,1.9478
