,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1,Hulbert.sentiment
2000-04-25,8.42000008,4.0,7.7,0,40.8621320445856,861.7568394614709,0.011749217,0.0368869898070612,1.1430281340000001,0,1,104.01832804956,5,1477.44,1429.86,1477.67,1429.86,30.20114473,48.92,0.7200000799999989,1,0,0.0,57.5902169586823,0.011361538000000001,5.99,5.63,-0.0286770535429603,4.1,1604.0,0.315,6.127999999999999,108.67,0.013128151000000001,56.2,78.7,54.9,30660.0,16.13857284,54000.0,1647.0,1.92,-0.0190501494294954,25.24,4.9532,39.3512,10.9,2.1421,2137.0,41.96,0.34,0.011145,-0.006629,-0.010653,0.233
2000-04-26,8.5,4.0,7.71,0,40.39576025924,861.7568394614709,0.011749217,0.0368869898070612,1.071220536,0,1,102.84450772976999,4,1460.99,1456.98,1482.94,1477.44,29.86488144,48.92,0.79,1,0,0.0,56.9342535199568,0.011495595,6.0,5.59,-0.0410227373871885,4.1,1604.0,0.381,6.13,108.55,-0.006214043000000001,56.2,78.7,54.9,52680.0,15.82290037,35640.0,1641.0,1.92,-0.0105690808117003,26.97,4.8972,39.3197,10.9,2.1365,1396.0,57.34,0.4,0.012131999999999999,-0.004608,0.022621000000000002,0.341
2000-04-27,8.51000023,4.0,7.75,0,40.49300027832471,861.7568394614709,0.011749217,0.0368869898070612,1.047580247,0,1,102.50448840628,3,1464.92,1434.81,1469.21,1460.99,29.94521668,48.92,0.7600002299999989,1,0,0.0,57.0727057995497,0.011406903000000001,6.0,5.58,-0.0301894881651661,4.1,1604.0,0.475,6.223,109.57,-0.006214043000000001,56.2,78.7,54.9,32280.0,24.06908601,52860.0,1635.0,1.92,-0.015884393814333,26.19,4.9108,39.2907,10.9,2.247,1258.0,22.18,0.42,0.011245,-0.0061329999999999996,2.3e-05,0.341
2000-04-28,8.56999969,4.0,7.73,0,40.136426665837796,861.7568394614709,0.011749217,0.0368869898070612,1.040437827,0,1,101.86819109240999,2,1452.43,1448.15,1473.62,1464.92,29.677768699999998,48.94,0.839999689999999,1,0,0.0,56.5716774826301,0.011554828999999999,6.06,5.65,-0.0119151847924869,4.1,1604.0,0.38299999999999995,6.212000000000001,110.14,-0.006214043000000001,56.2,78.7,54.9,53460.0,17.67490317,31200.0,1628.0,1.92,-0.015695116080072,26.2,4.8671,39.0891,10.9,2.246,1658.0,34.08,0.41,0.012597,-0.004264,0.001744,0.35
2000-05-01,8.56999969,4.0,7.74,0,40.5619276895364,861.7568394614709,0.011749217,0.0368869898070612,1.113166268,0,0,103.25045428937,1,1468.25,1452.43,1481.51,1452.43,29.84247967,49.2,0.829999689999999,1,0,0.0,57.172968496020204,0.011430696,6.17,5.67,-0.0329312606830058,4.1,1604.0,0.43899999999999895,6.278,109.63,-0.006214043000000001,56.2,78.7,54.9,31560.0,16.837605,50760.0,1628.0,1.92,-0.015676886694662998,25.88,4.9076,39.1276,10.9,2.3159,1900.0,52.41,0.33,0.013409,-0.00496,-0.010573,0.35
2000-05-02,8.59000015,4.0,7.79,0,39.9437904828877,861.7568394614709,0.008664995,0.0368869898070612,1.004183998,0,0,101.18807802434999,0,1446.29,1445.22,1468.25,1468.25,29.40211425,49.19,0.80000015,0,0,0.0,56.3114766180284,0.011605971000000001,6.05,5.74,-0.0207932276991146,4.1,1604.0,0.381,6.2989999999999995,110.26,-0.006214043000000001,56.2,78.7,54.9,53940.0,13.8204448,30660.0,1622.0,1.92,0.000115673612526873,28.5,4.8352,39.2299,10.9,2.3335,1250.0,69.73,0.49,0.013267,-0.006451999999999999,-0.024980000000000002,0.43700000000000006
2000-05-03,8.64000034,4.0,7.89,0,39.0711664320773,861.7568394614709,0.008664995,0.0368869898070612,0.96164401,0,0,98.818539336871,0,1415.1,1398.36,1446.29,1446.29,28.76219512,49.2,0.750000340000001,0,0,0.0,55.09158033426311,0.011753791000000001,6.05,5.74,-0.0199103152544921,4.1,1604.0,0.474,6.401,111.26,-0.005229401,56.2,78.7,54.9,52200.0,22.21599233,30660.0,1615.0,1.92,0.0186931497649452,31.63,4.7306,39.4221,10.9,2.4212,815.0,32.33,0.61,0.012422,-0.008859,-0.048353,0.35
2000-05-04,8.73999977,4.0,7.95,0,38.9073259754494,861.7568394614709,0.008664995,0.0368869898070612,1.000419287,1,0,99.564505219965,0,1409.57,1404.94,1420.99,1415.1,28.64979675,49.2,0.789999770000001,0,0,0.0,54.870980053283205,0.011762389,6.05,5.72,-0.004835369667307779,4.1,1604.0,0.510999999999999,6.4270000000000005,111.8,-0.005229401,56.2,78.7,54.9,49620.0,16.17856779,32700.0,1609.0,1.92,0.0261013148490494,30.77,4.7119,39.1927,10.9,2.4221,1535.0,34.84,0.49,0.013003,-0.0069310000000000005,-0.022928999999999998,0.43700000000000006
2000-05-05,8.84000015,4.0,7.99,0,39.5324762127783,861.7568394614709,0.008664995,0.0368869898070612,0.9748215570000001,0,0,100.7711824408,0,1432.63,1405.08,1436.03,1409.57,29.09484159,49.24,0.85000015,0,0,0.0,55.76288246677179,0.01158341,5.94,5.79,-0.00610287295159856,3.9,1604.0,0.54,6.505,111.31,-0.005229401,56.2,78.7,54.9,30780.0,16.76209483,35400.0,1609.0,1.92,0.0106646459194979,27.53,4.8161,39.3539,10.9,2.4267,1608.0,66.16,0.46,0.011578,-0.006194,-0.007515000000000001,0.415
2000-05-08,8.86999989,4.0,8.05,0,39.2877440102297,861.7568394614709,0.008664995,0.0368869898070612,0.893033538,0,0,100.01425700247,0,1424.17,1417.05,1432.63,1432.63,28.91715736,49.25,0.81999989,0,0,0.0,55.428410912423296,0.011481656000000002,6.01,5.89,0.0185727990521537,3.9,1604.0,0.512,6.56,111.45,-0.005229401,56.2,78.7,54.9,48900.0,13.69450223,30660.0,1607.0,1.92,0.0152412912743891,28.2,4.7883,39.084,10.9,2.4561,1219.0,67.21,0.43,0.011951,-0.004546,-0.01133,0.415
2000-05-09,8.92000008,4.0,8.01,0,38.9446974304028,861.7568394614709,0.008664995,0.0368869898070612,0.9108568490000001,0,0,99.21346245145,0,1412.14,1401.85,1430.28,1424.17,28.66707268,49.26,0.91000008,0,0,0.0,54.9552700947283,0.011572642,5.92,5.96,0.0362409706976509,3.9,1604.0,0.391,6.529,110.75,-0.005229401,56.2,78.7,54.9,47220.0,17.25247508,31020.0,1609.0,1.92,0.0191466680195827,28.93,4.7463,39.166,10.9,2.394,1264.0,98.13,0.42,0.01167,-0.004783,0.00418,0.32799999999999996
2000-05-10,8.89000034,4.0,8.0,0,38.13153599701221,861.7568394614709,0.008664995,0.0368869898070612,0.9354342059999999,0,0,96.97556480216998,0,1383.05,1375.14,1412.14,1412.14,28.09934986,49.22,0.89000034,0,0,0.0,53.81864794056501,0.011876447,5.95,5.93,0.048555973142956996,3.9,1604.0,0.252,6.42,110.8,-0.005229401,56.2,78.7,54.9,46020.0,24.65978327,30660.0,1611.0,1.92,0.0224243714564853,29.87,4.6547,39.2894,10.9,2.281,864.0,42.48,0.55,0.011773,-0.00513,-0.013558,0.24100000000000002
2000-05-11,8.88000011,4.0,8.02,1,38.803118522388395,861.7568394614709,0.008664995,0.0296405812862934,0.9749105790000001,0,0,99.191489982484,0,1407.81,1383.05,1410.26,1383.05,28.61402439,49.2,0.86000011,0,0,-0.00579712681661419,54.77672933999539,0.011840581999999999,6.05,5.91,0.0136106719593507,3.9,1604.0,0.389,6.409,111.52,-0.005229401,56.2,78.7,54.9,30660.0,16.37542984,50580.0,1614.0,1.92,0.0111358667191245,27.76,4.7398,39.5006,10.9,2.2564,1921.0,37.85,0.65,0.011961,-0.0076489999999999995,-0.017422999999999998,0.24100000000000002
2000-05-12,8.92000008,4.0,8.12,0,39.154388907926105,861.7568394614709,0.008664995,0.0296405812862934,0.967315725,0,0,100.26659075699,0,1420.96,1407.81,1430.13,1407.81,28.863701000000002,49.23,0.80000008,0,0,-0.00434784511246065,55.2827659008535,0.011720013,6.11,5.96,-0.012992458177633998,3.9,1604.0,0.38,6.5120000000000005,109.9,-0.005229401,56.2,78.7,54.9,30660.0,12.36755514,39960.0,1616.0,1.92,0.0033921640540585103,26.05,4.7814,39.5401,10.9,2.3155,1574.0,74.96,0.44,0.012034999999999999,-0.002712,0.014025999999999999,0.32799999999999996
2000-05-15,9.02999973,4.0,8.06,0,40.0082099009146,871.866100286181,0.008664995,0.0296405812862934,1.03217855,0,0,101.9998321306,0,1452.36,1416.54,1452.39,1420.96,29.50751727,49.22,0.96999973,0,1,-0.0028985634083071,56.498177793237105,0.011465133,6.34,5.93,-0.0376966033923081,3.9,1604.0,0.36700000000000005,6.446000000000001,110.56,-0.005229401,56.2,78.7,54.9,34920.0,13.847598300000001,53820.0,1615.0,1.92,0.000534540426899918,24.86,4.8852,39.2558,10.9,2.242,1724.0,86.9,0.42,0.011183,-0.002954,-0.006816,0.285
2000-05-16,8.98999977,4.0,8.02,0,40.3971488390024,871.866100286181,0.008664995,0.0296405812862934,1.071684543,0,0,102.98717221298,0,1466.04,1450.76,1470.4,1452.36,29.7794028,49.23,0.969999770000001,0,0,-0.00144928170415355,57.0573331447075,0.011308743000000001,6.13,6.01,-0.0621731888168978,3.9,1663.0,0.213,6.4239999999999995,111.31,-0.005229401,56.2,78.7,54.9,49800.0,16.84535914,52680.0,1612.0,1.92,0.0111839523048139,24.34,4.9309,39.3232,10.9,2.242,1638.0,77.65,0.52,0.013252000000000002,-0.002198,0.012121,0.22
2000-05-17,8.93999958,4.0,8.07,0,39.883173078141,871.866100286181,0.008664995,0.0296405812862934,1.071058008,0,0,101.91207143847001,0,1447.8,1441.67,1466.04,1466.04,29.414871999999995,49.22,0.86999958,0,0,0.0,56.3412793354824,0.011509345,6.25,5.91,-0.0355134115075417,3.9,1663.0,0.44300000000000106,6.496,112.1,-0.005229401,56.2,78.7,54.9,37140.0,12.39587478,30660.0,1610.0,1.92,0.0158721960181853,23.98,4.8693,39.4753,10.9,2.2903,1007.0,88.46,0.55,0.012426000000000001,-0.007937,-0.014975,0.29600000000000004
2000-05-18,9.01000023,4.0,8.12,0,39.580176984171096,871.866100286181,0.008664995,0.0296405812862934,0.982012808,0,0,100.66151387157,0,1437.21,1436.59,1458.04,1447.8,29.19971556,49.22,0.89000023,0,0,0.0,55.923211505975104,0.011595452,6.49,5.73,-0.0404797615633368,3.9,1663.0,0.645,6.54,112.09,-0.005229401,56.2,78.7,54.9,52680.0,10.85072839,33360.0,1609.0,1.92,0.0180984039286916,23.96,4.8348,39.561,10.9,2.3203,1271.0,60.87,0.47,0.012886000000000002,-0.006281,-0.024375,0.209
2000-05-19,9.07999992,4.1,8.1,0,38.735812505649704,871.866100286181,0.008664995,0.0296405812862934,0.923448122,0,0,99.081821413257,1,1406.95,1401.74,1437.21,1437.21,28.58492483,49.22,0.979999920000001,0,0,0.0,54.740317058116204,0.011874096,6.51,5.7,-0.0235353587164799,3.9,1663.0,0.622999999999999,6.494,111.47,-0.005229401,56.2,78.7,54.9,45960.0,15.76230073,30660.0,1607.0,1.92,0.0252080312216815,25.44,4.7336,39.5697,24.6,2.2504,936.0,89.47,0.81,0.012448,-0.0073,-0.0286,0.154
2000-05-22,9.06000042,4.1,8.05,0,38.5533454747627,871.866100286181,0.008664995,0.0296405812862934,0.849321777,0,0,98.335855530164,2,1400.72,1368.73,1410.55,1406.95,28.46413331,49.21,1.01000042,0,0,0.0,54.492614041706496,0.011920176999999999,6.52,5.7,0.016108728016818,3.9,1663.0,0.569,6.439,111.18,-0.005229401,56.2,78.7,54.9,47280.0,28.86731678,30900.0,1606.0,2.02,0.0251275137294076,26.0,4.7146,39.563,24.6,2.2136,1139.0,149.16,0.51,0.014386000000000001,-0.005879,-0.033520999999999995,0.111
2000-05-23,9.01000023,4.1,8.06,0,37.80339084372879,871.866100286181,0.008664995,0.0296405812862934,0.817463672,0,0,96.887804110041,3,1373.86,1373.6,1404.04,1400.72,27.95807896,49.14,0.950000229999999,0,0,0.0,53.442866057672994,0.012147918999999998,6.47,5.78,0.0331325037176998,3.9,1663.0,0.49700000000000005,6.435,111.44,-0.005229401,56.2,78.7,54.9,53940.0,22.1520596,31620.0,1598.0,2.02,0.027862960828922,25.87,4.6284,39.7331,24.6,2.2033,1362.0,84.67,0.41,0.013812,-0.007205,-0.022828,0.111
2000-05-24,9.0,4.1,8.04,0,38.4856815862019,871.866100286181,0.008664995,0.0296405812862934,0.8700806529999999,0,0,98.46749656835699,4,1399.05,1361.09,1401.75,1373.86,28.47069597,49.14,0.9600000000000011,0,0,0.0,54.4176838998746,0.011848697,6.48,5.74,0.0343144084579871,3.9,1663.0,0.564,6.47,111.22,-0.005229401,56.2,78.7,54.9,43260.0,28.39136029,53280.0,1589.0,2.02,0.0175885699724519,24.32,4.7147,39.9921,24.6,2.272,1397.0,57.33,0.46,0.01287,-0.009149,-0.040739,0.111
2000-05-25,8.98999977,4.1,7.95,0,37.992758680657396,871.866100286181,0.008664995,0.0296405812862934,0.8977588329999999,0,0,96.778070948945,5,1381.52,1373.93,1411.65,1399.05,28.10824008,49.15,1.03999977,1,0,0.0,53.7313216711878,0.011898118999999999,6.56,5.66,0.0688963051855928,3.9,1663.0,0.541,6.394,110.74,-0.005229401,56.2,78.7,54.9,53220.0,19.61082539,32100.0,1582.0,2.02,0.0180419004823662,24.58,4.6561,40.1333,24.6,2.2036,1293.0,53.02,0.49,0.013854,-0.003409,-0.019864,0.111
2000-05-26,8.89000034,4.1,7.9,0,37.88583126364521,871.866100286181,0.008664995,0.0296405812862934,0.974628055,0,0,96.887804110041,4,1378.02,1369.75,1391.42,1381.52,28.02562538,49.17,0.99000034,1,0,0.0,53.5905747967174,0.012004797,6.4,5.65,0.0628997366040415,3.9,1663.0,0.503,6.331,109.12,0.024838517999999997,56.2,78.7,54.9,52800.0,20.98069766,31320.0,1576.0,2.02,0.0182548946792211,24.47,4.6442,40.0172,24.6,2.1407,1479.0,67.7,0.61,0.0131,-0.006512,-0.040813,0.154
2000-05-30,8.84000015,4.1,7.94,0,39.096252791291,871.866100286181,0.008664995,0.0296405812862934,1.073650773,0,0,100.04718902667,3,1422.45,1378.02,1422.45,1378.02,28.87050944,49.27,0.900000149999999,1,0,0.0,55.3128573874273,0.011691715,6.71,5.6,0.0263492629544649,3.9,1663.0,0.612,6.376,108.93,0.024838517999999997,56.2,78.7,54.9,30660.0,11.87146703,53940.0,1569.0,2.02,0.0143608912576684,23.62,4.7911,40.6381,24.6,2.1743,1997.0,96.16,0.36,0.013872,-0.004399,-0.015916999999999997,0.24100000000000002
2000-05-31,8.86999989,4.1,7.88,0,39.03372691171921,871.866100286181,0.008664995,0.0296405812862934,1.118419433,0,0,100.26659075699,2,1420.6,1415.5,1434.49,1422.44,28.41768354,49.99,0.989999890000001,1,0,0.0,55.2353755938464,0.011708475,6.83,5.49,0.0310772420715838,3.9,1663.0,0.653,6.272,108.74,0.024838517999999997,56.2,78.7,54.9,31200.0,19.97506463,48120.0,1566.0,2.02,0.0139663471356818,23.65,4.7766,40.7535,24.6,2.1023,1682.0,50.57,0.43,0.012095999999999999,-0.002512,-0.001296,0.24100000000000002
2000-06-01,8.81000042,4.1,7.77,0,39.796948749898895,871.866100286181,0.008664995,0.0296405812862934,1.204179162,1,0,102.02180459956999,1,1448.81,1420.6,1448.81,1420.6,28.9762,50.0,1.04000042,1,0,0.0,56.326136245826,0.011487083,6.65,5.56,0.00980219452806828,3.9,1663.0,0.49,6.191,109.05,0.024838517999999997,56.2,78.7,54.9,30660.0,14.55087723,41160.0,1562.0,2.02,0.008007331809887221,22.36,4.8754,40.9955,24.6,2.0485,2036.0,35.07,0.39,0.013049000000000002,-0.005627,-0.013065,0.29600000000000004
2000-06-02,8.71000004,4.1,7.72,0,40.5663145577226,871.866100286181,0.008664995,0.0296405812862934,1.291695101,0,0,103.79892631924,0,1477.26,1448.81,1483.23,1448.81,29.5452,50.0,0.9900000400000011,0,0,0.0,57.4255914905555,0.011252136000000001,6.44,5.7,-0.009593716638311291,4.1,1663.0,0.287,6.152,108.12,0.024276386,56.2,78.7,54.9,30660.0,12.47201867,31800.0,1562.0,2.02,0.00530111673911319,21.48,4.9676,40.7166,24.6,2.0495,2184.0,90.53,0.32,0.013165999999999999,-0.000763,0.0034020000000000005,0.33899999999999997
2000-06-05,8.64999962,4.1,7.64,0,40.289811128913705,871.866100286181,0.008664995,0.0296405812862934,1.248868611,0,0,103.29433463543,0,1467.63,1464.68,1477.28,1477.26,29.32913669,50.04,1.00999962,0,0,0.0,57.044892557417704,0.011302638,6.51,5.71,-0.0165122830283215,4.1,1663.0,0.247,6.122000000000001,107.46,0.024276386,56.2,78.7,54.9,52320.0,14.53556813,35040.0,1561.0,2.02,0.0112976199182174,22.71,4.9324,40.7549,24.6,2.0117,1308.0,28.17,0.42,0.011112,-0.005051,-0.0058909999999999995,0.38299999999999995
2000-06-06,8.56000042,4.1,7.61,0,40.0090916363141,871.866100286181,0.008664995,0.0296405812862934,1.183424869,0,0,102.83355870581998,0,1457.84,1454.74,1471.36,1467.63,29.13349321,50.04,0.950000419999999,0,0,0.0,56.6582637276194,0.011359395,6.47,5.82,0.00655421129754298,4.1,1663.0,0.13699999999999998,6.122000000000001,106.59,0.024276386,56.2,78.7,54.9,51540.0,12.33879643,44760.0,1559.0,2.02,0.0134356109889167,23.05,4.8996,40.7103,24.6,2.0117,1507.0,42.22,0.41,0.012462,-0.002757,0.000154,0.33899999999999997
2000-06-07,8.52999973,4.1,7.58,0,40.3680801322398,871.866100286181,0.008664995,0.0296405812862934,1.16579452,0,0,103.5465932668,0,1471.36,1455.06,1474.64,1457.84,29.40367706,50.04,0.94999973,0,0,0.0,57.1772267776421,0.011301918000000001,6.5,5.75,0.00134757002933096,4.1,1663.0,0.251,6.141,106.18,0.024276386,51.5,65.7,53.2,33840.0,12.80037004,49560.0,1559.0,2.02,0.0115671971730855,22.48,4.9451,40.6603,24.6,2.0308,1532.0,47.88,0.41,0.012556999999999999,-0.00602,-0.026945,0.33899999999999997
2000-06-08,8.48999977,4.1,7.57,1,40.090275615806206,871.866100286181,0.008664995,0.0296405812862934,1.063800389,0,0,103.14072112827,0,1461.67,1456.49,1475.65,1471.36,29.21587048,50.03,0.91999977,0,0,0.0,56.794345715389206,0.011391833,6.54,5.75,0.00739322638312655,4.1,1663.0,0.225,6.124,106.73,0.024276386,51.5,65.7,53.2,52800.0,11.26341476,30660.0,1562.0,2.02,0.0138260196042933,22.77,4.914,40.694,24.6,2.0137,1308.0,31.39,0.36,0.013116,-0.004224,-0.02474,0.33899999999999997
2000-06-09,8.47999954,4.1,7.58,0,39.948903777716104,871.866100286181,0.008664995,0.0296405812862934,0.98196217,0,0,102.92131939795,0,1456.95,1454.96,1472.67,1461.67,29.10989011,50.05,0.89999954,0,0,0.0,56.6052239840032,0.011231621,6.47,5.75,0.00128998483325152,4.1,1663.0,0.21899999999999997,6.126,106.99,0.024276386,51.5,65.7,53.2,52740.0,9.644268089,31740.0,1564.0,2.02,0.0135195312821386,22.14,4.896,39.9522,24.6,2.0217,1672.0,44.63,0.42,0.013103,-0.007949,-0.031162,0.33899999999999997
2000-06-12,8.47000027,4.1,7.57,0,39.636878886377204,871.866100286181,0.008664995,0.0296405812862934,0.9763703970000001,0,0,101.71464217712,0,1446.0,1445.99,1462.93,1456.95,28.90843663,50.02,0.90000027,0,0,0.0,56.17428419546929,0.011318188,6.54,5.67,0.025790618747861,4.1,1663.0,0.22699999999999898,6.071000000000001,106.97,0.024276386,51.5,65.7,53.2,54000.0,10.26475888,32100.0,1566.0,2.02,0.0155056749997456,22.32,4.8605,39.9956,24.6,1.9861,1381.0,57.43,0.44,0.011502,-0.005625,-0.022823,0.512
2000-06-13,8.43999958,4.1,7.6,0,40.2674468323326,871.866100286181,0.008664995,0.0296405812862934,1.008518731,0,0,103.62340493498002,0,1469.44,1442.38,1470.42,1446.0,29.37704918,50.02,0.8399995800000011,0,0,0.0,57.0786321716345,0.011250626000000001,6.46,5.72,0.0036061050983805,4.1,1663.0,0.209,6.1160000000000005,106.4,0.024276386,51.5,65.7,53.2,33660.0,12.82834704,51480.0,1569.0,2.02,0.0128396402954672,21.67,4.9406,40.2035,24.6,2.0385,1700.0,30.64,0.53,0.012877000000000001,-0.005713,-0.051994000000000005,0.512
2000-06-14,8.47000027,4.1,7.59,0,40.285651780331605,871.866100286181,0.008664995,0.0302245229087266,1.021135077,0,0,103.79892631924,0,1470.54,1467.71,1483.62,1469.44,29.40491902,50.01,0.88000027,0,0,0.000467153297946509,57.1150573584107,0.011256538,6.54,5.66,0.00148136538352706,4.1,1663.0,0.22899999999999998,6.041,106.46,0.024276386,51.5,65.7,53.2,52800.0,14.21579431,35340.0,1570.0,2.02,0.0120082604765257,21.48,4.9423,39.9117,24.6,1.9643,1643.0,107.13,0.43,0.013604,-0.005032,-0.031586,0.5720000000000001
