,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF
1952-01-22,3.59,1.41,2.98,0,10.1068217329276,185.43568464730302,0.0,0.0,0.0,0,1,0.30080185974566,1,24.66,24.66,24.66,24.66,10.14814815,2.43,0.61,0,0,0.0
1952-01-23,3.59,1.41,2.98,0,10.0576728850329,185.43568464730302,0.0,0.0,0.0,0,1,0.299405869647772,2,24.54,24.54,24.54,24.54,10.09876543,2.43,0.61,0,0,0.0
1952-01-24,3.59,1.41,2.98,0,10.065902614510302,185.43568464730302,0.0,0.0,0.0,0,1,0.29971766617452195,3,24.56,24.56,24.56,24.56,10.10699588,2.43,0.61,0,0,0.0
1952-01-25,3.59,1.54,2.98,0,10.0618368476896,185.43568464730302,0.0,0.0,0.0,0,1,0.29966342836919396,4,24.55,24.55,24.55,24.55,10.10288066,2.43,0.61,0,0,0.0
1952-01-28,3.59,1.54,2.98,0,10.0864606766578,185.43568464730302,0.0,0.0,0.0,0,1,0.300463616537275,5,24.61,24.61,24.61,24.61,10.12757202,2.43,0.61,1,0,0.0
1952-01-29,3.59,1.54,2.98,0,10.070099294282599,185.43568464730302,0.0,0.0,0.0,0,1,0.300043084317549,4,24.57,24.57,24.57,24.57,10.11111111,2.43,0.61,1,0,0.0
1952-01-30,3.59,1.54,2.98,0,9.93078134520115,185.43568464730302,0.0,0.0,0.0,0,1,0.29595892728795803,3,24.23,24.23,24.23,24.23,9.971193416,2.43,0.61,1,0,0.0
1952-01-31,3.59,1.54,2.98,0,9.89392649403869,185.43568464730302,0.0,0.0,0.0,0,1,0.294927474096234,2,24.14,24.14,24.14,24.14,9.934156379,2.43,0.61,1,0,0.0
1952-02-01,3.53,1.56,2.93,0,9.95956839378486,185.43568464730302,0.0,0.0,0.0,0,1,0.296950613853827,1,24.3,24.3,24.3,24.3,10.04132231,2.42,0.6,1,0,0.0
1952-02-04,3.53,1.56,2.93,0,9.885858203626631,185.43568464730302,0.0,0.0,0.0,0,1,0.29481935424382805,0,24.12,24.12,24.12,24.12,9.966942149,2.42,0.6,0,0,0.0
1952-02-05,3.53,1.56,2.93,0,9.881823902301289,185.43568464730302,0.0,0.0,0.0,0,1,0.294765513786491,0,24.11,24.11,24.11,24.11,9.962809917000001,2.42,0.6,0,0,0.0
1952-02-06,3.53,1.56,2.93,0,9.91057883976147,185.43568464730302,0.0,0.0,0.0,0,1,0.29568973251866304,0,24.18,24.18,24.18,24.18,9.991735537,2.42,0.6,0,0,0.0
1952-02-07,3.53,1.56,2.93,0,9.88195237687112,185.43568464730302,0.0,0.0,0.0,0,1,0.294902146041935,0,24.11,24.11,24.11,24.11,9.962809917000001,2.42,0.6,0,0,0.0
1952-02-08,3.53,1.56,2.93,0,9.93529991245023,185.43568464730302,0.0,0.0,0.0,0,1,0.29656068299412897,0,24.24,24.24,24.24,24.24,10.01652893,2.42,0.6,0,0,0.0
1952-02-11,3.53,1.56,2.93,0,9.88208064929651,185.43568464730302,0.0,0.0,0.0,0,1,0.29503867197994704,0,24.11,24.11,24.11,24.11,9.962809917000001,2.42,0.6,0,0,0.0
1952-02-13,3.53,1.56,2.93,0,9.80426799910755,185.43568464730302,0.0,0.0,0.0,0,1,0.292782075829427,0,23.92,23.92,23.92,23.92,9.884297521,2.42,0.6,0,0,0.0
1952-02-14,3.53,1.56,2.93,0,9.78383750077894,185.43568464730302,0.0,0.0,0.0,0,1,0.29223855893971695,0,23.87,23.87,23.87,23.87,9.863636364,2.42,0.6,0,0,0.0
1952-02-15,3.53,1.56,2.93,0,9.77980199648299,185.43568464730302,0.0,0.0,0.0,0,1,0.29218463051910104,0,23.86,23.86,23.86,23.86,9.859504132,2.42,0.6,0,0,0.0
1952-02-18,3.53,1.56,2.93,0,9.73067899718045,185.43568464730302,0.0,0.0,0.0,0,1,0.2907836542409,0,23.74,23.74,23.74,23.74,9.809917355,2.42,0.6,0,0,0.0
1952-02-19,3.53,1.56,2.93,0,9.574984424138131,185.43568464730302,0.0,0.0,0.0,0,1,0.286197690828488,1,23.36,23.36,23.36,23.36,9.652892562,2.42,0.6,0,0,0.0
1952-02-20,3.53,1.56,2.93,0,9.46437576483784,185.43568464730302,0.0,0.0,0.0,0,1,0.28295830548532597,2,23.09,23.09,23.09,23.09,9.541322314,2.42,0.6,0,0,0.0
1952-02-21,3.53,1.63,2.93,0,9.493129358643062,185.43568464730302,0.0,0.0,0.0,0,1,0.28388469449902504,3,23.16,23.16,23.16,23.16,9.570247934,2.42,0.6,0,0,0.0
1952-02-25,3.53,1.63,2.93,0,9.52188327432302,185.43568464730302,0.0,0.0,0.0,0,1,0.28481130571518604,4,23.23,23.23,23.23,23.23,9.599173554,2.42,0.6,0,0,0.0
1952-02-26,3.53,1.63,2.93,0,9.48915272063172,185.43568464730302,0.0,0.0,0.0,0,1,0.28389906619505895,5,23.15,23.15,23.15,23.15,9.566115702000001,2.42,0.6,1,0,0.0
1952-02-27,3.53,1.63,2.93,0,9.5015108333702,185.43568464730302,0.0,0.0,0.0,0,1,0.284335586350612,4,23.18,23.18,23.18,23.18,9.578512397,2.42,0.6,1,0,0.0
1952-02-28,3.53,1.63,2.93,0,9.54666136660868,185.43568464730302,0.0,0.0,0.0,0,1,0.28575352704488693,3,23.29,23.29,23.29,23.29,9.623966942000001,2.42,0.6,1,1,0.0
1952-02-29,3.53,1.65,2.93,0,9.534456785153779,185.43568464730302,0.0,0.0,0.0,0,1,0.28545409526512394,2,23.26,23.26,23.26,23.26,9.651452282000001,2.41,0.6,1,1,0.0
1952-03-03,3.51,1.65,2.96,0,9.54684660287262,185.43568464730302,0.0,0.0,0.0,0,1,0.28589093066309995,1,23.29,23.29,23.29,23.29,9.663900415,2.41,0.55,1,0,0.0
1952-03-04,3.51,1.65,2.96,0,9.706806276755438,185.43568464730302,0.0,0.0,0.0,0,1,0.29074696847758,0,23.68,23.68,23.68,23.68,9.825726141,2.41,0.55,0,0,0.0
1952-03-05,3.51,1.65,2.96,0,9.71919785537342,185.43568464730302,0.0,0.0,0.0,0,1,0.29118401270291494,0,23.71,23.71,23.71,23.71,9.838174274,2.41,0.55,0,0,0.0
1952-03-06,3.51,1.65,2.96,0,9.71109341155054,185.43568464730302,0.0,0.0,0.0,0,1,0.291007107422593,0,23.69,23.69,23.69,23.69,9.829875519,2.41,0.55,0,0,0.0
1952-03-07,3.51,1.65,2.96,0,9.72348512097112,185.43568464730302,0.0,0.0,0.0,0,1,0.291444356570147,0,23.72,23.72,23.72,23.72,9.842323651000001,2.41,0.55,0,0,0.0
1952-03-10,3.51,1.65,2.96,0,9.674387245243171,185.43568464730302,0.0,0.0,0.0,0,1,0.290038681139419,0,23.6,23.6,23.6,23.6,9.79253112,2.41,0.55,0,0,0.0
1952-03-11,3.51,1.65,2.96,0,9.68267933333952,185.43568464730302,0.0,0.0,0.0,0,1,0.290353241528966,0,23.62,23.62,23.62,23.62,9.800829876,2.41,0.55,0,0,0.0
1952-03-12,3.51,1.65,2.96,0,9.72786606824963,185.43568464730302,0.0,0.0,0.0,0,1,0.29177421651698,0,23.73,23.73,23.73,23.73,9.846473029,2.41,0.55,0,0,0.0
1952-03-13,3.51,1.65,2.96,0,9.73615868223452,185.43568464730302,0.0,0.0,0.0,0,1,0.292088925789988,0,23.75,23.75,23.75,23.75,9.854771784,2.41,0.55,0,0,0.0
1952-03-14,3.51,1.65,2.96,0,9.7362524315067,185.43568464730302,0.0,0.0,0.0,0,1,0.292157739237282,0,23.75,23.75,23.75,23.75,9.854771784,2.41,0.55,0,0,0.0
1952-03-17,3.51,1.65,2.96,0,9.82087809889631,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.294317801206962,0,23.92,23.92,23.92,23.92,9.925311203,2.41,0.55,0,0,-0.00121074559621412
1952-03-18,3.51,1.65,2.96,0,9.80043200286311,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.29377143463900396,0,23.87,23.87,23.87,23.87,9.904564315,2.41,0.55,0,0,-0.000908059197160593
1952-03-19,3.51,1.65,2.96,0,9.779985496753689,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.293224939396683,0,23.82,23.82,23.82,23.82,9.883817427,2.41,0.55,0,0,-0.0006053727981070621
1952-03-20,3.51,1.65,2.96,0,9.80880844344334,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.294155518039774,1,23.89,23.89,23.89,23.89,9.912863071,2.41,0.55,0,0,-0.00030268639905353103
1952-03-21,3.51,1.52,2.96,0,9.825346512592269,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.294716928183095,2,23.93,23.93,23.93,23.93,9.970833333,2.4,0.55,0,0,0.0
1952-03-24,3.51,1.52,2.96,0,9.82546120512119,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.294785839258888,3,23.93,23.93,23.93,23.93,9.970833333,2.4,0.55,0,0,0.0
1952-03-25,3.51,1.52,2.96,0,9.76809228942304,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.293130151106286,4,23.79,23.79,23.79,23.79,9.9125,2.4,0.55,0,0,0.0
1952-03-26,3.51,1.52,2.96,0,9.76410012039768,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.29307587659264395,5,23.78,23.78,23.78,23.78,9.908333333,2.4,0.55,1,0,0.0
1952-03-27,3.51,1.52,2.96,0,9.85044111644326,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.295732973254642,4,23.99,23.99,23.99,23.99,9.995833333,2.4,0.55,1,0,0.0
1952-03-28,3.51,1.49,2.96,0,9.928571812703849,185.43568464730302,0.0,-0.00151343199526766,0.0,0,1,0.298144143337952,3,24.18,24.18,24.18,24.18,10.075,2.4,0.55,1,0,0.0
1952-03-31,3.51,1.49,2.96,0,10.006704234145198,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.30055587127050104,2,24.37,24.37,24.37,24.37,10.15416667,2.4,0.55,1,0,0.0
1952-04-01,3.5,1.49,2.93,0,9.928802605759929,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29828160309255203,1,24.18,24.18,24.18,24.18,10.075,2.4,0.57,1,0,0.0
1952-04-02,3.5,1.49,2.93,0,9.90428035452814,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29761047130604806,0,24.12,24.12,24.12,24.12,10.05,2.4,0.57,0,0,0.0
1952-04-03,3.5,1.49,2.93,0,9.90439524129137,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29767950998228804,0,24.12,24.12,24.12,24.12,10.05,2.4,0.57,0,0,0.0
1952-04-04,3.5,1.49,2.93,0,9.863446564351259,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29651440200907303,0,24.02,24.02,24.02,24.02,10.00833333,2.4,0.57,0,0,0.0
1952-04-07,3.5,1.49,2.93,0,9.7732201070485,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29386768843079397,0,23.8,23.8,23.8,23.8,9.916666667000001,2.4,0.57,0,0,0.0
1952-04-08,3.5,1.49,2.93,0,9.818504073375589,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29529498662141,0,23.91,23.91,23.91,23.91,9.9625,2.4,0.57,0,0,0.0
1952-04-09,3.5,1.49,2.93,0,9.830937076420241,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.29573459828100296,0,23.94,23.94,23.94,23.94,9.975,2.4,0.57,0,0,0.0
1952-04-10,3.5,1.49,2.93,0,9.90089432700367,186.28630705394198,0.0,-0.00151343199526766,0.0,0,1,0.297903753857193,0,24.11,24.11,24.11,24.11,10.08786611,2.39,0.57,0,0,0.0
1952-04-14,3.5,1.49,2.93,0,9.8427833229106,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29599592419330395,0,23.95,23.95,23.95,23.95,10.0209205,2.39,0.57,0,0,-0.000606060635046646
1952-04-15,3.5,1.49,2.93,0,9.719629898794391,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29235740133013205,0,23.65,23.65,23.65,23.65,9.89539749,2.39,0.57,0,0,-0.000454545476284984
1952-04-16,3.5,1.49,2.93,0,9.69099914776835,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29156124131390804,0,23.58,23.58,23.58,23.58,9.866108787,2.39,0.57,0,0,-0.000303030317523323
1952-04-17,3.5,1.49,2.93,0,9.62126850477525,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.28952841436853194,0,23.41,23.41,23.41,23.41,9.794979078999999,2.39,0.57,0,0,-0.000151515158761661
1952-04-18,3.5,1.49,2.93,0,9.658394606981199,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.290710710131826,0,23.5,23.5,23.5,23.5,9.832635983,2.39,0.57,0,0,0.0
1952-04-21,3.5,1.49,2.93,0,9.73662178681601,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.293130353197279,1,23.69,23.69,23.69,23.69,9.912133891,2.39,0.57,0,0,0.0
1952-04-22,3.5,1.49,2.93,0,9.6915489242216,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29183849238691306,2,23.58,23.58,23.58,23.58,9.866108787,2.39,0.57,0,0,0.0
1952-04-23,3.5,1.49,2.93,0,9.65058480513214,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.290670087987438,3,23.48,23.48,23.48,23.48,9.824267782,2.39,0.57,0,0,0.0
1952-04-24,3.5,1.49,2.93,0,9.63017035728531,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29012038154854,4,23.43,23.43,23.43,23.43,9.80334728,2.39,0.57,0,0,0.0
1952-04-25,3.5,1.34,2.93,0,9.675550974869571,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29155173015030894,5,23.54,23.54,23.54,23.54,9.890756303,2.38,0.57,1,0,0.0
1952-04-28,3.5,1.34,2.93,0,9.67982972716845,186.28630705394198,0.0,-0.00227100778907596,0.0,0,1,0.29174488344878,4,23.55,23.55,23.55,23.55,9.894957983,2.38,0.57,1,0,0.0
1952-04-29,3.5,1.34,2.93,0,9.655335675466109,188.83817427385898,0.0,-0.00227100778907596,0.0,0,1,0.29107089993383,3,23.49,23.49,23.49,23.49,9.869747899,2.38,0.57,1,0,0.0
1952-04-30,3.5,1.34,2.93,0,9.585625423412921,188.83817427385898,0.0,-0.00227100778907596,0.0,0,1,0.28903371719535703,2,23.32,23.32,23.32,23.32,9.798319328,2.38,0.57,1,0,0.0
1952-05-01,3.49,1.34,2.93,0,9.52413370674213,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.287243929465823,1,23.17,23.17,23.17,23.17,9.735294117999999,2.38,0.56,1,0,0.0
1952-05-02,3.49,1.31,2.93,0,9.68461302649623,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.29214870947981103,0,23.56,23.56,23.56,23.56,9.899159663999999,2.38,0.56,0,0,0.0
1952-05-05,3.49,1.31,2.93,0,9.72588782686466,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.293458602664397,0,23.66,23.66,23.66,23.66,9.941176471,2.38,0.56,0,0,0.0
1952-05-06,3.49,1.31,2.93,0,9.7301670900494,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.293652524592038,0,23.67,23.67,23.67,23.67,9.945378151,2.38,0.56,0,0,0.0
1952-05-07,3.49,1.31,2.93,0,9.787887161678519,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.295459287379151,0,23.81,23.81,23.81,23.81,10.00420168,2.38,0.56,0,0,0.0
1952-05-08,3.49,1.31,2.93,0,9.808610981943119,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.29614966301191603,0,23.86,23.86,23.86,23.86,10.02521008,2.38,0.56,0,0,0.0
1952-05-09,3.49,1.31,2.93,0,9.800590807233961,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.29597136359663395,0,23.84,23.84,23.84,23.84,10.05907173,2.37,0.56,0,0,0.0
1952-05-12,3.49,1.31,2.93,0,9.763792647216539,188.83817427385898,0.0,-0.00227100778907596,0.0,0,0,0.294923978605467,0,23.75,23.75,23.75,23.75,10.02109705,2.37,0.56,0,0,0.0
1952-05-13,3.49,1.31,2.93,0,9.750483483090239,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.295366488367044,0,23.78,23.78,23.78,23.78,10.03375527,2.37,0.56,0,0,0.0021192065372616802
1952-05-14,3.49,1.31,2.93,0,9.709699907375999,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.294194399077516,0,23.68,23.68,23.68,23.68,9.991561181,2.37,0.56,0,0,0.0015894049029462599
1952-05-15,3.49,1.31,2.93,0,9.677115259768849,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.293270506131644,0,23.6,23.6,23.6,23.6,9.957805907000001,2.37,0.56,0,0,0.0010596032686308401
1952-05-16,3.49,1.31,2.93,0,9.660931227372851,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.292843462188685,0,23.56,23.56,23.56,23.56,9.94092827,2.37,0.56,0,0,0.0005298016343154191
1952-05-19,3.49,1.31,2.93,0,9.68165220795888,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.293534985346823,0,23.61,23.61,23.61,23.61,9.962025316,2.37,0.56,0,0,0.0
1952-05-20,3.49,1.31,2.93,0,9.73517994561936,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.295221287453526,1,23.74,23.74,23.74,23.74,10.01687764,2.37,0.56,0,0,0.0
1952-05-21,3.49,1.31,2.93,0,9.751802339215711,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.29578878580765305,2,23.78,23.78,23.78,23.78,10.03375527,2.37,0.56,0,0,0.0
1952-05-22,3.49,1.31,2.93,0,9.805333712912288,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.297475888370419,3,23.91,23.91,23.91,23.91,10.08860759,2.37,0.56,0,0,0.0
1952-05-23,3.49,1.31,2.93,0,9.79738406460887,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.297297164759308,4,23.89,23.89,23.89,23.89,10.12288136,2.36,0.56,0,0,0.0
1952-05-26,3.49,1.31,2.93,0,9.818141822380689,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.29798951043754807,5,23.94,23.94,23.94,23.94,10.144067800000002,2.36,0.56,1,0,0.0
1952-05-27,3.49,1.31,2.93,0,9.793786687879939,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.29731280757839396,4,23.88,23.88,23.88,23.88,10.11864407,2.36,0.56,1,0,0.0
1952-05-28,3.49,1.31,2.93,0,9.77763281246903,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.29688495283075605,3,23.84,23.84,23.84,23.84,10.10169492,2.36,0.56,1,0,0.0
1952-05-29,3.49,1.31,2.93,0,9.786086674479119,188.83817427385898,0.0,0.000378000382501131,0.0,0,0,0.29720419089456,2,23.86,23.86,23.86,23.86,10.11016949,2.36,0.56,1,0,0.0
1952-06-02,3.5,1.31,2.94,0,9.76172823743657,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.296527010436791,1,23.8,23.8,23.8,23.8,10.08474576,2.36,0.56,1,0,0.0
1952-06-03,3.5,1.31,2.94,0,9.75377503760842,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.29634803455364195,0,23.78,23.78,23.78,23.78,10.07627119,2.36,0.56,0,0,0.0
1952-06-04,3.5,1.31,2.94,0,9.82375498600626,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.298536808967155,0,23.95,23.95,23.95,23.95,10.14830508,2.36,0.56,0,0,0.0
1952-06-05,3.5,1.31,2.94,0,9.88553455239436,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.30047679931345,0,24.1,24.1,24.1,24.1,10.21186441,2.36,0.56,0,0,0.0
1952-06-06,3.5,1.31,2.94,0,9.95145171954267,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.302541920204134,0,24.26,24.26,24.26,24.26,10.32340426,2.35,0.56,0,0,0.0
1952-06-09,3.5,1.31,2.94,0,9.996861868034769,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.303983983533633,0,24.37,24.37,24.37,24.37,10.37021277,2.35,0.56,0,0,0.0
1952-06-10,3.5,1.31,2.94,0,9.939718496011269,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.30230795340941696,0,24.23,24.23,24.23,24.23,10.3106383,2.35,0.56,0,0,0.0
1952-06-11,3.5,1.31,2.94,0,9.97282339988738,184.58506224066397,0.0,0.000378000382501131,0.0,0,0,0.303376385054701,0,24.31,24.31,24.31,24.31,10.34468085,2.35,0.56,0,0,0.0
1952-06-12,3.5,1.31,2.94,0,9.96934540211243,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.30344670666704304,0,24.31,24.31,24.31,24.31,10.34468085,2.35,0.56,0,0,0.00030228604176016897
1952-06-13,3.5,1.31,2.94,0,9.994241040404019,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.304265985795156,0,24.37,24.37,24.37,24.37,10.37021277,2.35,0.56,0,0,0.000226714531320127
1952-06-16,3.5,1.31,2.94,0,9.965822790024161,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.303462371745428,0,24.3,24.3,24.3,24.3,10.34042553,2.35,0.56,0,0,0.000151143020880085
1952-06-17,3.5,1.31,2.94,0,9.97841546550859,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.303907387240052,0,24.33,24.33,24.33,24.33,10.35319149,2.35,0.56,0,0,7.55715104400423e-05
1952-06-18,3.5,1.31,2.94,0,10.01971843423,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.30522687769657103,0,24.43,24.43,24.43,24.43,10.39574468,2.35,0.56,0,1,0.0
1952-06-19,3.5,1.31,2.94,0,10.052820526270802,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.306296796223891,1,24.51,24.51,24.51,24.51,10.42978723,2.35,0.56,0,0,0.0
1952-06-20,3.5,1.26,2.94,0,10.085957395815699,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.307366958431942,2,24.59,24.59,24.59,24.59,10.50854701,2.34,0.56,0,0,0.0
1952-06-23,3.5,1.26,2.94,0,10.0739765368328,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.30706240320619604,3,24.56,24.56,24.56,24.56,10.4957265,2.34,0.56,0,0,0.0
1952-06-24,3.5,1.26,2.94,0,10.090708044819301,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.307632955379761,4,24.6,24.6,24.6,24.6,10.51282051,2.34,0.56,0,0,0.0
1952-06-25,3.5,1.26,2.94,0,10.115644459848198,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.308453747456716,5,24.66,24.66,24.66,24.66,10.53846154,2.34,0.56,1,0,0.0
1952-06-26,3.5,1.26,2.94,0,10.1528887481944,184.58506224066397,0.0,0.000755857934701343,0.0,0,0,0.30964997304946096,4,24.75,24.75,24.75,24.75,10.57692308,2.34,0.56,1,0,0.0
1952-06-27,3.5,1.26,2.94,0,10.1860328570401,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.310721360885683,3,24.83,24.83,24.83,24.83,10.61111111,2.34,0.56,1,0,0.0
1952-06-30,3.5,1.26,2.94,0,10.239691031411,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.31241869003368394,2,24.96,24.96,24.96,24.96,10.66666667,2.34,0.56,1,0,0.0
1952-07-01,3.5,1.26,2.95,0,10.3056600964166,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.314491905010308,1,25.12,25.12,25.12,25.12,10.73504274,2.34,0.55,1,0,0.0
1952-07-02,3.5,1.26,2.95,0,10.2813736555951,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.31381127553293797,0,25.06,25.06,25.06,25.06,10.70940171,2.34,0.55,0,0,0.0
1952-07-03,3.5,1.26,2.95,0,10.2775995686201,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.31375661616775397,0,25.05,25.05,25.05,25.05,10.70512821,2.34,0.55,0,0,0.0
1952-07-07,3.5,1.26,2.95,0,10.2451042207451,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.312825177222333,0,24.97,24.97,24.97,24.97,10.67094017,2.34,0.55,0,0,0.0
1952-07-08,3.5,1.26,2.95,0,10.2413282089372,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.312770490911682,0,24.96,24.96,24.96,24.96,10.66666667,2.34,0.55,0,0,0.0
1952-07-09,3.5,1.26,2.95,0,10.200622650344599,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.31158801443803696,0,24.86,24.86,24.86,24.86,10.62393162,2.34,0.55,0,0,0.0
1952-07-10,3.5,1.26,2.95,0,10.1804310248909,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.311031954043558,0,24.81,24.81,24.81,24.81,10.6025641,2.34,0.55,0,0,0.0
1952-07-11,3.5,1.26,2.95,0,10.250514602898999,182.033195020747,0.0,0.000755857934701343,0.0,0,0,0.313233811554551,0,24.98,24.98,24.98,24.98,10.67521368,2.34,0.55,0,0,0.0
1952-07-14,3.5,1.26,2.95,0,10.2481471470735,182.033195020747,0.0,0.0030200098453399,0.0,0,0,0.31393144020374,0,25.03,25.03,25.03,25.03,10.696581199999999,2.34,0.55,0,0,0.00181132152851085
