,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1,Hulbert.sentiment,TYVIX,MVOLE
2004-01-16,6.32000017,5.7,5.43,0,30.6626545688586,866.188452801202,0.012009255,0.0185493589111312,0.9817457890000001,0,1,84.536310792021,0,1139.83,1132.05,1139.83,1132.05,23.19084435,49.15,0.89000017,0,0,0.000968214328370465,39.3152232948931,0.015048832,0.98,0.862,0.0140819395748605,5.7,2070.0,3.1538,4.0299,87.73,0.001591261,71.3,66.0,60.1,30660.0,7.5737726389999995,48600.0,5493.0,3.27,0.0156018082679401,15.0,3.1625,42.9979,0.0,2.2538,1755.0,70.17,0.35,0.011892,-0.0071849999999999995,-0.003622,0.335,8.25,12106.25
2004-01-20,6.34000015,5.7,5.48,0,30.626238912537197,866.188452801202,0.012009255,0.0185493589111312,0.981758958,0,1,84.514104747418,0,1138.77,1135.4,1142.93,1139.83,23.16456469,49.16,0.860000149999999,0,0,0.0006454762189136429,39.276667211218204,0.015065799,1.02,0.857,0.00402356036532123,5.7,2070.0,3.1889,4.0548,86.62,0.001591261,71.3,66.0,60.1,38400.0,7.15493527,32940.0,5418.0,3.27,0.0161404520446858,15.21,3.1591,43.1381,0.0,2.2789,1933.0,86.97,0.52,0.012833,-0.010459,-0.006314999999999999,0.335,8.54,11781.85
2004-01-21,6.38999987,5.7,5.47,0,30.8563006009498,866.188452801202,0.012009255,0.0185493589111312,1.026331811,0,1,85.180153615938,1,1147.62,1134.62,1149.21,1138.77,23.3445891,49.16,0.91999987,0,0,0.000322738109456822,39.5796961198285,0.015019257,1.0,0.867,-0.0153137414617467,5.7,2088.0,3.142,4.0182,86.34,0.001591261,71.3,66.0,60.1,34620.0,8.015941643,50520.0,5345.0,3.27,0.0134813655045354,14.34,3.1837,43.2063,0.0,2.2976,1915.0,316.12,0.47,0.012362999999999999,-0.009364,-0.000984,0.336,8.03,11398.72
2004-01-22,6.38000011,5.7,5.41,0,30.749433526032,866.188452801202,0.012009255,0.0185493589111312,0.9890424409999999,0,1,84.95814127338299,2,1143.94,1143.01,1150.51,1147.62,23.26499898,49.17,0.97000011,0,0,0.0,39.4507017913488,0.01500528,1.02,0.852,-0.011733047736492,5.7,2088.0,3.0869999999999997,3.9530000000000003,85.82,0.001591261,71.3,66.0,60.1,50340.0,9.072247523,32400.0,5299.0,3.27,0.0146389022216237,14.71,3.1731,43.3219,0.0,2.2538,1580.0,124.02,0.74,0.010568000000000001,-0.010493,-0.0034920000000000003,0.39799999999999996,7.94,10051.13
2004-01-23,6.32000017,5.6,5.49,0,30.677294446749396,866.188452801202,0.012009255,0.0185493589111312,0.9995823559999999,0,1,84.68431926707501,3,1141.55,1136.85,1150.31,1143.94,23.21639211,49.17,0.83000017,0,0,0.0,39.366229658782295,0.015044518,1.0,0.867,-0.0085050167896209,5.7,2088.0,3.1958,4.072,86.56,0.001591261,71.3,66.0,60.1,51480.0,9.555188306,33720.0,5273.0,3.27,0.0147611287595598,14.84,3.1659,42.8437,0.0,2.2961,1629.0,31.16,0.6,0.0119,-0.011819,-0.025805,0.39799999999999996,8.26,9259.29
2004-01-26,6.38999987,5.6,5.56,0,31.040684111373402,866.188452801202,0.012009255,0.0185493589111312,1.0040841679999999,0,1,85.749998492781,4,1155.37,1141.0,1155.38,1141.55,23.48313008,49.2,0.82999987,0,0,0.0,39.8405634287989,0.014859178999999998,1.08,0.882,-0.016702792041212,5.7,2088.0,3.2335,4.1301,87.25,0.001591261,71.3,66.0,60.1,30660.0,8.005591259,53700.0,5262.0,3.27,0.0138215998817401,14.55,3.2045,43.0848,0.0,2.3040000000000003,1760.0,79.81,0.47,0.013172,-0.008573,-0.020941,0.429,8.97,13578.39
2004-01-27,6.44000006,5.6,5.51,0,30.7286510642461,866.188452801202,0.012009255,0.0185493589111312,0.95010773,0,1,84.869332636094,5,1144.05,1144.05,1155.37,1155.37,23.25777597,49.19,0.93000006,1,1,0.0,39.4481342864025,0.01501159,1.02,0.897,-0.00804844173761431,5.7,2088.0,3.1669,4.0738,86.25,0.001591261,71.3,66.0,60.1,54000.0,8.92565004,33480.0,5276.0,3.27,0.0158810467870539,15.35,3.1734,43.5761,0.0,2.3016,1334.0,154.67,0.64,0.012195999999999999,-0.011639,-0.022078,0.429,8.67,10961.88
2004-01-28,6.36999989,5.6,5.59,0,30.302654524562303,866.188452801202,0.012009255,0.0185493589111312,0.840043828,0,1,83.899864802598,4,1128.48,1126.5,1149.14,1144.05,22.93658537,49.2,0.77999989,1,0,0.0,38.909216154945796,0.015380273,0.99,0.917,-0.0047670949188084,5.7,2088.0,3.2612,4.1885,86.97,-0.013367772,71.3,66.0,60.1,53580.0,12.68407086,36600.0,5340.0,3.27,0.0195907311916143,16.78,3.1298,44.2619,0.0,2.3264,841.0,55.13,0.66,0.012657999999999999,-0.013546,-0.033824,0.429,8.78,11535.13
2004-01-29,6.44999981,5.6,5.58,0,30.4460191899578,866.188452801202,0.012009255,0.0185493589111312,0.8049642109999999,0,1,83.981270684966,3,1134.11,1122.38,1134.39,1128.48,23.05570238,49.19,0.8699998099999989,1,0,0.0,39.1010691290071,0.015416194,1.0,0.917,-0.0028166765540350103,5.7,2088.0,3.2456,4.1729,87.58,-0.013367772,71.3,66.0,60.1,46260.0,14.31937037,51480.0,5457.0,3.27,0.0201239031985481,17.14,3.1455,44.1453,0.0,2.3342,1158.0,40.75,0.64,0.012565,-0.011857,-0.028755000000000003,0.36700000000000005,9.01,11641.35
2004-01-30,6.40999985,5.6,5.53,0,30.3582209892868,866.188452801202,0.012009255,0.0185493589111312,0.81637492,0,1,83.981270684966,2,1131.13,1127.73,1134.17,1134.11,22.98577525,49.21,0.87999985,1,0,0.0,38.9962932364286,0.01530428,1.03,0.897,0.00834128175221087,5.7,2088.0,3.2251,4.1319,87.2,-0.013367772,71.3,66.0,60.1,48780.0,10.2134528,30660.0,5551.0,3.27,0.0179955397548668,16.63,3.1364,44.0006,0.0,2.3383,1574.0,90.59,0.71,0.01251,-0.008355,-0.023931,0.312,8.7,10715.35
2004-02-02,6.3499999,5.6,5.55,0,30.461144693849,866.188452801202,0.011505885,0.0185493589111312,0.806152815,0,1,84.343895408135,1,1135.26,1127.87,1142.58,1131.13,22.994936199999998,49.37,0.7999999,1,0,0.0,39.1371885102923,0.015259068,1.01,0.902,0.0042940079647571395,5.7,2088.0,3.2285,4.1455,87.44,-0.013367772,71.3,66.0,60.1,35940.0,13.42098068,42540.0,5618.0,3.27,0.018863298567227002,17.11,3.1416,44.2249,0.0,2.3788,1656.0,57.69,0.61,0.01311,-0.008815,-0.028487000000000002,0.312,9.03,12384.4
2004-02-03,6.3499999,5.6,5.52,0,30.473896135289603,866.188452801202,0.011505885,0.0185493589111312,0.829334742,0,1,84.20328376757399,0,1136.03,1131.33,1137.44,1135.26,23.01519449,49.36,0.829999900000001,0,0,0.0,39.1622401114891,0.015245178,0.97,0.912,0.00918769883848036,5.7,2088.0,3.1695,4.0968,86.81,-0.013367772,71.3,66.0,60.1,31680.0,8.732756546000001,43440.0,5664.0,3.27,0.0196798998025271,17.34,3.1439999999999997,43.4037,-17.9,2.3535,1551.0,62.31,0.58,0.011998,-0.009061,-0.023615,0.312,9.02,10521.76
2004-02-04,6.30999994,5.6,5.53,0,30.210958746244103,866.188452801202,0.011505885,0.0185493589111312,0.843586898,0,1,83.515033294772,0,1126.52,1124.74,1136.03,1136.03,22.82252836,49.36,0.77999994,0,0,0.0,38.8328558384679,0.015526817,1.0,0.912,0.0279595429055538,5.7,2088.0,3.1952,4.1123,86.83,-0.010342898,71.3,66.0,60.1,47940.0,9.013339601,30660.0,5681.0,3.27,0.021251346862724,17.87,3.1180000000000003,43.6641,-17.9,2.3637,798.0,33.2,0.64,0.013890999999999999,-0.013278,-0.037549,0.312,9.12,11013.54
2004-02-05,6.30999994,5.6,5.55,0,30.2586353045505,866.188452801202,0.011505885,0.0185493589111312,0.915038635,1,1,83.759252421984,0,1128.59,1124.44,1131.17,1126.52,22.86446515,49.36,0.75999994,0,0,0.0,38.9027999185815,0.015364428000000001,1.01,0.9109999999999999,0.0214119485718347,5.7,2088.0,3.2396,4.1669,86.87,-0.010342898,71.3,66.0,60.1,37020.0,10.25685372,45540.0,5653.0,3.27,0.0204791212667954,17.71,3.1233,43.5243,-17.9,2.3752,1634.0,43.61,0.66,0.013021000000000001,-0.01055,-0.02074,0.249,9.7,13301.5
2004-02-06,6.32999992,5.6,5.51,0,30.630622742579398,866.188452801202,0.011505885,0.0185493589111312,1.004248384,0,1,84.69911811643601,0,1142.76,1128.39,1142.79,1128.59,23.15153971,49.36,0.81999992,0,0,0.0,39.3898434589302,0.015008453,0.99,0.907,0.0057457126890269605,5.6,2088.0,3.1602,4.0772,86.02,-0.010342898,71.3,66.0,60.1,32160.0,9.23578071,53340.0,5608.0,3.27,0.0145508378192477,16.0,3.1625,43.8937,-17.9,2.3609,2484.0,48.71,0.46,0.013855000000000001,-0.012346,-0.023045,0.249,8.43,27677.89
2004-02-09,6.28000021,5.6,5.49,0,30.5436570468572,866.188452801202,0.011505885,0.0185493589111312,1.008672725,0,1,84.72132416103899,0,1139.81,1139.21,1144.46,1142.76,23.09177472,49.36,0.79000021,0,0,0.0,39.28656998294979,0.015234573999999999,1.01,0.912,0.0144755044687807,5.6,2088.0,3.1248,4.052,86.0,-0.010342898,71.3,66.0,60.1,52020.0,5.845687742999999,45420.0,5545.0,3.27,0.0158638902130952,16.39,3.1544,44.0055,-17.9,2.3103,1706.0,73.15,0.59,0.013757,-0.008699,-0.031952,0.257,8.21,44357.7
2004-02-10,6.25,5.6,5.52,0,30.6892752042869,866.188452801202,0.011505885,0.0185493589111312,1.062352974,0,1,84.99514024691901,0,1145.54,1138.7,1147.02,1139.81,23.20315981,49.37,0.73,0,0,0.0,39.48242309180711,0.015141016,1.0,0.9209999999999999,0.006848433303865129,5.6,2088.0,3.1746,4.1121,85.84,-0.010342898,71.3,66.0,60.1,30960.0,7.164593681,43080.0,5458.0,3.27,0.0149664657426071,15.94,3.1698,43.8087,-17.9,2.3297,2020.0,163.71,0.62,0.012999,-0.010001000000000001,-0.031767000000000004,0.29,8.35,36556.98
2004-02-11,6.28000021,5.6,5.48,0,31.0086482213316,866.188452801202,0.011505885,0.0185493589111312,1.202580503,0,1,85.898006967836,0,1157.76,1142.33,1158.89,1145.54,23.45067855,49.37,0.800000209999999,0,0,0.0,39.90135353717721,0.015318296,1.0,0.91,-0.007442645994314079,5.6,2088.0,3.1135,4.0306,85.09,-0.010342898,71.3,66.0,60.1,33300.0,10.26820592,47040.0,5365.0,3.27,0.0130004275917521,15.39,3.2042,43.809,-17.9,2.2925,2112.0,63.63,0.56,0.012190000000000001,-0.010948000000000001,-0.027908999999999996,0.29,7.39,20617.83
2004-02-12,6.23999977,5.6,5.53,0,30.849375104819398,866.188452801202,0.011505885,0.0185493589111312,1.1823810190000001,0,1,85.587185987992,0,1152.11,1151.44,1157.76,1157.76,23.34096434,49.36,0.70999977,0,0,0.0,39.7046769053083,0.015227713,1.02,0.898,-0.0068594365211248395,5.6,2088.0,3.1372,4.0441,85.29,-0.010342898,71.3,66.0,60.1,51120.0,5.570262947000001,33960.0,5276.0,3.27,0.0130042080862501,15.31,3.1891,43.7883,-17.9,2.2857,1305.0,136.84,0.43,0.011529000000000001,-0.006940000000000001,-0.0072239999999999995,0.257,7.63,15160.84
2004-02-13,6.28000021,5.6,5.5,0,30.672790139961702,866.188452801202,0.011505885,0.0185493589111312,1.027766191,0,1,85.202354480166,0,1145.81,1143.23,1156.88,1152.11,23.21333063,49.36,0.78000021,0,0,0.0,39.4857038791115,0.015308742,1.01,0.897,-0.004880896110629021,5.6,2088.0,3.1334,4.0402,85.55,-0.010342898,71.3,66.0,60.1,41340.0,8.62877075,32520.0,5242.0,3.27,0.0135731696844564,15.58,3.1721,43.5297,-17.9,2.316,1145.0,48.27,0.59,0.012295,-0.009265,-0.035419,0.258,7.4,15845.88
2004-02-17,6.25,5.6,5.5,0,30.831288727411298,870.841306744704,0.011505885,0.0185493589111312,1.093498417,0,1,85.972010835336,0,1156.99,1145.81,1158.98,1145.81,23.43982982,49.36,0.75,0,0,0.0,39.6979050198416,0.015158739,1.02,0.897,-0.0156208607860698,5.6,2088.0,3.1316,4.0383,84.97,-0.010342898,71.3,66.0,60.1,30660.0,6.187899017,50400.0,5290.0,3.27,0.0130803357664392,15.4,3.2028,43.7084,-17.9,2.3006,2290.0,81.27,0.81,0.013519999999999999,-0.009584,-0.044381,0.258,7.35,12268.98
2004-02-18,6.23999977,5.6,5.49,0,30.6857717323258,870.841306744704,0.011505885,0.0185493589111312,0.9996493409999999,0,1,85.594588002859,1,1151.82,1149.42,1157.4,1156.99,23.33036257,49.37,0.74999977,0,0,0.0,39.518639976889894,0.015298337,1.0,0.912,-0.00703405721216646,5.6,1903.0,3.1206,4.0479,85.94,-0.010342898,71.3,66.0,60.1,48300.0,6.920527675,30660.0,5376.0,2.84,0.0139417261330207,15.59,3.1885,43.4751,-17.9,2.3068,1182.0,118.6,0.64,0.012968,-0.008636,-0.034732,0.258,7.4,10755.7
2004-02-19,6.23999977,5.6,5.47,0,30.551254450834104,870.841306744704,0.011505885,0.0185493589111312,0.8930473590000001,0,1,85.276364268094,2,1147.06,1146.83,1158.57,1151.82,23.23394774,49.37,0.76999977,0,0,0.0,39.35362592776371,0.015275452,1.0,0.912,-0.0027000581039981,5.6,1903.0,3.1033,4.0306,85.86,-0.010342898,71.3,66.0,60.1,53940.0,8.319193212,31200.0,5461.0,2.84,0.0144350101562196,15.8,3.1757,43.3482,-17.9,2.2896,1128.0,49.32,0.59,0.013557,-0.009137000000000001,-0.012368,0.258,7.49,11879.71
2004-02-20,6.23999977,4.6,5.53,0,30.465007244830698,870.841306744704,0.011505885,0.0195658415538809,0.8893161509999999,0,1,85.017341111148,3,1144.11,1139.0,1149.81,1147.06,23.17419486,49.37,0.70999977,0,0,0.000813186114199737,39.2507935448134,0.015287061999999999,0.99,0.9159999999999999,0.0010382607430718198,5.6,1903.0,3.1689,4.0961,87.24,-0.010342898,71.3,66.0,60.1,42840.0,9.222942402000001,30900.0,5516.0,2.84,0.0149260424878315,16.04,3.1677,42.9804,-17.9,2.3194,1109.0,98.7,0.66,0.014268000000000001,-0.012659,-0.026538,0.258,7.66,10857.25
2004-02-23,6.28000021,4.6,5.49,0,30.3742904977698,870.841306744704,0.011505885,0.0195658415538809,0.90649994,0,1,84.80272486303299,4,1140.99,1136.98,1146.69,1144.11,23.11568071,49.36,0.79000021,0,0,0.0006098895856498019,39.14215615042121,0.015346366,1.0,0.927,0.0134288129840752,5.6,1903.0,3.0989,4.0363,86.91,-0.010342898,71.3,66.0,60.1,47700.0,8.471986573999999,30900.0,5536.0,2.84,0.0157114966068546,16.29,3.1591,43.0776,-17.9,2.2973,1112.0,123.32,0.47,0.012354,-0.007128,-0.026818,0.258,7.28,11997.91
2004-02-24,6.25,4.6,5.47,0,30.316088447031003,870.841306744704,0.011505885,0.0195658415538809,0.8095393540000001,0,1,84.65471638797901,5,1139.09,1134.43,1144.54,1140.99,23.07251367,49.37,0.78,1,0,0.00040659305709987004,39.0754050231794,0.015370533,0.99,0.938,0.00930504988375418,5.6,1903.0,3.0751,4.0229,86.15,-0.010342898,71.3,66.0,60.1,49140.0,9.458087615,35280.0,5488.0,2.84,0.0144012007388794,15.9,3.1537,42.8839,-17.9,2.301,1556.0,164.27,0.65,0.013291999999999998,-0.013033000000000001,-0.036634,0.257,7.38,12413.92
2004-02-25,6.23000002,4.6,5.46,0,30.4303455995902,870.841306744704,0.011505885,0.0195658415538809,0.9096059040000001,0,1,85.009945016708,4,1143.67,1138.71,1145.24,1139.09,23.16997569,49.36,0.77000002,1,0,0.00020329652854993502,39.2307303487534,0.015434688,1.02,0.938,0.006934813860010811,5.6,1903.0,3.0496,4.0075,87.25,-0.010342898,71.3,66.0,60.1,38520.0,6.365237862000001,52860.0,5394.0,2.84,0.0114740709620353,14.93,3.1664,42.7701,-17.9,2.3265,2014.0,107.57,0.62,0.013438,-0.010593,-0.020852000000000002,0.29,7.22,12986.52
2004-02-26,6.23000002,4.6,5.49,0,30.4556978797726,870.841306744704,0.011505885,0.0195658415538809,1.008499628,0,1,85.06174801998,3,1144.91,1138.62,1147.23,1143.67,23.19039903,49.37,0.74000002,1,0,0.0,39.271488447848895,0.015396922,1.03,0.932,0.00891529092777196,5.6,1903.0,3.0867,4.0344,87.67,0.001139277,71.3,66.0,60.1,32640.0,5.603803854,41940.0,5317.0,2.84,0.0112802433259135,14.83,3.1697,42.478,-17.9,2.3687,1916.0,57.46,0.52,0.014138999999999999,-0.01178,-0.041317,0.29,7.38,9405.55
2004-02-27,6.25,4.6,5.43,0,30.448819124091898,870.841306744704,0.011505885,0.0195658415538809,1.013569781,0,1,85.120948597798,2,1144.94,1141.8,1151.68,1145.8,23.15817152,49.44,0.82,1,0,0.0,39.270840064451704,0.01531675,1.04,0.927,0.0115755635391689,5.6,1903.0,3.0337,3.9711,87.31,0.001139277,71.3,66.0,60.1,39120.0,7.977218418,33180.0,5263.0,2.84,0.0110319893423431,14.55,3.1681,42.4345,-17.9,2.3933,1092.0,56.26,0.59,0.014053,-0.010504000000000001,-0.045239,0.225,7.21,9549.72
2004-03-01,6.19999981,4.6,5.43,0,30.7340425797098,870.841306744704,0.011505885,0.0195658415538809,1.12519421,0,1,85.964614740896,1,1155.96,1144.94,1157.45,1144.94,23.30564516,49.6,0.76999981,1,0,0.0,39.646957253047105,0.015196996,1.04,0.9359999999999999,-0.010564641865373,5.6,1903.0,3.0254,3.9730000000000003,87.52,0.001139277,71.3,66.0,60.1,30660.0,6.717126947000001,50160.0,5205.0,2.84,0.0113384235887872,14.44,3.1919999999999997,42.5514,-17.9,2.4657,2343.0,105.68,0.55,0.012933000000000002,-0.008561,-0.048382,0.247,7.61,20704.45
2004-03-02,6.19999981,4.6,5.47,0,30.543857700369802,870.841306744704,0.011505885,0.0195658415538809,1.089892129,0,1,85.461377637113,0,1149.1,1147.31,1156.54,1155.97,23.16266882,49.61,0.72999981,0,0,0.0,39.409896650438,0.015297624,1.0,0.9420000000000001,-0.00870445939698048,5.6,1903.0,3.0841,4.0421,88.9,0.001139277,71.3,66.0,60.1,45840.0,8.666411665,32280.0,5150.0,2.84,0.0125289093275924,14.86,3.1727,42.333,-17.9,2.4814,1315.0,29.06,0.51,0.014990999999999999,-0.0097,-0.028397000000000002,0.225,8.11,11644.0
2004-03-03,6.23999977,4.6,5.48,0,30.5876198890456,870.841306744704,0.011505885,0.0195658415538809,1.029546429,0,1,85.616788127035,0,1151.04,1143.78,1152.44,1149.1,23.19709794,49.62,0.759999769999999,0,0,0.0,39.4743004200964,0.015535142,1.0,0.9420000000000001,-0.0274330434352129,5.6,1903.0,3.1021,4.0498,88.94,0.001139277,71.3,66.0,60.1,34620.0,7.436698799,49140.0,5109.0,2.84,0.0123477521865716,14.55,3.1777,42.163999999999994,-17.9,2.4757,1521.0,82.43,0.6,0.014002,-0.012294,-0.045408,0.187,8.06,11108.68
2004-03-04,6.25,4.6,5.45,0,30.681804421815702,870.841306744704,0.011505885,0.0195658415538809,1.0221440529999999,1,1,85.838801209643,0,1154.88,1149.81,1154.97,1151.03,23.24637681,49.68,0.8,0,0,0.0,39.6040637562664,0.015278791000000002,0.99,0.941,-0.0430769481150433,5.6,1903.0,3.0572,4.0151,89.14,-0.007145141,71.3,66.0,60.1,33600.0,5.116716855,43380.0,5135.0,2.84,0.012169621827262,14.4,3.1881,42.1022,-17.9,2.4378,1918.0,66.12,0.6,0.013987999999999999,-0.009391,-0.041341,0.187,7.76,23814.61
2004-03-05,6.21999979,4.6,5.32,0,30.726810482483202,870.841306744704,0.011505885,0.0195658415538809,1.12505176,0,1,86.12742132525801,0,1156.87,1148.71,1163.23,1154.87,23.28643317,49.68,0.89999979,0,0,0.0,39.670422840083106,0.015196643000000001,1.0,0.9309999999999999,-0.0333807184801631,5.6,1903.0,2.9015,3.8491,88.17,-0.007145141,71.3,66.0,60.1,31080.0,12.74192506,34980.0,5235.0,2.84,0.0120938273819215,14.48,3.1938,41.4183,-17.9,2.4042,2042.0,107.18,0.61,0.014384000000000001,-0.010904,-0.047675999999999996,0.257,6.81,15059.66
2004-03-08,6.0999999,4.6,5.29,0,30.462451434696003,870.841306744704,0.011505885,0.0195658415538809,0.978223512,0,1,85.076546869341,0,1147.21,1146.97,1159.94,1156.86,23.09198873,49.68,0.8099999,0,0,0.0,39.3373619703505,0.015374648000000001,1.0,0.927,-0.0334383749111,5.6,1903.0,2.8306,3.7680000000000002,87.9,-0.007145141,71.3,66.0,60.1,53940.0,7.537493942999999,32040.0,5300.0,2.84,0.0162410964276363,15.79,3.1674,41.7993,-17.9,2.3563,1251.0,50.29,0.66,0.013434,-0.009247,-0.049314,0.32,6.92,12369.94
