,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS
1968-04-10,6.93,1.97,6.17,0,20.1691477109491,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.17482489669231,0,95.67,95.67,95.67,95.67,17.33152174,5.52,0.76,0,0,0.0,37.0920590468612,0.030814837999999997,5.5,5.34,0.0142467732785372,3.6,1566.0,0.192,5.532,,-0.025099199
1968-04-11,6.98,1.97,6.2,0,20.347787721327,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.1946446301332,0,96.53,96.53,96.53,96.53,17.48731884,5.52,0.78,0,0,0.0,37.4212053746803,0.03054236,5.75,5.44,-0.0074546010514356595,3.6,1566.0,0.10199999999999901,5.542000000000001,,-0.025099199
1968-04-15,6.98,1.97,6.2,0,20.357771263704898,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.19627850886023,0,96.59,96.59,96.59,96.59,17.49818841,5.52,0.78,0,0,0.0,37.4401817935556,0.030525441,5.75,5.41,-0.013623684283494,3.6,1566.0,0.192,5.602,,-0.025099199
1968-04-16,6.98,1.97,6.2,0,20.3614322083539,327.31678672794703,0.0,0.0357180826020795,0.0,0,1,2.19723044344452,0,96.62,96.62,96.62,96.62,17.50362319,5.52,0.78,0,0,0.0,37.447527734352704,0.030518017,5.75,5.37,-0.00184060823259765,3.6,1566.0,0.252,5.622000000000001,,-0.025099199
1968-04-17,6.98,1.97,6.2,0,20.3988078804481,327.31678672794703,0.0,0.0357180826020795,0.0,0,1,2.20182104596792,0,96.81,96.81,96.81,96.81,17.53804348,5.52,0.78,0,0,0.0,37.5168780802,0.030460172,5.5,5.33,-0.00235977977303683,3.6,1476.0,0.292,5.622000000000001,,-0.025099199
1968-04-18,6.98,1.97,6.19,0,20.393455994176602,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.2082317117946,0,97.08,97.08,97.08,97.08,17.58695652,5.52,0.79,0,0,0.0023357680826674,37.5076414306506,0.030377499,5.75,5.34,-0.0020501826667301396,3.6,1476.0,0.302,5.642,,-0.025099199
1968-04-19,6.98,1.97,6.19,0,20.132433833653,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.18052338819977,1,95.85,95.85,95.85,95.85,17.30144404,5.54,0.79,0,0,0.00175182606200055,37.0282896841423,0.03076939,5.75,5.53,0.013677675604546002,3.6,1476.0,0.23199999999999898,5.7620000000000005,,-0.025099199
1968-04-22,6.98,1.97,6.19,0,20.018491623113,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.16873616318311,2,95.32,95.32,95.32,95.32,17.20577617,5.54,0.79,0,0,0.0011678840413337,36.81943621946979,0.030942556,5.88,5.51,0.0217833447454273,3.6,1476.0,0.272,5.782,,-0.025099199
1968-04-23,6.98,1.97,6.19,0,20.2594578085515,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.19539862908701,3,96.48,96.48,96.48,96.48,17.41516245,5.54,0.79,0,0,0.000583942020666847,37.2633570675449,0.030572584,5.5,5.49,0.0110143645725299,3.6,1476.0,0.242,5.732,,-0.025099199
1968-04-24,6.95,1.97,6.2,0,20.2862052989413,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.19885431417651,4,96.62,96.62,96.62,96.62,17.44043321,5.54,0.75,0,0,0.0,37.3132705025617,0.030530337999999997,5.0,5.5,0.0134466927971784,3.6,1476.0,0.222,5.722,,-0.025099199
1968-04-25,6.95,1.97,6.2,0,20.3465369245698,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.2059516628379803,5,96.92,96.92,96.92,96.92,17.49458484,5.54,0.75,1,0,0.0,37.4249566964738,0.030437884,5.88,5.5,0.0166534126395123,3.6,1476.0,0.222,5.722,,-0.025099199
1968-04-26,6.95,1.9,6.2,0,20.4047558950678,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.21282317852547,4,97.21,97.21,97.21,97.21,17.54693141,5.54,0.75,1,0,0.0,37.5327575965641,0.03034953,6.13,5.51,0.0143702953393031,3.6,1476.0,0.20199999999999999,5.712000000000001,,-0.024919061
1968-04-29,6.95,1.9,6.2,0,20.4545667573667,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.21878500269904,3,97.46,97.46,97.46,97.46,17.59205776,5.54,0.75,1,1,0.0,37.6250928031174,0.030274121,6.13,5.48,0.00864992573644437,3.6,1476.0,0.252,5.732,,-0.024919061
1968-04-30,6.95,1.9,6.2,0,20.4791848738777,327.31678672794703,0.0,0.0386377927054138,0.0,0,1,2.22201562217456,2,97.59,97.59,97.59,97.59,17.61552347,5.54,0.75,1,0,0.0,37.6710863802111,0.030236232999999998,6.25,5.51,0.0128874960195523,3.6,1476.0,0.23199999999999998,5.742000000000001,122.009,-0.024919061
1968-05-01,6.96,1.9,6.22,0,20.556254199291,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.2309388566053303,1,97.97,97.97,97.97,97.97,17.68411552,5.54,0.74,1,0,0.0,37.813563013808604,0.030121385,6.38,5.48,0.00909476846883684,3.6,1476.0,0.252,5.732,,-0.024919061
1968-05-02,6.96,1.9,6.22,0,20.683656350478397,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.24532837306182,0,98.59,98.59,98.59,98.59,17.79602888,5.54,0.74,0,0,0.0,38.048631223707,0.029934376000000002,6.25,5.48,-0.00249070937205713,3.6,1476.0,0.281999999999999,5.7620000000000005,,-0.024919061
1968-05-03,6.96,1.9,6.22,0,20.6956554748445,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.2471937043568198,0,98.66,98.66,98.66,98.66,17.80866426,5.54,0.74,0,0,0.0,38.0714109927875,0.029915551000000002,6.13,5.54,-0.00208174148590235,3.6,1476.0,0.262,5.8020000000000005,,-0.024919061
1968-05-06,6.96,1.9,6.22,0,20.6279523444995,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.24040394414093,0,98.35,98.35,98.35,98.35,17.75270758,5.54,0.74,0,0,0.0,37.9475663028474,0.030012266,6.13,5.48,-0.00208513172508928,3.6,1476.0,0.302,5.782,,-0.024919061
1968-05-07,6.96,1.9,6.22,0,20.740622138937198,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.25320408416183,0,98.9,98.9,98.9,98.9,17.85198556,5.54,0.74,0,0,0.0,38.155537017092904,0.02984777,6.0,5.52,-0.008374375518131291,3.6,1476.0,0.272,5.792000000000001,,-0.024919061
1968-05-08,7.0,1.9,6.25,0,20.740034507285,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.2537031314656497,0,98.91,98.91,98.91,98.91,17.85379061,5.54,0.75,0,0,0.0,38.1551536961586,0.029847158999999998,5.5,5.53,-0.00898300409150131,3.5,1476.0,0.271999999999999,5.8020000000000005,,-0.024919061
1968-05-09,7.0,1.9,6.25,0,20.628330007284998,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.24212598179277,0,98.39,98.39,98.39,98.39,17.759927800000003,5.54,0.75,0,0,0.0,37.9503429391412,0.030007324,6.25,5.55,-0.00851370849671755,3.5,1476.0,0.242,5.792000000000001,,-0.024919061
1968-05-10,7.0,1.9,6.25,0,20.6487244991135,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.24490487117842,0,98.5,98.5,98.5,98.5,17.77978339,5.54,0.75,0,0,0.0,37.988550266823395,0.029976634,6.25,5.55,-0.0168281852158473,3.5,1476.0,0.242,5.792000000000001,,-0.024919061
1968-05-13,7.0,1.9,6.25,0,20.581081899356303,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.23811191314104,0,98.19,98.19,98.19,98.19,17.72382671,5.54,0.75,0,0,0.0,37.8647855855914,0.030074102999999998,6.38,5.53,-0.01832859919068,3.5,1476.0,0.262,5.792000000000001,,-0.024919061
1968-05-14,7.0,1.9,6.25,0,20.5637575089503,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.23678861195133,0,98.12,98.12,98.12,98.12,17.71119134,5.54,0.75,0,0,0.0,37.833588891400204,0.030098389,6.5,5.6,-0.0126499941811045,3.5,1476.0,0.222,5.822,,-0.024919061
1968-05-15,7.01,1.9,6.25,0,20.5506307179775,327.31678672794703,0.0,0.0386377927054138,0.0,0,0,2.23592108062115,0,98.07,98.07,98.07,98.07,17.70216606,5.54,0.76,0,0,0.0,37.810109624419,0.030116972000000002,6.5,5.67,-0.00956518923706052,3.5,1476.0,0.182,5.852,,-0.024919061
1968-05-16,7.01,1.9,6.25,0,20.4495094869205,328.528323261179,0.0,0.0386377927054138,0.0,0,0,2.2254777647058503,0,97.6,97.6,97.6,97.6,17.61732852,5.54,0.76,0,0,0.0,37.6247255507956,0.030265255,6.38,5.78,-0.00692628766103326,3.5,1476.0,0.122,5.902,,-0.024919061
1968-05-17,7.01,1.9,6.25,0,20.241274463449102,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.20978870329512,0,96.9,96.9,96.9,96.9,17.49097473,5.54,0.76,0,0,-9.1608567262827e-05,37.2422482645092,0.030487166,6.38,5.8,0.0021255173518875898,3.5,1620.0,0.122,5.922000000000001,,-0.024919061
1968-05-20,7.01,1.9,6.25,0,20.1447406722357,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.1997989184226,0,96.45,96.45,96.45,96.45,17.40974729,5.54,0.76,0,0,-6.87064254471167e-05,37.0652778042175,0.030632699,6.13,5.82,0.005129430790182079,3.5,1620.0,0.141999999999999,5.962000000000001,,-0.024919061
1968-05-21,7.01,1.9,6.25,0,20.242450437386196,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2110190190999104,1,96.93,96.93,96.93,96.93,17.49638989,5.54,0.76,0,0,-4.58042836314135e-05,37.2457011566132,0.03048428,5.88,5.92,0.00663573466438999,3.5,1620.0,0.102,6.022,,-0.024919061
1968-05-22,6.99,1.9,6.27,0,20.2921114984386,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.21699409556114,2,97.18,97.18,97.18,97.18,17.54151625,5.54,0.7200000000000011,0,0,-2.2902141815703304e-05,37.3377162397832,0.030409125,5.0,5.86,0.00712211197802552,3.5,1620.0,0.162,6.022,,-0.024919061
1968-05-23,6.99,1.9,6.27,0,20.2457217918801,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2124758001208398,3,96.97,96.97,96.97,96.97,17.50361011,5.54,0.7200000000000011,0,0,0.0,37.25299263677721,0.030478252999999997,6.25,5.8,0.0170060897126773,3.5,1620.0,0.182,5.982,,-0.024919061
1968-05-24,6.99,1.81,6.27,0,20.280896532942702,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2168552206814502,4,97.15,97.15,97.15,97.15,17.66363636,5.5,0.7200000000000011,0,0,0.0,37.3180971683465,0.03042505,6.13,5.72,0.0283265765342658,3.5,1620.0,0.242,5.962000000000001,,-0.024919061
1968-05-27,6.99,1.81,6.27,0,20.2450953508049,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.21347675631741,5,96.99,96.99,96.99,96.99,17.63454545,5.5,0.7200000000000011,1,1,0.0,37.252597602442705,0.030478513999999998,6.0,5.67,0.0338526272667352,3.5,1620.0,0.252,5.922000000000001,,0.008019603
1968-05-28,6.99,1.81,6.27,0,20.3741847789602,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2281270216041498,4,97.62,97.62,97.62,97.62,17.74909091,5.5,0.7200000000000011,1,0,0.0,37.4905076656797,0.03028507,5.75,5.72,0.0224699259274355,3.5,1620.0,0.222,5.942,,0.008019603
1968-05-29,7.05,1.81,6.28,0,20.4343797175792,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2352469937176203,3,97.92,97.92,97.92,97.92,17.80363636,5.5,0.77,1,0,0.0,37.6016445150949,0.030195527000000003,5.75,5.73,0.0269706323969067,3.5,1620.0,0.222,5.952000000000001,,0.008019603
1968-05-31,7.05,1.81,6.28,0,20.590545847502998,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2528683842734702,2,98.68,98.68,98.68,98.68,17.94181818,5.5,0.77,1,0,0.0,37.889379426127206,0.029966189,6.13,5.68,0.0253763788454077,3.5,1620.0,0.182,5.862,122.04299999999999,0.008019603
1968-06-03,7.05,1.81,6.28,0,20.861426346256,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2830484302706,1,99.99,99.99,99.99,99.99,18.18,5.5,0.77,1,0,0.0,38.3882078063968,0.029576767,6.13,5.65,0.0135713072483112,3.5,1620.0,0.141999999999999,5.792000000000001,,0.008019603
1968-06-04,7.05,1.81,6.28,0,20.9403232015813,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2922259347091805,0,100.38,100.38,100.38,100.38,18.25090909,5.5,0.77,0,0,0.0,38.5337590840395,0.029465017000000003,5.75,5.66,0.0121448411712814,3.5,1620.0,0.122,5.782,,0.008019603
1968-06-05,7.1,1.81,6.29,0,20.8356478142151,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.28130930450737,0,99.89,99.89,99.89,99.89,18.16181818,5.5,0.81,0,0,0.0,38.34150162252129,0.029612733,5.5,5.65,0.0130029324560607,3.5,1620.0,0.162,5.812,,0.008019603
1968-06-06,7.1,1.81,6.29,0,20.991700753650104,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.2989391363161,0,100.65,100.65,100.65,100.65,18.3,5.5,0.81,0,0,0.0,38.6290299650164,0.029392282999999998,6.25,5.66,0.00424178631119665,3.5,1620.0,0.172,5.832000000000001,,0.008019603
1968-06-07,7.1,1.81,6.29,0,21.1185237798123,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.3133733319668703,0,101.27,101.27,101.27,101.27,18.41272727,5.5,0.81,0,0,0.0,38.8627699947113,0.029215471,6.13,5.66,-0.0118309082460258,3.5,1620.0,0.162,5.822,,0.008019603
1968-06-10,7.1,1.81,6.29,0,21.145233058562802,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.3168442945496097,0,101.41,101.41,101.41,101.41,18.43818182,5.5,0.81,0,0,0.0,38.9122769698981,0.029178269,6.25,5.68,-0.014607257544816002,3.5,1620.0,0.122,5.8020000000000005,,0.008019603
1968-06-11,7.1,1.81,6.29,0,21.1948717096636,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.32282875847913,0,101.66,101.66,101.66,101.66,18.48363636,5.5,0.81,0,0,0.0,39.0039765865965,0.029109637,6.38,5.72,-0.0118807003980661,3.5,1620.0,0.0720000000000001,5.792000000000001,,0.008019603
1968-06-13,7.09,1.81,6.29,0,21.106914883172,328.528323261179,0.0,0.0385232819963353,0.0,0,0,2.31373358844915,0,101.25,101.25,101.25,101.25,18.40909091,5.5,0.8,0,0,0.0,38.8424606064941,0.029230648999999997,6.25,5.69,-0.0063445037739823604,3.5,1620.0,0.0719999999999992,5.7620000000000005,,0.008019603
1968-06-14,7.09,1.81,6.29,0,21.079427954137,330.547550816564,0.0,0.0385232819963353,0.0,0,0,2.31126433614548,0,101.13,101.13,101.13,101.13,18.38727273,5.5,0.8,0,0,0.0,38.792219644873796,0.029268473,6.13,5.63,-0.007840622071731291,3.5,1620.0,0.0920000000000005,5.722,,0.008019603
1968-06-17,7.09,1.81,6.29,0,20.86854467573,330.547550816564,0.0,0.0385232819963353,0.0,0,0,2.2886829319596402,1,100.13,100.13,100.13,100.13,18.20545455,5.5,0.8,0,1,0.0,38.4044686127596,0.029563948,6.0,5.58,-0.0009946740617320779,3.5,1620.0,0.132,5.712000000000001,,0.008019603
1968-06-18,7.09,1.81,6.29,0,20.7765865525046,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.2857559502948503,2,99.99,99.99,99.99,99.99,18.18,5.5,0.8,0,0,0.00232220772636928,38.2355661559248,0.029608516,6.13,5.6,-0.0005959306268526661,3.5,1620.0,0.11199999999999999,5.712000000000001,,0.008019603
1968-06-20,7.08,1.81,6.28,0,20.8822495758688,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.29791611754326,3,100.51,100.51,100.51,100.51,18.27454545,5.5,0.8,0,0,0.00174165579477696,38.4303459826439,0.029458492000000003,6.38,5.4,-0.009792543601209921,3.5,1331.0,0.222,5.622000000000001,,0.008019603
1968-06-21,7.08,2.0,6.28,0,20.911026876079102,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.30161948964854,4,100.66,100.66,100.66,100.66,18.30181818,5.5,0.8,0,0,0.00116110386318465,38.4836278461117,0.029418142,6.38,5.2,-0.0130930409947957,3.5,1331.0,0.402,5.602,,0.008019603
1968-06-24,7.08,2.0,6.28,0,20.852559009588802,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.2957198841172,5,100.39,100.39,100.39,100.39,18.25272727,5.5,0.8,1,0,0.000580551931592323,38.3763430121548,0.02950082,6.5,5.2,-0.00699054931493706,3.5,1331.0,0.41200000000000003,5.612,,0.008019603
1968-06-25,7.08,2.0,6.28,0,20.785798700382898,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.2889048529596603,4,100.08,100.08,100.08,100.08,18.19636364,5.5,0.8,1,0,0.0,38.253790649783895,0.029595767999999998,5.75,5.34,0.007766435971362579,3.5,1331.0,0.302,5.642,,0.008019603
1968-06-27,7.07,2.0,6.29,0,20.7626658106999,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.28689186432048,3,99.98,99.98,99.98,99.98,18.17818182,5.5,0.78,1,0,0.0,38.21152353261579,0.029628942000000002,6.5,5.32,0.018922211568104,3.5,1331.0,0.332,5.652,,0.001597444
1968-06-28,7.07,2.0,6.29,0,20.6772467030586,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.27801658627743,2,99.58,99.58,99.58,99.58,18.10545455,5.5,0.78,1,0,0.0,38.054619055512795,0.029751543999999998,5.5,5.3,0.0257807188617671,3.5,1331.0,0.342000000000001,5.642,122.219,0.001597444
1968-07-01,7.07,2.0,6.29,0,20.6375255112319,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.27417301291168,1,99.4,99.4,99.4,99.4,18.07272727,5.5,0.78,1,0,0.0,37.981811227567704,0.029809013,6.13,5.3,0.0291687414363514,3.5,1331.0,0.322,5.622000000000001,,0.001597444
1968-07-02,7.07,2.0,6.29,0,20.7057658712093,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.28222605954082,0,99.74,99.74,99.74,99.74,18.13454545,5.5,0.78,0,0,0.0,38.1076944521637,0.029710979,5.5,5.34,0.0252787412771119,3.5,1331.0,0.242,5.582000000000001,,0.001597444
1968-07-03,7.04,2.0,6.27,0,20.9462789358682,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.30927192730094,0,100.91,100.91,100.91,100.91,18.34727273,5.5,0.77,0,0,0.0,38.550634890918005,0.029370034,5.5,5.39,0.0128419604696005,3.5,1331.0,0.182,5.572,,0.001597444
1968-07-08,7.04,2.0,6.27,0,21.157682324372498,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.33311718355953,0,101.94,101.94,101.94,101.94,18.53454545,5.5,0.77,0,0,0.0,38.940002077190705,0.029076783,6.0,5.33,-0.0027938877731548,3.5,1331.0,0.20199999999999999,5.532,,0.001597444
1968-07-09,7.04,2.0,6.27,0,21.215469877017103,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.3400287441141097,0,102.23,102.23,102.23,102.23,18.58727273,5.5,0.77,0,0,0.0,39.0466436136255,0.028997794,6.13,5.38,-0.00818979305707067,3.5,1331.0,0.132,5.5120000000000005,,0.001597444
1968-07-11,7.04,2.0,6.27,0,21.2462708343794,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.34396543329644,0,102.39,102.39,102.39,102.39,18.61636364,5.5,0.77,0,0,0.0,39.1036135035252,0.028955968,6.0,5.39,-0.0194630418039844,3.8,1331.0,0.13200000000000098,5.522,,0.001597444
1968-07-12,7.04,2.0,6.27,0,21.2334959648924,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.34309515372401,0,102.34,102.34,102.34,102.34,18.60727273,5.5,0.77,0,0,0.0,39.080378077645996,0.028973605,6.0,5.38,-0.0302883204623811,3.8,1331.0,0.152,5.532,,0.001597444
1968-07-15,7.04,2.0,6.27,0,21.214502205274197,330.547550816564,0.0,0.0414260416542969,0.0,0,0,2.34153791561392,0,102.26,102.26,102.26,102.26,18.59272727,5.5,0.77,0,1,0.0,39.0456917938085,0.028999764,6.25,5.42,-0.0307134119154337,3.8,1331.0,0.142,5.562,,0.001597444
1968-07-16,7.04,2.0,6.27,0,21.0959467577653,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.32898951018871,0,101.7,101.7,101.7,101.7,18.49090909,5.5,0.77,0,0,0.0,38.8277540721766,0.02916296,6.38,5.47,-0.0381017481262615,3.8,1331.0,0.102,5.572,,0.001597444
1968-07-18,7.03,2.0,6.27,0,21.039642863660003,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.32330980133048,1,101.44,101.44,101.44,101.44,18.44363636,5.5,0.760000000000001,0,0,0.0,38.724385599057,0.029241227999999998,6.13,5.34,-0.0314650064469571,3.8,1313.0,0.222,5.562,,0.001597444
1968-07-19,7.03,2.0,6.27,0,20.834035358852,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.30113905277728,2,100.46,100.46,100.46,100.46,18.26545455,5.5,0.760000000000001,0,0,0.0,38.346209593798,0.029530035,6.13,5.29,-0.0287979102972729,3.8,1313.0,0.242,5.532,,0.001597444
1968-07-22,7.03,2.0,6.27,0,20.5973715482377,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.27552975664598,3,99.33,99.33,99.33,99.33,18.06,5.5,0.760000000000001,0,0,0.0,37.9108629452008,0.029869571,6.13,5.27,-0.0165638163964019,3.8,1313.0,0.182,5.452000000000001,,0.001597444
1968-07-23,7.03,2.0,6.27,0,20.570175947973603,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.2730552434354303,4,99.21,99.21,99.21,99.21,18.03818182,5.5,0.760000000000001,0,0,0.0,37.8610492493254,0.029909299,6.0,5.26,-0.0200707909524944,3.8,1313.0,0.122,5.382000000000001,,0.001597444
1968-07-25,6.99,2.0,6.26,0,20.304574374224302,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.24423214521616,5,97.94,97.94,97.94,97.94,17.80727273,5.5,0.73,1,0,0.0,37.37242259153879,0.030300782999999998,6.13,5.2,-0.0138943894349505,3.8,1313.0,0.172,5.372000000000001,,0.001597444
1968-07-26,6.99,1.78,6.26,0,20.3853153102537,331.961010105334,0.0,0.0414260416542969,0.0,0,0,2.2536734059308903,4,98.34,98.34,98.34,98.34,17.97806216,5.47,0.73,1,0,0.0,37.5210773523494,0.03018157,6.13,5.2,-0.0156926794185185,3.8,1313.0,0.192,5.392,,0.034540949
1968-07-29,6.99,1.78,6.26,0,20.123561657098698,331.961010105334,0.0,0.0411822899664154,0.0,0,0,2.23813611807709,3,97.65,97.65,97.65,97.65,17.85191956,5.47,0.73,1,0,-0.000195001350305188,37.039333684204,0.030398897999999997,6.0,5.19,-0.00452560889555056,3.8,1313.0,0.222,5.412000000000001,,0.034540949
1968-07-30,6.99,1.78,6.26,0,20.1400584738199,331.961010105334,0.0,0.0411822899664154,0.0,0,0,2.24047450152609,2,97.74,97.74,97.74,97.74,17.86837294,5.47,0.73,1,0,-0.000146251012728894,37.0697315633608,0.030374966,5.88,5.2,-0.007603529347533971,3.8,1313.0,0.212,5.412000000000001,,0.034540949
1968-08-01,6.95,1.78,6.22,0,20.0432334830778,331.961010105334,0.0,0.0411822899664154,0.0,0,0,2.23020563172685,1,97.28,97.28,97.28,97.28,17.78427788,5.47,0.73,1,0,-9.75006751525939e-05,36.8915450510066,0.030522677,6.0,4.97,-0.00318888271576411,3.8,1313.0,0.41200000000000003,5.382000000000001,,0.034540949
