,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY
1967-02-24,5.82,1.75,5.01,0,19.9019820793978,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9176107661858801,4,87.41,87.41,87.41,87.41,15.86388385,5.51,0.81,1,0,0.0,36.7188811578132,0.033243717,4.75,4.59,0.00979359497672364,3.7,1243.0,0.142,4.732,
1967-02-27,5.82,1.75,5.01,0,19.681673012755198,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.8970255011318897,3,86.46,86.46,86.46,86.46,15.69147005,5.51,0.81,1,0,0.0,36.3133935044302,0.033613121,4.75,4.54,0.0185623015470199,3.7,1243.0,0.182,4.7219999999999995,
1967-02-28,5.82,1.75,5.01,0,19.7504996087234,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.90430262544917,2,86.78,86.78,86.78,86.78,15.74954628,5.51,0.81,1,0,0.0,36.441358487059205,0.033493289,4.75,4.54,0.0155451912373419,3.7,1243.0,0.182,4.7219999999999995,119.81
1967-03-01,5.83,1.75,5.06,0,19.9512784156612,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9243082629796202,1,87.68,87.68,87.68,87.68,15.91288566,5.51,0.77,1,0,0.0,36.8127943563612,0.033153567,3.75,4.45,0.00647285349870619,3.7,1243.0,0.212,4.662,
1967-03-02,5.83,1.75,5.06,0,20.056428785555198,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.93509884317185,0,88.16,88.16,88.16,88.16,16.0,5.51,0.77,0,0,0.0,37.0077923651168,0.032977109,4.5,4.41,0.0039531988939497794,3.7,1243.0,0.222,4.632,
1967-03-03,5.83,1.75,5.06,0,20.0819307818975,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9382084066283798,0,88.29,88.29,88.29,88.29,16.02359347,5.51,0.77,0,0,0.0,37.0558253227016,0.032932598,4.75,4.37,0.0065377323824952795,3.7,1243.0,0.252,4.622,
1967-03-06,5.83,1.75,5.06,0,20.034655101564102,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.93429349875461,0,88.1,88.1,88.1,88.1,15.98911071,5.51,0.77,0,1,0.0,36.969559953311204,0.033007675,4.75,4.36,0.0035062211080767,3.7,1243.0,0.252,4.612,
1967-03-07,5.83,1.75,5.06,0,20.0442423336803,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9358669886903799,0,88.16,88.16,88.16,88.16,16.0,5.51,0.77,0,0,0.0,36.988215237010294,0.032989262000000005,4.75,4.38,0.00192232000357015,3.7,1243.0,0.222,4.602,
1967-03-08,5.87,1.75,5.11,0,20.0651947386785,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.93853861276586,0,88.27,88.27,88.27,88.27,16.019963699999998,5.51,0.76,0,0,0.0,37.027838919930396,0.032952197,4.75,4.39,0.0101431843950524,3.7,1243.0,0.222,4.612,
1967-03-09,5.87,1.75,5.11,0,20.1202324542501,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.94450481030565,0,88.53,88.53,88.53,88.53,16.06715064,5.51,0.76,0,0,0.0,37.1303609095476,0.032859456,4.75,4.37,0.0172487018992441,3.7,1243.0,0.20199999999999999,4.572,
1967-03-10,5.87,1.75,5.11,0,20.197973637988802,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9526682310292198,0,88.89,88.89,88.89,88.89,16.13248639,5.51,0.76,0,0,0.0,37.274781167355705,0.032730393999999996,4.5,4.36,0.0149713334371455,3.7,1243.0,0.222,4.582,
1967-03-13,5.87,1.75,5.11,0,20.089400307551102,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.94281958504129,0,88.43,88.43,88.43,88.43,16.04900181,5.51,0.76,0,0,0.0,37.07535683241579,0.032904243,4.5,4.33,0.0196097850629345,3.7,1243.0,0.23199999999999998,4.562,
1967-03-14,5.87,1.75,5.11,0,20.067184429279603,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9413182908921498,0,88.35,88.35,88.35,88.35,16.03448276,5.51,0.76,0,0,0.0,37.035295579984606,0.032937631,4.5,4.31,0.0182987655343676,3.7,1243.0,0.222,4.532,
1967-03-15,5.86,1.75,5.12,0,20.2539008815876,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.96003199917465,0,89.19,89.19,89.19,89.19,16.18693285,5.51,0.74,0,0,0.0,37.380835173430704,0.03263098,4.5,4.28,0.0116107089442958,3.7,1089.0,0.212,4.492,
1967-03-16,5.86,1.75,5.12,0,20.4541680071986,314.79757588455897,0.0,0.0314938038493118,0.0,0,1,1.9800667107649,0,90.09,90.09,90.09,90.09,16.35027223,5.51,0.74,0,0,0.0,37.7513969366452,0.03230852,4.5,4.24,0.00918712524440816,3.7,1089.0,0.212,4.452,
1967-03-17,5.86,1.75,5.12,0,20.486604221228603,314.79757588455897,0.0,0.0252398747730123,0.0,0,1,1.9838397305529902,0,90.25,90.25,90.25,90.25,16.55963303,5.45,0.74,0,0,-0.00500314326103961,37.8117939080748,0.03225476,4.75,4.24,0.00664216331030479,3.7,1089.0,0.23199999999999998,4.4719999999999995,
1967-03-20,5.86,1.75,5.12,0,20.409397360142602,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.98299710395994,0,90.2,90.2,90.2,90.2,16.55045872,5.45,0.74,0,0,-0.00132443448965631,37.6698170668001,0.032276159,4.75,4.1,0.007636555449983691,3.7,1089.0,0.35200000000000004,4.452,
1967-03-21,5.86,1.75,5.12,0,20.3603458997027,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.97885669836846,1,90.0,90.0,90.0,90.0,16.51376147,5.45,0.74,0,0,-0.00068062941342726,37.57979909879529,0.032351411000000004,4.75,4.16,0.007875989867564109,3.7,1089.0,0.351999999999999,4.512,
1967-03-22,5.84,1.75,5.14,0,20.4130985240633,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9846100403977,2,90.25,90.25,90.25,90.25,16.55963303,5.45,0.7,0,0,-3.682433719820471e-05,37.677679979920505,0.032265312000000004,4.75,4.17,0.004774898965734489,3.7,1089.0,0.35200000000000004,4.522,
1967-03-23,5.84,1.8,5.14,0,20.565336945142,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,2.0000397885076397,3,90.94,90.94,90.94,90.94,16.68623853,5.45,0.7,0,0,0.00060698073903085,37.9591883014104,0.032023993,4.75,4.15,-0.008363383668199359,3.7,1089.0,0.351999999999999,4.502,
1967-03-27,5.84,1.8,5.14,0,20.545685965561198,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.99875686666024,4,90.87,90.87,90.87,90.87,16.6733945,5.45,0.7,0,0,0.0,37.9234244640055,0.032052155,4.5,4.17,-0.0182864972090093,3.7,1089.0,0.35200000000000004,4.522,
1967-03-28,5.84,1.8,5.14,0,20.5509116998528,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9998933144208701,5,90.91,90.91,90.91,90.91,16.68073394,5.45,0.7,1,0,0.0,37.9335738485893,0.032041108,4.5,4.17,-0.0189395397562451,3.7,1089.0,0.35200000000000004,4.522,
1967-03-29,5.84,1.8,5.14,0,20.5064150675638,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.99619021694456,4,90.73,90.73,90.73,90.73,16.64770642,5.45,0.7,1,0,0.0,37.8519389461273,0.032107736,2.5,4.17,-0.0105821610636482,3.7,1089.0,0.35200000000000004,4.522,
1967-03-30,5.85,1.8,5.14,0,20.4958340718257,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.99578685591807,3,90.7,90.7,90.7,90.7,16.64220183,5.45,0.71,1,0,0.0,37.832902090592206,0.032121419,4.75,4.11,-0.008577007481679859,3.7,1089.0,0.39199999999999896,4.502,
1967-03-31,5.85,1.8,5.14,0,20.3790719673912,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9850414412076798,2,90.2,90.2,90.2,90.2,16.55045872,5.45,0.71,1,0,0.0,37.6178602627046,0.032302555,4.5,4.01,-0.00951406215799945,3.7,1089.0,0.49200000000000005,4.502,119.787
1967-04-03,5.85,1.8,5.14,0,20.1584465896289,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9641713626795398,1,89.24,89.24,89.24,89.24,16.37431193,5.45,0.71,1,1,0.0,37.21108448191271,0.032653163,4.5,3.97,-0.0114226366937799,3.7,1089.0,0.532,4.502,
1967-04-04,5.85,1.8,5.14,0,20.150203384182,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.96398794772618,0,89.22,89.22,89.22,89.22,16.3706422,5.45,0.71,0,0,0.0,37.1963424305776,0.032663151,4.63,4.0,-0.00397389427883175,3.7,1089.0,0.49200000000000005,4.492,
1967-04-05,5.83,1.8,5.12,0,20.275192213284896,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.97679209647087,0,89.79,89.79,89.79,89.79,16.47522936,5.45,0.71,0,0,0.0,37.4275397769043,0.032458452,4.5,3.98,-0.0114669234777293,3.7,1089.0,0.522,4.502,
1967-04-06,5.83,1.8,5.12,0,20.305316543788802,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9803513077966597,0,89.94,89.94,89.94,89.94,16.50275229,5.45,0.71,0,0,0.0,37.4836195407087,0.032406966,4.5,3.95,-0.0055029139753982,3.7,1089.0,0.542,4.492,
1967-04-07,5.83,1.8,5.12,0,20.170654585693104,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.96783741199554,0,89.36,89.36,89.36,89.36,16.39633028,5.45,0.71,0,0,0.0,37.235497858860896,0.032619971,4.0,3.87,0.0117549793626993,3.7,1089.0,0.612,4.482,
1967-04-10,5.83,1.8,5.12,0,19.9141769457307,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9434302970882902,0,88.24,88.24,88.24,88.24,16.19082569,5.45,0.71,0,0,0.0,36.7624891467908,0.033036704,3.5,3.81,0.0314236476990102,3.7,1089.0,0.6920000000000001,4.502,
1967-04-11,5.83,1.8,5.12,0,20.054923833677698,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.9577828446588301,0,88.88,88.88,88.88,88.88,16.30825688,5.45,0.71,0,0,0.0,37.022769128938705,0.032801495,3.5,3.82,0.032836337768804,3.6,1089.0,0.6920000000000001,4.512,
1967-04-12,5.82,1.8,5.11,0,20.0286786691733,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.95583710252952,0,88.78,88.78,88.78,88.78,16.28990826,5.45,0.71,0,0,0.0,36.9747694385621,0.032841123,4.0,3.84,0.0348353243380031,3.6,1089.0,0.672,4.512,
1967-04-13,5.82,1.8,5.11,0,20.1783809998723,314.79757588455897,0.0,0.0282747784681665,0.0,0,1,1.97107462715481,0,89.46,89.46,89.46,89.46,16.4146789,5.45,0.71,0,0,0.0,37.2515841926391,0.032594154,4.0,3.87,0.0290548013161852,3.6,1089.0,0.672,4.542,
1967-04-14,5.82,1.8,5.11,0,20.393431062970603,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,1.99270371590759,0,90.43,90.43,90.43,90.43,16.59266055,5.45,0.71,0,0,-0.00248988685273872,37.649042924966004,0.032247165,4.0,3.89,0.0203336859842672,3.6,1089.0,0.672,4.562,
1967-04-17,5.82,1.8,5.11,0,20.5339985694328,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.00706375714879,0,91.07,91.07,91.07,91.07,16.71009174,5.45,0.71,0,0,-0.0018674151395540399,37.9090010988036,0.03202316,4.0,3.89,0.0167462431102028,3.6,1171.0,0.722,4.612,
1967-04-18,5.82,1.8,5.11,0,20.708332649888302,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.02473144235769,0,91.86,91.86,91.86,91.86,16.85504587,5.45,0.71,0,0,-0.00124494342636936,38.231301067767205,0.031750352,4.0,3.88,0.013390663712488997,3.6,1171.0,0.752,4.632,
1967-04-19,5.81,1.8,5.12,0,20.722577375191,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.0267519130497598,1,91.94,91.94,91.94,91.94,16.86972477,5.45,0.69,0,0,-0.000622471713184681,38.2580479027729,0.031725314,3.5,3.82,0.0115569598484621,3.6,1171.0,0.812,4.632,
1967-04-20,5.81,1.8,5.12,0,20.7571015353384,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.0307566250838103,2,92.11,92.11,92.11,92.11,16.90091743,5.45,0.69,0,0,0.0,38.322232161088294,0.031669346,4.0,3.79,0.0181673317595956,3.6,1171.0,0.8420000000000001,4.632,
1967-04-21,5.81,1.86,5.12,0,20.7961223242093,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.0352027854623898,3,92.3,92.3,92.3,92.3,16.93577982,5.45,0.69,0,0,0.0,38.3947162236206,0.031606735,4.0,3.75,0.018233342018154998,3.6,1171.0,0.912,4.662,
1967-04-24,5.81,1.86,5.12,0,20.8644168875437,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.04251599200362,4,92.62,92.62,92.62,92.62,16.99449541,5.45,0.69,0,0,0.0,38.5212455440067,0.031500105,4.0,3.73,0.013277335107254,3.6,1171.0,0.9520000000000001,4.6819999999999995,
1967-04-25,5.81,1.86,5.12,0,20.9709783639268,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.05357906837045,5,93.11,93.11,93.11,93.11,17.08440367,5.45,0.69,1,0,0.0,38.7184258542543,0.03133689,4.0,3.73,0.00586492594183814,3.6,1171.0,0.982,4.712,
1967-04-26,5.83,1.86,5.11,0,20.9468956343215,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.05185139599217,4,93.02,93.02,93.02,93.02,17.06788991,5.45,0.72,1,0,0.0,38.6743977481525,0.031369769,4.0,3.72,0.00939047655768729,3.6,1171.0,1.012,4.732,
1967-04-27,5.83,1.86,5.11,0,21.120953258156103,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.0695346989296297,3,93.81,93.81,93.81,93.81,17.21284404,5.45,0.72,1,0,0.0,38.9961970719715,0.031108133,4.0,3.71,0.00529230541851883,3.6,1171.0,1.022,4.732,
1967-04-28,5.83,1.86,5.11,0,21.162138648126604,315.80718966225203,0.0,0.0251624199022431,0.0,0,1,2.07420425928237,2,94.01,94.01,94.01,94.01,17.24954128,5.45,0.72,1,0,0.0,39.072671582565604,0.031044485,4.0,3.73,0.00443884864739396,3.6,1171.0,1.052,4.782,119.72399999999999
1967-05-01,5.83,1.86,5.11,0,21.1267902837905,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.07137275711776,1,93.87,93.87,93.87,93.87,17.22385321,5.45,0.72,1,1,0.0,39.0078346907124,0.031093322000000003,4.0,3.75,0.0074156692055895295,3.6,1171.0,1.022,4.772,
1967-05-02,5.83,1.86,5.11,0,21.0779563907055,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.0672169192918797,0,93.67,93.67,93.67,93.67,17.18715596,5.45,0.72,0,0,0.0,38.9180932718836,0.031162252999999997,4.0,3.74,-0.000861278346076395,3.6,1171.0,1.012,4.752,
1967-05-03,5.85,1.86,5.11,0,21.1281356814821,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.07277098700867,0,93.91,93.91,93.91,93.91,17.23119266,5.45,0.739999999999999,0,0,0.0,39.0111650985603,0.031085149,4.0,3.74,-0.006090131365635271,3.6,1171.0,1.012,4.752,
1967-05-04,5.85,1.86,5.11,0,21.216540029963397,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.08207796743612,0,94.32,94.32,94.32,94.32,17.30642202,5.45,0.739999999999999,0,0,0.0,39.1748151715129,0.030952549,4.13,3.69,-0.00616690436066051,3.6,1171.0,1.072,4.762,
1967-05-05,5.85,1.86,5.11,0,21.2396940595083,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.08498445931974,0,94.44,94.44,94.44,94.44,17.32844037,5.45,0.739999999999999,0,0,0.0,39.2179838480039,0.030915741,4.0,3.69,-0.0103209071850009,3.6,1171.0,1.082,4.772,
1967-05-08,5.85,1.86,5.11,0,21.2673400126356,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.08833285488722,0,94.58,94.58,94.58,94.58,17.35412844,5.45,0.739999999999999,0,0,0.0,39.269444041541206,0.030872496,3.75,3.65,-0.0200721044356738,3.6,1171.0,1.182,4.832,
1967-05-09,5.85,1.86,5.11,0,21.0431803214808,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.06695198864251,0,93.6,93.6,93.6,93.6,17.17431193,5.45,0.739999999999999,0,0,0.0,38.8559460347521,0.031198277000000003,3.75,3.66,-0.00502924801674996,3.7,1171.0,1.212,4.872,
1967-05-10,5.89,1.86,5.17,0,20.9831937276995,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.06168891740794,0,93.35,93.35,93.35,93.35,17.12844037,5.45,0.72,0,0,0.0,38.7455824177423,0.03128438,3.25,3.67,-0.00622779803272966,3.7,1171.0,1.202,4.872,
1967-05-11,5.89,1.86,5.17,0,21.0693123282368,315.80718966225203,0.0,0.0251624199022431,0.0,0,0,2.07078081512591,0,93.75,93.75,93.75,93.75,17.20183486,5.45,0.72,0,0,0.0,38.9049998104001,0.031153438999999998,4.0,3.65,-0.0131997989646069,3.7,1171.0,1.192,4.842,
1967-05-12,5.89,1.86,5.17,0,21.004854702355498,314.79757588455897,0.0,0.0251624199022431,0.0,0,0,2.06507378600624,0,93.48,93.48,93.48,93.48,17.15229358,5.45,0.72,0,0,0.0,38.7863719254464,0.031245542999999997,4.0,3.65,-0.0152959673744285,3.7,1171.0,1.172,4.822,
1967-05-15,5.89,1.86,5.17,0,20.8280939932889,314.79757588455897,0.0,0.0251624199022431,0.0,0,0,2.04832051050136,0,92.71,92.71,92.71,92.71,17.01100917,5.45,0.72,0,0,0.0,38.4603640333451,0.031507192,4.0,3.6,-0.011373535720015001,3.7,1171.0,1.262,4.862,
1967-05-16,5.89,1.86,5.17,0,20.9209416241734,314.79757588455897,0.0,0.0251624199022431,0.0,0,0,2.0580777486833,0,93.14,93.14,93.14,93.14,17.08990826,5.45,0.72,0,0,0.0,38.632200066904296,0.031363863,4.13,3.63,-0.0208066385581138,3.7,1171.0,1.242,4.872,
1967-05-17,5.92,1.86,5.2,0,20.7734541443289,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.05037988839562,0,92.78,92.78,92.78,92.78,17.02385321,5.45,0.72,0,0,-6.15847367789954e-05,38.3602328781947,0.031487698,4.0,3.63,-0.0285038266946949,3.7,1171.0,1.252,4.882,
1967-05-18,5.92,1.86,5.2,0,20.7138292402167,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.0451119943131997,0,92.53,92.53,92.53,92.53,16.97798165,5.45,0.72,0,0,-4.6188552584248296e-05,38.250505875178206,0.031574916,4.0,3.55,-0.0146646971298052,3.7,1171.0,1.3319999999999999,4.882,
1967-05-19,5.92,1.86,5.2,0,20.6085542198538,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.0352019859826203,1,92.07,92.07,92.07,92.07,18.08840864,5.09,0.72,0,0,-3.07923683894977e-05,38.0540215417772,0.031734826,4.0,3.54,-0.0119834340539193,3.7,1171.0,1.3519999999999999,4.8919999999999995,
1967-05-22,5.92,1.86,5.2,0,20.516733158962897,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.02661702277962,2,91.67,91.67,91.67,91.67,18.00982318,5.09,0.72,0,1,-1.5396184194750598e-05,37.8823999272627,0.031875465,3.75,3.5,-0.0130262339898343,3.7,1171.0,1.442,4.942,
1967-05-23,5.92,1.86,5.2,0,20.415982948975802,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.0171466609619997,3,91.23,91.23,91.23,91.23,17.92337917,5.09,0.72,0,0,0.0,37.694310715568704,0.032031374,4.0,3.53,-0.0239151339673671,3.7,1171.0,1.412,4.942,
1967-05-24,5.96,1.86,5.27,0,20.1787628002395,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,1.9941876491713202,4,90.18,90.18,90.18,90.18,17.71709234,5.09,0.69,0,0,0.0,37.2542891822255,0.032406528,3.75,3.51,0.000489567588305312,3.7,1171.0,1.422,4.9319999999999995,
1967-05-25,5.96,1.86,5.27,0,20.4024935323527,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.0167793100119997,5,91.19,91.19,91.19,91.19,17.91552063,5.09,0.69,1,0,0.0,37.665282268881704,0.032049776,4.0,3.49,-0.0155305396283886,3.7,1171.0,1.432,4.922,
1967-05-26,5.96,1.88,5.27,0,20.353248658486397,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.01239204578254,4,90.98,90.98,90.98,90.98,17.87426326,5.09,0.69,1,0,0.0,37.57231412598979,0.032125934,4.0,3.48,-0.0284794330477623,3.7,1171.0,1.382,4.862,
1967-05-29,5.96,1.88,5.27,0,20.2413843251139,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,2.00181088633501,3,90.49,90.49,90.49,90.49,17.77799607,5.09,0.69,1,0,0.0,37.3637659361601,0.032302088,3.75,3.46,-0.00292418997734929,3.7,1171.0,1.382,4.842,
1967-05-31,5.96,1.88,5.27,0,19.9237778972184,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,1.97087621402334,2,89.08,89.08,89.08,89.08,17.50098232,5.09,0.69,1,0,0.0,36.7754797029516,0.032815607000000004,4.13,3.46,0.0202895604478714,3.7,1171.0,1.3519999999999999,4.812,119.645
1967-06-01,6.03,1.88,5.31,0,20.178753970304,314.79757588455897,0.0,0.0250854389812694,0.0,0,0,1.99657696745829,1,90.23,90.23,90.23,90.23,17.72691552,5.09,0.7200000000000011,1,0,0.0,37.2440773429986,0.032399565,4.0,3.4,0.0128408567796264,3.7,1171.0,1.412,4.812,
