,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1
1998-01-16,7.13999987,6.66,6.62,0,31.813237849012605,777.521089900474,0.0128097,0.0174459253398487,1.162609112,0,1,65.880155436495,0,961.51,950.73,965.12,950.73,23.74685107,40.49,0.5199998699999989,0,0,0.00012357121183957,47.447631780198705,0.015885472,5.54,5.0,-0.00552582008246334,4.7,1531.0,0.385,5.532,100.99,0.008698583000000001,57.2,52.2,54.5,30660.0,8.917673395,52860.0,1175.0,1.61,0.0252772870627154,21.65,3.8810000000000002,51.4323,-7.0,2.148529746,2133.0,71.67,0.48,0.005693,-0.002131,-0.010426999999999999
1998-01-20,7.21000004,6.66,6.62,0,32.3698939646683,777.521089900474,0.0128097,0.0174459253398487,1.240125726,0,1,66.948944460449,0,978.6,961.48,978.6,961.51,24.1689306,40.49,0.59000004,0,0,0.0,48.2765728598856,0.015618567,5.52,5.01,-0.0115597664215974,4.7,1531.0,0.42200000000000004,5.577000000000001,101.2,0.008698583000000001,57.2,52.2,54.5,30660.0,7.982144317,53460.0,1144.0,1.61,0.0255457003524889,21.65,3.9527,51.3068,-7.0,2.141174959,2009.0,52.07,0.33,0.006790000000000001,-0.008575,-0.004326
1998-01-21,7.21000004,6.66,6.62,0,32.1035035818498,777.521089900474,0.0128097,0.0174459253398487,1.1265431540000002,0,1,66.307671046077,1,970.81,963.29,978.6,978.6,23.97653742,40.49,0.59000004,0,0,0.0,47.87808570705871,0.015805297,5.4,4.99,0.00705992918233236,4.7,1531.0,0.429,5.537999999999999,100.24,0.008698583000000001,57.2,52.2,54.5,48720.0,12.29619078,30660.0,1131.0,1.61,0.0293898088588041,22.53,3.9316,51.3097,-7.0,2.14607815,1130.0,47.02,0.54,0.004305,-0.006017,0.012681999999999999
1998-01-22,7.19999981,6.66,6.65,0,31.8379258529007,777.521089900474,0.0128097,0.0174459253398487,1.024434552,0,1,65.71982135032799,2,963.04,959.49,970.81,970.81,23.78463818,40.49,0.549999809999999,0,0,0.0,47.4811203198215,0.015876256000000002,5.47,4.99,0.0213891738538537,4.7,1519.0,0.43800000000000106,5.567,99.76,0.008698583000000001,57.2,52.2,54.5,51840.0,12.06137981,30660.0,1116.0,1.61,0.0341463843481245,23.16,3.8998,47.2087,-7.0,2.133002975,1119.0,21.15,0.44,0.003849,-0.009569,-0.010749
1998-01-23,7.23000002,6.44,6.77,0,31.649176926094103,777.521089900474,0.0128097,0.0174459253398487,0.9891523999999999,0,1,65.623646070747,3,957.59,950.86,966.44,963.04,23.65003705,40.49,0.46000002000000106,0,0,0.0,47.1988789490827,0.015965267,5.51,5.04,0.0234888332727838,4.7,1519.0,0.519,5.687,98.44,0.008698583000000001,57.2,52.2,54.5,43740.0,13.58046326,31800.0,1099.0,1.61,0.0348175851427939,23.32,3.8786,45.3167,-7.0,2.126465387,1107.0,182.61,0.72,0.006162,-0.012793,-0.016911000000000002
1998-01-26,7.32999992,6.44,6.7,0,31.619468663775102,777.521089900474,0.0128097,0.0174459253398487,0.892401879,0,1,65.580894509788,4,956.95,954.24,963.04,957.59,23.63423067,40.49,0.629999919999999,0,0,0.0,47.1538387085287,0.015975944,5.62,5.03,0.0405312965586104,4.7,1519.0,0.51,5.625,99.16,0.008698583000000001,57.2,52.2,54.5,50400.0,9.453245599999999,36060.0,1086.0,1.61,0.0381489532183661,23.97,3.8743,45.368,-7.0,2.137088967,1327.0,150.56,0.48,0.006548999999999999,-0.007206999999999999,-0.003694
1998-01-27,7.28000021,6.44,6.75,0,32.0096326688746,777.521089900474,0.0128097,0.0174459253398487,0.8485629509999999,0,1,66.243507451316,5,969.02,956.26,973.23,956.95,23.93232897,40.49,0.53000021,1,0,0.0,47.734652108680294,0.01577695,5.52,5.11,0.0379515163795576,4.7,1519.0,0.442,5.687,98.98,0.008698583000000001,57.2,52.2,54.5,31020.0,10.07480879,50640.0,1078.0,1.61,0.0305788834574405,22.27,3.9321,45.1669,-7.0,2.131368578,1752.0,163.66,0.42,0.008056,-0.010496,-0.007443000000000001
1998-01-28,7.32000017,6.44,6.75,0,32.2797154682792,777.521089900474,0.0128097,0.0174459253398487,0.934183688,0,1,66.84202930473,4,977.46,969.02,978.63,969.02,24.1407755,40.49,0.57000017,1,0,0.0,48.1359215271849,0.015773904,5.58,5.08,0.0277176981925916,4.7,1519.0,0.478,5.691,99.82,-0.012519039,57.2,52.2,54.5,30660.0,8.706098373,51300.0,1070.0,1.61,0.0294419295586816,22.06,3.9669,44.983000000000004,-7.0,2.142809356,1919.0,329.02,0.38,0.005565,-0.003899,0.012906
1998-01-29,7.34000015,6.44,6.66,0,32.536123305044796,777.521089900474,0.0128097,0.0174459253398487,1.019415558,0,1,67.205453826198,3,985.49,975.21,992.65,977.46,24.33909607,40.49,0.68000015,1,0,0.0,48.5166766422251,0.015593979,5.63,5.05,0.0216755518497075,4.7,1519.0,0.375,5.566,100.58,-0.012519039,57.2,52.2,54.5,31020.0,11.25570183,40680.0,1054.0,1.61,0.0279176973328988,21.65,3.9992,44.3107,-7.0,2.118293403,1871.0,198.57,0.41,0.005136,-0.0041600000000000005,0.002825
1998-01-30,7.25,6.44,6.62,0,32.355337013565105,777.521089900474,0.0128097,0.0174459253398487,1.08653886,0,1,67.248205387156,2,980.28,979.63,987.41,985.49,24.16863905,40.56,0.63,1,0,0.0,48.2458806137499,0.015589708999999998,5.48,5.04,0.032169194791601005,4.7,1519.0,0.327,5.505,100.72,-0.012519039,57.2,52.2,54.5,53820.0,11.68992114,41400.0,1039.0,1.61,0.0270230772448829,21.47,3.9406,44.3381,-7.0,2.0913258530000003,1465.0,126.04,0.36,0.006483,0.001955,0.005579
1998-02-02,7.21000004,6.44,6.66,0,33.0391844140025,777.521089900474,0.011904032,0.0174459253398487,1.1887540159999999,0,1,68.359745972068,1,1001.27,980.28,1002.48,980.28,24.68614398,40.56,0.55000004,1,0,0.0,49.265571390206006,0.015268459,5.71,5.09,0.0123854605694474,4.7,1519.0,0.355,5.574,100.27,-0.012519039,57.2,52.2,54.5,30660.0,9.196723808,51420.0,1026.0,1.61,0.0257322997501873,21.36,4.0166,44.7381,-7.0,2.115841807,2074.0,170.29,0.33,0.007513,-0.006278,-0.019897
1998-02-03,7.25,6.44,6.66,0,33.1862781564541,777.521089900474,0.011904032,0.0174459253398487,1.190974481,0,1,68.872764703565,0,1006.0,996.9,1006.13,1001.27,24.80276134,40.56,0.59,0,1,0.0,49.484829342403,0.015174115,5.47,5.09,0.0144250309715269,4.7,1519.0,0.321,5.555,99.86,-0.012519039,57.2,52.2,54.5,31140.0,6.592187466,53700.0,1016.0,1.61,0.0230539102406397,20.67,4.0377,44.7035,-7.0,2.110938616,1740.0,162.3,0.33,0.005912,0.004973,0.005056000000000001
1998-02-04,7.25,6.44,6.67,0,33.2069883035554,777.521089900474,0.011904032,0.0174459253398487,1.1494396759999999,0,1,68.78726158164899,0,1006.9,999.43,1009.52,1006.0,24.82495069,40.56,0.58,0,0,0.0,49.5154733447938,0.015231561999999999,5.41,4.97,0.0147460571171151,4.7,1519.0,0.442,5.551,99.14,-0.012519039,57.2,52.2,54.5,33600.0,8.612539856,45900.0,988.0,1.61,0.0228745482960088,20.55,4.0418,44.5302,-7.0,2.133820173,1615.0,23.42,0.37,0.00868,-0.00412,0.013347
1998-02-05,7.25,6.44,6.72,0,33.087240006771495,777.521089900474,0.011904032,0.0174459253398487,1.119878332,1,1,68.74451002069101,0,1003.54,1000.27,1013.51,1006.9,24.74211045,40.56,0.53,0,0,0.0,49.336779119090096,0.015270762,5.45,4.99,0.0196390002184694,4.7,1519.0,0.485,5.6339999999999995,98.55,0.000291213,57.2,52.2,54.5,52080.0,11.91944526,34320.0,950.0,1.61,0.026140349015067,21.29,4.0286,44.5528,-7.0,2.138723364,1641.0,251.97,0.39,0.007084,-0.002637,0.012672
1998-02-06,7.30000019,6.44,6.72,0,33.3723323085088,777.521089900474,0.011904032,0.0174459253398487,1.133627259,0,1,69.514038117937,0,1012.46,1003.36,1013.07,1003.54,24.96203156,40.56,0.5800001900000009,0,0,0.0,49.7616624459974,0.015074057,5.4,5.04,0.00270347503283649,4.7,1519.0,0.449,5.617000000000001,99.52,0.000291213,57.2,52.2,54.5,30660.0,9.023145731,48960.0,938.0,1.61,0.0234042237538808,20.51,4.0643,44.5699,-7.0,2.1468953490000002,1754.0,60.39,0.44,0.007916,-0.006742000000000001,-0.012509000000000001
1998-02-09,7.30000019,6.44,6.75,0,33.3066608607353,777.521089900474,0.011904032,0.0174459253398487,1.0460271429999999,0,1,69.278868279344,0,1010.74,1006.28,1015.33,1012.46,24.91962525,40.56,0.55000019,0,0,0.0,49.663439377034294,0.015160278999999999,5.47,5.01,0.0109799848698488,4.7,1519.0,0.518,5.644,99.93,0.000291213,57.2,52.2,54.5,50880.0,8.130651372,31140.0,935.0,1.61,0.0279425793234388,21.55,4.0565,44.0597,1.8,2.150981341,1448.0,40.63,0.38,0.008829,-0.006628,0.000614
1998-02-10,7.34000015,6.44,6.72,0,33.5701413028645,777.521089900474,0.011904032,0.0174459253398487,1.037800687,0,1,69.941553727519,0,1019.01,1010.71,1022.15,1010.74,25.12352071,40.56,0.62000015,0,0,0.0,50.055854629158894,0.015019195,5.44,5.08,0.0105654891249795,4.7,1519.0,0.415,5.627999999999999,99.57,0.000291213,57.2,52.2,54.5,30660.0,7.757041667999999,48300.0,935.0,1.61,0.0259277369188913,20.66,4.0917,44.0235,1.8,2.174680096,1847.0,26.69,0.39,0.008742,0.0029010000000000004,0.013091
1998-02-11,7.30999994,6.44,6.66,0,33.5940496260462,777.521089900474,0.011904032,0.0174459253398487,0.999944739,0,1,69.877390132758,0,1020.01,1016.38,1020.71,1019.01,25.14817554,40.56,0.64999994,0,0,0.0,50.090589839613294,0.015219429,5.48,5.07,0.00618619687383992,4.7,1519.0,0.369,5.571000000000001,99.94,0.000291213,57.2,52.2,54.5,45660.0,6.409470249,34440.0,932.0,1.61,0.0282421513595445,20.38,4.0963,43.9532,1.8,2.1468953490000002,1535.0,113.71,0.37,0.009329,-0.008328,-0.016791999999999998
1998-02-12,7.25,6.44,6.67,0,33.7210112477427,777.521089900474,0.011904032,0.0174459253398487,0.973656225,0,1,70.176651059465,0,1024.14,1008.55,1026.3,1020.01,25.25,40.56,0.58,0,0,0.0,50.2791178169497,0.015042093999999999,5.52,5.1,0.009328268588415041,4.7,1519.0,0.302,5.513999999999999,99.59,0.000291213,57.2,52.2,54.5,36900.0,10.91890991,53340.0,933.0,1.61,0.025594017923764,19.73,4.1126,43.6243,1.8,2.1403577609999997,1448.0,40.98,0.42,0.007836,-0.004614,-0.005455
1998-02-13,7.25,6.44,6.63,0,33.578648123217896,777.521089900474,0.011904032,0.0174459253398487,0.948259854,0,1,69.770547483686,0,1020.09,1017.71,1024.14,1024.14,25.15014793,40.56,0.62,0,0,0.0,50.0662897995471,0.015042113999999999,5.45,5.08,0.0190440087381804,4.7,1519.0,0.337,5.484,100.01,0.000291213,57.2,52.2,54.5,49260.0,6.920987894,30660.0,936.0,1.61,0.0262286396136486,19.84,4.0967,43.6701,1.8,2.133002975,1382.0,27.95,0.4,0.006302,8e-05,-0.005298
1998-02-17,7.21000004,6.44,6.59,1,33.6160056069753,776.2468133259309,0.011904032,0.0174459253398487,0.972339822,0,1,70.112559971351,0,1022.76,1020.09,1028.02,1020.09,25.21597633,40.56,0.62000004,0,0,0.0,50.1213188003162,0.015027708999999998,6.0,5.04,0.0063185971030634705,4.7,1519.0,0.262,5.438,100.51,0.000291213,57.2,52.2,54.5,30660.0,7.718452179,34320.0,949.0,1.61,0.0300984085437393,20.76,4.1067,43.6472,1.8,2.111755815,1576.0,50.88,0.39,0.005521,-0.0012900000000000001,-0.010138
1998-02-18,7.17000008,6.44,6.61,0,33.913296880901896,776.2468133259309,0.011904032,0.0155620943274748,0.944411352,0,1,70.753833385723,1,1032.08,1021.7,1032.08,1022.76,25.44575937,40.56,0.56000008,0,0,-0.00150706480989911,50.56351454501021,0.014974033000000001,5.44,5.05,0.009546538629319529,4.7,1534.0,0.315,5.486000000000001,100.17,0.000291213,57.2,52.2,54.5,31560.0,7.481164593,54000.0,967.0,1.59,0.0261108376877861,19.66,4.1456,43.519,1.8,2.1403577609999997,1698.0,22.68,0.45,0.00828,-0.0035600000000000002,-0.010084000000000001
1998-02-19,7.19000006,6.44,6.62,0,33.779439441118996,776.2468133259309,0.011904032,0.0155620943274748,0.937794143,0,1,70.379741494765,2,1028.28,1026.62,1032.93,1032.08,25.35207101,40.56,0.57000006,0,0,-0.00113029860742433,50.363075601382,0.014976611,5.43,5.05,0.0205085739073563,4.7,1534.0,0.319,5.51,100.0,0.000291213,57.2,52.2,54.5,35100.0,6.644274556,30660.0,989.0,1.59,0.0271449010462919,19.88,4.1304,43.5028,1.8,2.149346944,1305.0,55.64,0.37,0.007756999999999999,-0.003759,-0.008407
1998-02-20,7.19999981,5.8,6.65,0,33.9652100937581,776.2468133259309,0.011904032,0.0155620943274748,0.9638266240000001,0,1,70.903427595753,3,1034.21,1022.69,1034.21,1028.28,25.49827416,40.56,0.549999809999999,0,0,-0.000753532404949554,50.639099015682,0.014863142,5.46,5.07,0.0130911009069759,4.7,1534.0,0.344,5.542999999999999,100.32,0.000291213,57.2,52.2,54.5,42180.0,7.12926173,52560.0,1017.0,1.59,0.0243770955026494,19.0,4.1543,43.1669,1.8,2.1534329359999997,1554.0,44.92,0.43,0.0077659999999999995,-0.006875,-0.021866
1998-02-23,7.21999979,5.8,6.68,0,34.085223308839005,776.2468133259309,0.011904032,0.0155620943274748,0.9740477359999999,0,1,71.181348995305,4,1038.14,1031.76,1038.68,1034.21,25.59516765,40.56,0.53999979,0,0,-0.000376766202474777,50.8169674366827,0.014814707,5.55,5.1,0.0070940053956191,4.7,1534.0,0.33799999999999997,5.577999999999999,99.32,0.000291213,57.2,52.2,54.5,35940.0,8.667765377,51300.0,1030.0,1.59,0.0248622858448437,18.99,4.1825,42.9283,1.8,2.165690913,1556.0,40.06,0.38,0.010302,-0.00325,-0.011243000000000001
1998-02-24,7.23999977,5.8,6.74,0,33.827372790123604,776.2468133259309,0.011904032,0.0155620943274748,0.9212626490000001,0,1,70.625578702849,5,1030.56,1028.89,1038.73,1038.14,25.40828402,40.56,0.49999977,1,0,0.0,50.431675464878204,0.014921169,5.49,5.18,0.0205756841611987,4.7,1534.0,0.34700000000000003,5.664,99.35,0.000291213,57.2,52.2,54.5,47880.0,12.36157938,30660.0,1037.0,1.59,0.0264892599722977,19.35,4.1523,43.0902,1.8,2.192658462,1170.0,108.95,0.45,0.008631,-0.004379,-0.021155
1998-02-25,7.30000019,5.8,6.7,0,34.2233522150527,776.2468133259309,0.011904032,0.0155620943274748,0.935448608,0,1,71.501949449167,4,1042.9,1030.56,1045.79,1030.56,25.71252465,40.56,0.60000019,1,0,0.0,51.0205843599891,0.014873535,5.69,5.17,0.00170657301801662,4.7,1534.0,0.318,5.614,100.19,0.000291213,57.2,52.2,54.5,30660.0,8.108991884,51300.0,1047.0,1.59,0.0237180078508197,18.62,4.2017,43.2114,1.8,2.1869380730000003,2000.0,311.53,0.44,0.006451999999999999,-0.005124,-0.019744
1998-02-26,7.26999998,5.8,6.72,0,34.4035879714868,776.2468133259309,0.011904032,0.0155620943274748,0.977967417,0,1,71.908125531593,3,1048.67,1039.85,1048.68,1042.9,25.85478304,40.56,0.54999998,1,0,0.0,51.2877296331318,0.014777594,5.61,5.18,-0.0132434115226794,4.7,1534.0,0.31800000000000106,5.655,99.94,0.017640842,57.2,52.2,54.5,31320.0,7.9735699470000005,51780.0,1059.0,1.59,0.0238663107428092,18.63,4.2242,42.7938,1.8,2.192658462,1742.0,148.25,0.39,0.006442,-0.001789,-0.012506
1998-02-27,7.28000021,5.8,6.71,0,34.4164106379585,776.2468133259309,0.011904032,0.0155620943274748,0.9840283000000001,0,1,71.908125531593,2,1049.34,1044.4,1051.66,1048.67,25.83308715,40.62,0.57000021,1,0,0.0,51.305577102757,0.014664693999999999,5.57,5.18,0.00672016374930185,4.7,1534.0,0.308,5.622000000000001,99.83,0.017640842,57.2,52.2,54.5,33000.0,8.516712806000001,43620.0,1080.0,1.59,0.0237410810177315,18.55,4.2056,42.8214,1.8,2.232701187,1561.0,56.56,0.48,0.007351000000000001,-0.004645000000000001,-0.005494
1998-03-02,7.28999996,5.8,6.78,0,34.353490216206396,776.2468133259309,0.011904032,0.0155620943274748,1.00592227,0,1,71.758458814916,1,1047.7,1044.7,1053.98,1049.34,25.79271295,40.62,0.50999996,1,0,0.0,51.21054763438911,0.014691046999999999,5.82,5.17,0.00525683485788806,4.7,1534.0,0.395,5.697,99.58,0.017640842,57.2,52.2,54.5,50520.0,9.304208377,37620.0,1088.0,1.59,0.0263472228182202,19.19,4.1978,42.7634,1.8,2.195927256,1680.0,32.64,0.35,0.008479,-0.001883,-0.022542
1998-03-03,7.36999989,5.8,6.82,0,34.4859836655041,776.2468133259309,0.011904032,0.0155620943274748,1.064068554,0,1,72.164634897342,0,1052.02,1043.41,1052.02,1047.7,25.899064499999998,40.62,0.54999989,0,0,0.0,51.4067196655377,0.014629152,5.57,5.07,0.00903565834985887,4.7,1534.0,0.603000000000001,5.775,99.55,0.017640842,57.2,52.2,54.5,31620.0,7.816137428999999,53940.0,1096.0,1.59,0.0259883539132558,19.04,4.2148,42.7303,1.8,2.238421576,1568.0,353.85,0.44,0.007176999999999999,-0.006661,-0.035758
1998-03-04,7.40999985,5.8,6.81,0,34.3231380828458,776.2468133259309,0.011904032,0.0155620943274748,0.9748270459999999,0,1,71.694367726803,0,1047.33,1042.74,1052.02,1052.02,25.78360414,40.62,0.599999850000001,0,0,0.0,51.1625196853627,0.014808274,5.46,5.03,0.0202501498873094,4.7,1534.0,0.5699999999999991,5.72,99.9,0.017640842,57.2,52.2,54.5,46380.0,7.011869615,30660.0,1103.0,1.59,0.0290451253290912,19.58,4.1961,42.7033,1.8,2.260485935,1231.0,87.6,0.48,0.007123,-0.006121,-0.023424
1998-03-05,7.400000099999999,5.8,6.84,0,33.911712210036804,776.2468133259309,0.011904032,0.0155620943274748,0.893526878,1,1,71.031682278628,0,1035.05,1030.87,1047.33,1047.33,25.481289999999998,40.62,0.5600001,0,0,0.0,50.5483349214621,0.01486789,5.48,5.03,0.0336094980796988,4.7,1534.0,0.615,5.775,100.83,0.025154177000000003,57.2,52.2,54.5,52200.0,9.418214543,30660.0,1104.0,1.59,0.0335263852805821,20.93,4.1466,42.9048,1.8,2.2106368290000002,843.0,115.46,0.49,0.007421,-0.021144,-0.119933
1998-03-06,7.42999983,5.8,6.78,0,34.5787956418091,776.2468133259309,0.011904032,0.0155620943274748,0.965304163,0,1,72.46389582404899,0,1055.69,1035.05,1055.69,1035.05,25.98941408,40.62,0.64999983,0,0,0.0,51.5412703889726,0.014572877,5.41,5.01,0.00985618001539576,4.6,1534.0,0.5670000000000001,5.7139999999999995,100.63,0.025154177000000003,57.2,52.2,54.5,30660.0,6.488468366,50640.0,1102.0,1.59,0.0264100284540635,19.14,4.2292,44.4261,1.8,2.196744455,2219.0,33.11,0.37,0.007784999999999999,-0.016077,-0.075427
1998-03-09,7.36999989,5.8,6.73,0,34.4589739737037,776.2468133259309,0.011904032,0.0155620943274748,0.932977882,0,1,72.2073864583,0,1052.31,1050.02,1058.55,1055.69,25.90620384,40.62,0.639999889999999,0,0,0.0,51.3613366011234,0.014625215,5.5,5.01,0.0241388836177266,4.6,1534.0,0.5660000000000001,5.655,100.31,0.025154177000000003,57.2,52.2,54.5,31920.0,6.876273777000001,39240.0,1105.0,1.59,0.0311704273325579,20.23,4.2235,44.7022,1.8,2.174680096,1377.0,79.44,0.48,0.007391,-0.013358000000000002,-0.098976
1998-03-10,7.32999992,5.8,6.73,0,34.8407595962133,776.2468133259309,0.011904032,0.0155620943274748,0.971614477,0,1,72.89141143363001,0,1064.25,1052.31,1064.59,1052.31,26.20014771,40.62,0.599999919999999,0,0,0.0,51.928756937329595,0.014460475,5.44,4.96,0.0175972401022781,4.6,1534.0,0.5749999999999991,5.653,100.4,0.025154177000000003,57.2,52.2,54.5,31380.0,6.023759557999999,52200.0,1102.0,1.59,0.0278963356460709,19.43,4.2716,44.211999999999996,1.8,2.171411302,1932.0,20.47,0.44,0.007706,-0.007579000000000001,-0.034700999999999996
1998-03-11,7.32000017,5.8,6.73,0,34.9696851598721,776.2468133259309,0.011904032,0.0155620943274748,1.040216003,0,1,73.233423921296,0,1068.47,1064.22,1069.18,1064.25,26.30403742,40.62,0.59000017,0,0,0.0,52.1188020431814,0.014575281,5.52,4.94,0.0166560309640829,4.6,1534.0,0.5529999999999999,5.63,100.58,0.025154177000000003,57.2,52.2,54.5,30660.0,6.249804282,50880.0,1097.0,1.59,0.026037003347867998,18.89,4.2883,44.0774,1.8,2.183669279,1772.0,38.47,0.4,0.006899,-0.0031320000000000002,-0.011215000000000001
